reference,comparison_policy,classification_agreement,mean_abs_intensity_difference,max_abs_intensity_difference,class_changed_samples
final_mask_policy,all_observed,1.0,0.0434929402669271,0.2929687500000001,0
final_mask_policy,joint_zero_only,1.0,0.0002408854166666664,0.007226562499999992,0
final_mask_policy,q2a_candidate,1.0,0.0,0.0,0
