a,b,fit_mae,fit_pearson,fold
0.8550000000000001,0.02222415208816539,0.5630404003925136,0.6671551456545504,0
0.8979999999999999,-0.04114197998046873,0.56630357553115,0.6803035912434913,1
0.952,0.0004114024758339052,0.5777052256373401,0.6766788457648215,2
0.8979999999999999,-0.02264257049560546,0.5751777294002716,0.6667873082858649,3
0.8540000000000001,-0.002713976597785994,0.57559376491801,0.6704771531412547,4
