modality_combination,task_accuracy,task_macro_f1,task_mae_calibrated,task_pearson_calibrated,seed_2028_accuracy,seed_2028_macro_f1,seed_2028_mae_raw,seed_2028_pearson_raw
A,0.6259157509157508,0.6156082257047852,0.5759225471125593,0.6691998708804324,0.6157509157509158,0.6075966065152446,0.5765417758238949,0.6720379485267246
A+V,0.6224358974358974,0.6125478401643779,0.5760213930583825,0.668970420299677,0.6123626373626373,0.6050764237101612,0.575603520792428,0.6721525625869563
V,0.6240842490842492,0.6126791954917364,0.5767441729958962,0.669248606288522,0.6141025641025641,0.6054044159266577,0.5767674148724083,0.6723417620173777
