w2026,w2027,w2028,clean_valid_mae,clean_valid_pearson,q2c2_mae,q2c2_pearson,seed2028_clean_pearson,seed2028_q2c2_pearson,clean_pearson_preserved,q2c2_pearson_preserved,feasible,mean_mae,mean_pearson
0.1,0.0,0.9,0.5763591455930209,0.6726189765783035,0.575969565542681,0.6722739521391697,0.6722288750072771,0.6720929511659574,True,True,True,0.576164355567851,0.6724464643587367
0.2,0.0,0.8,0.5764189730510934,0.6726849900565095,0.5759844028124624,0.6721632894500379,0.6722288750072771,0.6720929511659574,True,True,True,0.576201687931778,0.6724241397532738
0.0,0.0,1.0,0.5765798228004804,0.6722288750072771,0.5763042371629103,0.6720929511659574,0.6722288750072771,0.6720929511659574,True,True,True,0.5764420299816954,0.6721609130866173
0.3,0.0,0.7,0.5767301049738467,0.6724475099207726,0.5763620511522477,0.6717787186912629,0.6722288750072771,0.6720929511659574,True,True,True,0.5765460780630471,0.6721131143060177
0.1,0.1,0.8,0.5773662923988733,0.6722814068386336,0.5769330297102094,0.6720348951409674,0.6722288750072771,0.6720929511659574,True,True,True,0.5771496610545414,0.6721581509898005
0.0,0.1,0.9,0.5773784588858649,0.6721533213540486,0.5769234508371507,0.6720921726788969,0.6722288750072771,0.6720929511659574,True,True,True,0.5771509548615078,0.6721227470164728
0.4,0.0,0.6,0.5775276515387244,0.6719269921698995,0.5770824679169209,0.6711379003425347,0.6722288750072771,0.6720929511659574,True,True,True,0.5773050597278226,0.6715324462562171
0.2,0.1,0.7,0.5776796338690834,0.672106342983947,0.5772694513395483,0.6717051527898255,0.6722288750072771,0.6720929511659574,True,True,True,0.5774745426043159,0.6719057478868862
0.3,0.1,0.6,0.5784091323982556,0.6716481993480197,0.5779683769960071,0.6711201838752912,0.6722288750072771,0.6720929511659574,True,True,True,0.5781887546971314,0.6713841916116554
0.0,0.2,0.8,0.5786149979006131,0.6717493034698351,0.5781017178552673,0.6717806443313705,0.6722288750072771,0.6720929511659574,True,True,True,0.5783583578779402,0.6717649739006029
0.5,0.0,0.5,0.578678686560674,0.6711435905226488,0.5781166330848676,0.670258268929275,0.6722288750072771,0.6720929511659574,True,True,True,0.5783976598227708,0.6707009297259618
0.1,0.2,0.7,0.5788912447476453,0.6716383925140332,0.5784192826546118,0.6715070133534196,0.6722288750072771,0.6720929511659574,True,True,True,0.5786552637011286,0.6715727029337264
0.4,0.1,0.5,0.5795333246976793,0.6709267812804411,0.578982823257936,0.6702970314783172,0.6722288750072771,0.6720929511659574,True,True,True,0.5792580739778077,0.6706119063793792
0.2,0.2,0.6,0.5795714329109415,0.6712444927919748,0.5790902630729153,0.670979282881252,0.6722288750072771,0.6720929511659574,True,True,True,0.5793308479919284,0.6711118878366134
0.0,0.3,0.7,0.580278622125695,0.6710475098224031,0.5797748571744368,0.6711892786158238,0.6722288750072771,0.6720929511659574,True,True,True,0.5800267396500659,0.6711183942191135
0.3,0.2,0.5,0.5805698620626233,0.6705870473957725,0.5800815696007275,0.6702140983203243,0.6722288750072771,0.6720929511659574,True,True,True,0.5803257158316755,0.6704005728580484
0.1,0.3,0.6,0.5809056057420733,0.6707195189181058,0.5804123305698563,0.670719968926062,0.6722288750072771,0.6720929511659574,True,True,True,0.5806589681559648,0.6707197439220839
0.6,0.0,0.4,0.5802049645560455,0.6701170164419454,0.5794527016608306,0.6691569198253824,0.6722288750072771,0.6720929511659574,False,False,False,0.579828833108438,0.6696369681336639
0.5,0.1,0.4,0.5810264879735288,0.6699614901188471,0.5802809791169579,0.6692524317373354,0.6722288750072771,0.6720929511659574,False,False,False,0.5806537335452433,0.6696069609280912
0.7,0.0,0.3,0.5820172864043123,0.6688664222082323,0.5810773798567725,0.6678505132653273,0.6722288750072771,0.6720929511659574,False,False,False,0.5815473331305424,0.6683584677367798
0.2,0.3,0.5,0.5818957403998126,0.6701278337210537,0.581386066042478,0.6700140346255409,0.6722288750072771,0.6720929511659574,False,False,False,0.5816409032211454,0.6700709341732973
0.4,0.2,0.4,0.5820316798452821,0.6696851335704195,0.5813366293351327,0.6692278297014052,0.6722288750072771,0.6720929511659574,False,False,False,0.5816841545902074,0.6694564816359123
0.0,0.4,0.6,0.5824293982892574,0.6700770247291985,0.5819369990074773,0.6703470189474648,0.6722288750072771,0.6720929511659574,False,True,False,0.5821831986483674,0.6702120218383316
0.6,0.1,0.3,0.5826993470540741,0.6687712056919477,0.58185477329343,0.6680027185343126,0.6722288750072771,0.6720929511659574,False,False,False,0.5822770601737521,0.6683869621131302
0.3,0.3,0.4,0.5832389150224216,0.6692911944353499,0.5826232728168314,0.669087473860287,0.6722288750072771,0.6720929511659574,False,False,False,0.5829310939196265,0.6691893341478184
