w2026,w2027,w2028,clean_valid_accuracy,clean_valid_macro_f1,q2c2_accuracy,q2c2_macro_f1,q2c2_worst_accuracy,primary_macro_f1_score,mean_accuracy,mean_entropy
0.7,0.2,0.1,0.6332417582417582,0.6227432811855357,0.6241452991452991,0.6136295303580528,0.6126373626373627,0.6181864057717943,0.6286935286935287,0.6765345496419111
0.6,0.3,0.1,0.6332417582417582,0.6226412832360649,0.6242063492063492,0.6135749728619392,0.6112637362637363,0.6181081280490021,0.6287240537240537,0.6776591069358282
0.1,0.9,0.0,0.6291208791208791,0.6190396719099281,0.6275030525030525,0.6166552282773711,0.6181318681318682,0.6178474500936496,0.6283119658119658,0.6671970873498337
0.7,0.3,0.0,0.6318681318681318,0.6213223579069901,0.6245726495726496,0.6138417937185173,0.6153846153846154,0.6175820758127537,0.6282203907203907,0.6636076755318592
0.4,0.2,0.4,0.6318681318681318,0.6211449281559329,0.6237789987789988,0.6134285211454579,0.6098901098901099,0.6172867246506955,0.6278235653235653,0.7145100352308776
0.0,1.0,0.0,0.6277472527472527,0.617581362119397,0.6275946275946276,0.6167133171594029,0.6167582417582418,0.6171473396393999,0.6276709401709402,0.6671997150451212
0.3,0.7,0.0,0.6291208791208791,0.6183639103856257,0.6267094017094017,0.6157651481266679,0.6167582417582418,0.6170645292561467,0.6279151404151404,0.6666821425128237
0.2,0.8,0.0,0.6277472527472527,0.6177038130840633,0.626953601953602,0.6160460328179143,0.614010989010989,0.6168749229509888,0.6273504273504273,0.667024447614372
0.0,0.9,0.1,0.6277472527472527,0.6174561406351854,0.6271367521367521,0.6162909741001524,0.6167582417582418,0.6168735573676689,0.6274420024420024,0.680851659456811
0.3,0.6,0.1,0.6304945054945055,0.6195604108163163,0.6248778998778999,0.6138700023613239,0.614010989010989,0.6167152065888202,0.6276862026862027,0.6800105897221485
0.1,0.8,0.1,0.6277472527472527,0.6173463619478317,0.6267399267399267,0.6157708271939039,0.6167582417582418,0.6165585945708678,0.6272435897435897,0.6807384282121378
0.2,0.7,0.1,0.6291208791208791,0.6181282761397434,0.6257326007326007,0.6146921752271357,0.614010989010989,0.6164102256834396,0.6274267399267399,0.6804580712419713
0.5,0.1,0.4,0.6291208791208791,0.6186982343897237,0.6237179487179487,0.6135810288075177,0.6043956043956044,0.6161396315986207,0.6264194139194139,0.7134341816674367
0.6,0.1,0.3,0.6291208791208791,0.6183909632033936,0.6242063492063492,0.6138780976794801,0.6085164835164835,0.6161345304414368,0.6266636141636142,0.7013929071124397
0.3,0.2,0.5,0.6304945054945055,0.6192229354840638,0.6232295482295482,0.6127481373022903,0.6085164835164835,0.615985536393177,0.6268620268620269,0.7258337657204308
0.5,0.3,0.2,0.6291208791208791,0.6182932825966242,0.6238095238095238,0.6131195275717692,0.6126373626373627,0.6157064050841967,0.6264652014652015,0.6909460702581973
0.0,0.8,0.2,0.6263736263736264,0.6158880422791759,0.6262515262515262,0.6151362982536138,0.6181318681318682,0.6155121702663948,0.6263125763125763,0.6936925965407297
0.8,0.2,0.0,0.6291208791208791,0.6172344182461887,0.6243284493284493,0.6136492876283669,0.614010989010989,0.6154418529372778,0.6267246642246642,0.6624064385138815
0.4,0.1,0.5,0.6291208791208791,0.6182336733439648,0.6227716727716728,0.6125860821919421,0.6016483516483516,0.6154098777679535,0.6259462759462759,0.7248283329865675
0.6,0.4,0.0,0.6277472527472527,0.6170106229556874,0.6246031746031746,0.6137228610102393,0.6181318681318682,0.6153667419829634,0.6261752136752137,0.6646340891415685
0.4,0.6,0.0,0.6263736263736264,0.6161337435542559,0.6254578754578755,0.6145709616109749,0.6153846153846154,0.6153523525826154,0.6259157509157509,0.6661700801810666
0.4,0.5,0.1,0.6277472527472527,0.6167613462830615,0.6245115995115995,0.6136166822515187,0.6167582417582418,0.61518901426729,0.6261294261294261,0.6793955718642302
0.5,0.4,0.1,0.6277472527472527,0.6164923086412409,0.6245115995115995,0.6136513341553286,0.6153846153846154,0.6150718213982848,0.6261294261294261,0.6786121775023588
0.8,0.1,0.1,0.6291208791208791,0.6174944393764922,0.6226495726495727,0.6121594845226989,0.6085164835164835,0.6148269619495955,0.6258852258852259,0.6752361047019197
0.0,0.7,0.3,0.6277472527472527,0.6166504957856916,0.6242368742368742,0.61297092139869,0.6153846153846154,0.6148107085921908,0.6259920634920635,0.7057811193401043
0.9,0.1,0.0,0.6291208791208791,0.6175319781029222,0.6225579975579976,0.611819109237531,0.6112637362637363,0.6146755436702266,0.6258394383394383,0.6610276808988095
0.1,0.7,0.2,0.6263736263736264,0.6154227488331182,0.6249389499389499,0.6137449658005698,0.6167582417582418,0.6145838573168441,0.6256562881562882,0.6934745189228565
0.7,0.0,0.3,0.6263736263736264,0.6156479735482265,0.623046398046398,0.612869540682864,0.6043956043956044,0.6142587571155453,0.6247100122100122,0.7000738995363092
