benchmark,candidate,calibration,used_for_selection,accuracy,macro_f1,mae,pearson
clean_valid,seed_2028,raw,True,0.6195054945054945,0.6098124098124097,0.5765798228004804,0.6722288750072771
clean_valid,task_specific,raw,True,0.6332417582417582,0.6227432811855357,0.5763591455930209,0.6726189765783035
clean_valid,task_specific,OOF,True,0.6332417582417582,0.6227432811855357,0.5761177299867948,0.669367734913453
clean_test,seed_2028,raw,False,0.6698762035763411,0.6476821466045255,0.6163750435987889,0.6832480625468479
clean_test,task_specific,raw,False,0.6616231086657497,0.6361010189746296,0.6159752597507125,0.6840511517999116
clean_test,task_specific,global,False,0.6616231086657497,0.6361010189746296,0.6143230104100098,0.6840511517999115
Q2C2,seed_2028,raw,True,0.6140720390720391,0.6060549376771093,0.5763042371629103,0.6720929511659574
Q2C2,task_specific,raw,True,0.6241452991452991,0.6136295303580528,0.575969565542681,0.6722739521391697
Q2C2,task_specific,OOF,True,0.6241452991452991,0.6136295303580528,0.5762293710556126,0.6690721166541204
