missing_rate_percent,task_accuracy,task_macro_f1,task_mae_calibrated,task_pearson_calibrated,seed_2028_accuracy,seed_2028_macro_f1,seed_2028_mae_raw,seed_2028_pearson_raw
10,0.6262210012210012,0.6152760232938864,0.5757491999779829,0.6695131584940056,0.6173687423687424,0.6080320023016511,0.5758907599749911,0.6724633942995197
20,0.6263736263736264,0.6155415818615276,0.5754352005573593,0.6698449481256742,0.6163003663003663,0.6076108776793571,0.5754435278034072,0.6728820192338784
30,0.6268315018315018,0.6160809937869093,0.5762255198630949,0.6691363684939973,0.6152319902319903,0.6067997745645308,0.5762311788309952,0.6721902765650314
40,0.6224053724053724,0.6118000404084231,0.5765076962285536,0.6689903924015358,0.610958485958486,0.6037754257274159,0.576570120134069,0.6720640159231992
50,0.6188949938949939,0.6093601295840865,0.5772292386510725,0.6682132949325063,0.6105006105006106,0.6039109966471512,0.5773855990710894,0.671287415863469
