scenario_id,modality_combination,missing_rate_percent,task_accuracy,task_macro_f1,task_mae_calibrated,task_pearson_calibrated,seed_2028_accuracy,seed_2028_macro_f1,seed_2028_mae_raw,seed_2028_pearson_raw
1,A,10,0.6304945054945055,0.6192969097023923,0.576145743597831,0.6693674878869041,0.6153846153846154,0.6064348842826486,0.5763514462940313,0.6722178743090633
2,A,10,0.6236263736263736,0.6130799327678711,0.5756300577858647,0.6696721076406053,0.6167582417582418,0.6075327312931064,0.5759041689459111,0.6725692235560783
3,A,10,0.6291208791208791,0.6188374435034169,0.5760382268391795,0.6694415991167184,0.6181318681318682,0.6091050583371315,0.5764257156464098,0.6724628864336984
4,A,20,0.6222527472527473,0.6120456399985165,0.5759662207401388,0.669132171746004,0.6195054945054945,0.6103710997171725,0.5765641512001282,0.6719586864740676
5,A,20,0.6291208791208791,0.6181053137055506,0.5753082469566511,0.6700143133134139,0.6167582417582418,0.6076612067178105,0.5760422356549527,0.6729102025179905
6,A,20,0.6277472527472527,0.6172539689013555,0.5755833980176476,0.67004976717639,0.6153846153846154,0.606291959638566,0.5759994043958384,0.6729007042329962
7,A,30,0.625,0.6152083705544257,0.5759641859818618,0.6692800756682253,0.6181318681318682,0.6093928904671704,0.5764299488043064,0.672273997372976
8,A,30,0.6332417582417582,0.6231442097555795,0.5757569686229412,0.6697590660524464,0.6222527472527473,0.614315546887983,0.5765341012073415,0.6726110697660909
9,A,30,0.6304945054945055,0.6190989227445575,0.5770642378937084,0.6683409239880338,0.6195054945054945,0.6103939403554904,0.5779639472059168,0.6711510339398796
10,A,40,0.6263736263736264,0.6161783153999799,0.5762126173490679,0.6698555531411199,0.6126373626373627,0.605371055467995,0.577152352104639,0.6725979135042685
11,A,40,0.6291208791208791,0.6187489752418429,0.5748113098292232,0.6697864795403952,0.6167582417582418,0.6091793540159426,0.5753685513736455,0.672593245157373
12,A,40,0.6222527472527473,0.6112057812222557,0.5763149712103409,0.667752371572875,0.6153846153846154,0.6079299268302089,0.5767561111517332,0.6706303479071245
13,A,50,0.6181318681318682,0.60868132076574,0.5756583474454644,0.6689192675547565,0.6153846153846154,0.608469971191003,0.576269291934895,0.6716580176923247
14,A,50,0.6195054945054945,0.6099993528764641,0.5753987180625999,0.6691544875938485,0.603021978021978,0.5970699419816315,0.5760211708167424,0.6720011137540658
15,A,50,0.6222527472527473,0.6132389284318318,0.5769849563558679,0.6674723912147508,0.6112637362637363,0.6044295305448091,0.5783440406219318,0.670032911282871
16,V,10,0.6263736263736264,0.615981497309333,0.5754629660112189,0.6698955759843976,0.6195054945054945,0.6097079306144982,0.5755642179481604,0.6728026653317446
17,V,10,0.6263736263736264,0.6151409744810242,0.5757510546179591,0.6698521868188004,0.6195054945054945,0.6096896269481605,0.5756857111272249,0.6729266684027682
18,V,10,0.6263736263736264,0.6152998729597431,0.5759649105097239,0.6697757429469746,0.614010989010989,0.6042018156786135,0.5760396966444594,0.6726599956374999
19,V,20,0.6277472527472527,0.6163124025866922,0.5759750101758555,0.6693271838340479,0.6167582417582418,0.6075063373139501,0.5756462842103217,0.67241102364445
20,V,20,0.6263736263736264,0.6155033878995023,0.5747430500960284,0.6704393371141724,0.6167582417582418,0.6080930408612061,0.5745260875344604,0.6735918678796642
21,V,20,0.625,0.6139273313733901,0.5762139479179631,0.6695191740963785,0.6153846153846154,0.6066995744817785,0.5763625751689567,0.6725174172533417
22,V,30,0.6208791208791209,0.608802915615363,0.5763084876544201,0.6687992828167456,0.614010989010989,0.6048499994298164,0.5762871809426572,0.6718400876722357
23,V,30,0.6263736263736264,0.614751259239853,0.576617635388656,0.6692864388929441,0.614010989010989,0.6051504007942329,0.5765833342345533,0.6723770725667636
24,V,30,0.6291208791208791,0.6175036135049613,0.5767653299660801,0.6689629806283058,0.6112637362637363,0.6020019813384426,0.5767703199820532,0.6721144187920394
25,V,40,0.6195054945054945,0.607075419206403,0.5780746270369698,0.6685353357209414,0.6112637362637363,0.6031382974570382,0.578044008525027,0.6717118766984608
26,V,40,0.6222527472527473,0.610256661590424,0.5786139878238296,0.6676494711237095,0.6098901098901099,0.6016989083772556,0.5790017371035212,0.6708777317027255
27,V,40,0.6195054945054945,0.608504562103476,0.5765446995762351,0.6701495659777995,0.6098901098901099,0.6018919747581473,0.5760634728390109,0.6731721622230196
28,V,50,0.6208791208791209,0.6093322796007284,0.5779109451546447,0.6685460919220385,0.6098901098901099,0.602041806228968,0.5782768820709252,0.6716910071335047
29,V,50,0.6222527472527473,0.6106556261462007,0.5773996115994323,0.6695271913512737,0.614010989010989,0.6062372004711379,0.5775949665355485,0.6727885335458529
30,V,50,0.6222527472527473,0.6111401287589527,0.5788163314094255,0.6684635350993019,0.6153846153846154,0.60815734414662,0.579064748219245,0.6716439017765946
31,A+V,10,0.6236263736263736,0.6125971796179054,0.5760442911528624,0.6687367456978227,0.614010989010989,0.6048499994298164,0.576128162382232,0.6716802115542471
32,A+V,10,0.6236263736263736,0.6122933089761037,0.5757740145347603,0.6693403352611486,0.6181318681318682,0.6092128658843149,0.5758307785982941,0.6723517745095702
33,A+V,10,0.6263736263736264,0.6149570903271884,0.5749315347524462,0.6695366450926786,0.6208791208791209,0.6115531082465699,0.5750869421881961,0.6724992489610075
34,A+V,20,0.6236263736263736,0.6137244099946876,0.575310891327614,0.669602172715593,0.6153846153846154,0.6074264152418937,0.5746881984133314,0.6726614682079439
35,A+V,20,0.6236263736263736,0.6131034239571211,0.5742179881174814,0.6712861191723436,0.6126373626373627,0.6049469788126776,0.5736391023824831,0.6745304577354115
36,A+V,20,0.6318681318681318,0.6198983583369321,0.5755980516668532,0.6692342939627246,0.6181318681318682,0.6095012863291587,0.5755237112701922,0.6724563451590388
37,A+V,30,0.6277472527472527,0.617554878187964,0.5745515792299757,0.67075198124155,0.614010989010989,0.6061665443564065,0.5738699474873451,0.6738607822268703
38,A+V,30,0.6291208791208791,0.6192949029806425,0.5770055090739177,0.6677523689004897,0.6126373626373627,0.6047966011852458,0.5763087412854145,0.6709378508877519
39,A+V,30,0.6195054945054945,0.6093698714988371,0.575995744956293,0.6692941982572345,0.6112637362637363,0.6041300662659886,0.5753330883293689,0.672546175860675
40,A+V,40,0.6167582417582418,0.6074704847676086,0.5756969007793036,0.6696033731302862,0.6057692307692307,0.5997880371026151,0.5753298775385042,0.6729736154533674
41,A+V,40,0.6222527472527473,0.6123197205283212,0.5756684544331425,0.6689118807384029,0.6071428571428571,0.6008456005352197,0.5753498987223093,0.6719785030613344
42,A+V,40,0.6236263736263736,0.6144404436154961,0.5766316980188692,0.6686695006682928,0.6098901098901099,0.6041356770023211,0.5760650718482313,0.6720407476011194
