modality,window_size,start_unit,end_unit,positions,sample_index,sample_id,baseline,class_probability,hybrid_final_intensity,classification_probability_drop,regression_absolute_delta,positive_classification_drop,combined_raw_score,combined_score
T,2,23,24,28|29,18,18,missing,0.3978767991065979,-0.18564767228662965,0.16337645053863525,0.22324825854599478,0.16337645053863525,0.20058449362963438,0.04481904398810931
T,2,24,25,29|30,18,18,missing,0.3715188503265381,-0.16971079216003415,0.18973439931869507,0.23918513867259028,0.18973439931869507,0.22959858909746012,0.051302017808851186
T,2,25,26,30|31,18,18,missing,0.5531517863273621,-0.3963136173546314,0.008101463317871094,0.012582313477993046,0.008101463317871094,0.010198515564203267,0.00227877892958877
T,2,26,27,31|32,18,18,missing,0.5179756283760071,-0.33357795671224594,0.043277621269226074,0.0753179741203785,0.043277621269226074,0.05583061695595582,0.012474916839048117
T,2,27,28,32|33,18,18,missing,0.5071688890457153,-0.31230680046081544,0.05408436059951782,0.096589130371809,0.05408436059951782,0.07018254899481932,0.015681744354598133
T,2,28,29,33|34,18,18,missing,0.5645256042480469,-0.3905063854217529,-0.0032723546028137207,0.01838954541087151,0.0,0.003064924235145252,0.0006848334665830954
T,2,29,30,34|35,18,18,missing,0.5877720713615417,-0.4095338512420654,-0.026518821716308594,0.0006379204094409952,0.0,0.00010632006824016586,2.3756391778086936e-05
T,2,30,31,35|36,18,18,missing,0.5713581442832947,-0.39697352946400644,-0.010104894638061523,0.011922401368617996,0.0,0.001987066894769666,0.00044399463264811377
T,2,31,32,36|37,18,18,missing,0.5569831728935242,-0.41193151042461396,0.004270076751708984,0.0030355795919895234,0.004270076751708984,0.004776006683707239,0.001067161522663954
T,2,32,33,37|38,18,18,missing,0.5665948987007141,-0.41421921110749244,-0.005341649055480957,0.005323280274868003,0.0,0.0008872133791446671,0.00019824092454596995
T,2,33,34,38|39,18,18,missing,0.5510485172271729,-0.3934099879622459,0.010204732418060303,0.015485942870378522,0.010204732418060303,0.012785722896456722,0.002856870272206369
T,2,34,35,39|40,18,18,missing,0.506463885307312,-0.34008908415436745,0.05478936433792114,0.06880684667825698,0.05478936433792114,0.06625717211763064,0.014804649441900283
T,2,35,36,40|41,18,18,missing,0.5123786926269531,-0.34330065104961394,0.04887455701828003,0.0655952797830105,0.04887455701828003,0.05980710364878178,0.013363431842271513
T,2,36,37,41|42,18,18,missing,0.5677942633628845,-0.41571502262949944,-0.006541013717651367,0.00681909179687501,0.0,0.0011365152994791683,0.00025394549837221594
T,2,37,38,42|43,18,18,missing,0.6126344203948975,-0.4764709469437599,-0.05138117074966431,0.06757501611113548,0.0,0.011262502685189246,0.0025165185709505942
T,2,38,39,43|44,18,18,missing,0.6256325244903564,-0.5073108287811279,-0.06437927484512329,0.09841489794850344,0.0,0.01640248299141724,0.003665007166824853
T,2,39,40,44|45,18,18,missing,0.66705322265625,-0.5576401363968849,-0.10579997301101685,0.1487442055642605,0.0,0.024790700927376747,0.005539289180606966
T,2,40,41,45|46|47|48,18,18,missing,0.6636636853218079,-0.518837272143364,-0.10241043567657471,0.10994134131073952,0.0,0.018323556885123254,0.004094256176997082
T,3,0,2,1|2|3,18,18,missing,0.5412364602088928,-0.3920901637434959,0.020016789436340332,0.01680576708912851,0.020016789436340332,0.02281775061786175,0.0050984487890671365
T,3,1,3,2|3|4,18,18,missing,0.5537071824073792,-0.40792805436849594,0.007546067237854004,0.000967876464128492,0.007546067237854004,0.007707379981875419,0.0017221540717827083
T,3,2,4,3|4|5,18,18,missing,0.545155942440033,-0.38293938786387444,0.016097307205200195,0.025956542968749996,0.016097307205200195,0.020423397699991862,0.004563449264391945
T,3,3,5,4|5|6,18,18,missing,0.5465429425239563,-0.38667888981699944,0.014710307121276855,0.022217041015624994,0.014710307121276855,0.018413147290547688,0.004114274455822983
T,3,4,6,5|6|7,18,18,missing,0.5533384680747986,-0.3896704860091209,0.00791478157043457,0.019225444823503524,0.00791478157043457,0.011119022374351825,0.0024844590121757084
T,3,5,7,6|7|8,18,18,missing,0.5932713747024536,-0.4224241290748119,-0.03201812505722046,0.013528198242187484,0.0,0.002254699707031247,0.0005037951016093948
T,3,6,8,7|8|9,18,18,missing,0.6148430109024048,-0.4283413463592529,-0.05358976125717163,0.019445415526628484,0.0,0.003240902587771414,0.0007241544598691972
T,3,7,9,8|9|10,18,18,missing,0.6085754632949829,-0.41468114421367647,-0.047322213649749756,0.0057852133810520345,0.0,0.0009642022301753391,0.00021544348411824138
T,3,8,10,9|10|11,18,18,missing,0.5981871485710144,-0.4108756403088569,-0.03693389892578125,0.001979709476232494,0.0,0.00032995157937208236,7.372511245624374e-05
T,3,9,11,10|11|12,18,18,missing,0.57083660364151,-0.38065168718099596,-0.009583353996276855,0.028244243651628476,0.0,0.0047073739419380796,0.0010518260706720557
T,3,10,12,11|12|13,18,18,missing,0.5426673889160156,-0.3395831676483154,0.01858586072921753,0.06931276318430901,0.01858586072921753,0.030137987926602362,0.00673409884360043
T,3,11,13,12|13|14,18,18,missing,0.558771014213562,-0.3712809405982494,0.0024822354316711426,0.037614990234375034,0.0024822354316711426,0.00875140047073365,0.001955432324592333
T,3,12,14,13|14|15,18,18,missing,0.5662239789962769,-0.3968415524125099,-0.004970729351043701,0.012054378420114531,0.0,0.0020090630700190884,0.0004489095068152781
T,3,13,15,14|15|16,18,18,missing,0.5840166807174683,-0.42831932780742643,-0.022763431072235107,0.019423396974802,0.0,0.0032372328291336663,0.0007233344808626711
T,3,14,16,15|16|17,18,18,missing,0.5734682083129883,-0.39160621208548546,-0.012214958667755127,0.01728971874713897,0.0,0.0028816197911898287,0.0006438755152071359
T,3,15,17,16|17|18,18,18,missing,0.5771322846412659,-0.39574167204499244,-0.015879034996032715,0.01315425878763199,0.0,0.0021923764646053314,0.0004898694581400332
T,3,16,18,17|18|19,18,18,missing,0.6172083020210266,-0.46006111100912095,-0.05595505237579346,0.051165180176496516,0.0,0.008527530029416086,0.0019054102168237445
T,3,17,19,18|19|20|21|22,18,18,missing,0.6284007430076599,-0.5026034772157669,-0.06714749336242676,0.09370754638314249,0.0,0.015617924397190416,0.003489703655024845
T,3,18,20,19|20|21|22|23|24|25,18,18,missing,0.6039252281188965,-0.4546498370826244,-0.04267197847366333,0.045753906249999976,0.0,0.007625651041666663,0.0017038923761748647
