modality,window_size,start_unit,end_unit,positions,sample_index,sample_id,baseline,class_probability,hybrid_final_intensity,classification_probability_drop,regression_absolute_delta,positive_classification_drop,combined_raw_score,combined_score
V,1,0,0,1,1,01,missing,0.5739797949790955,0.056760042557120347,-0.00498354434967041,0.001539794921875004,0.0,0.00025663248697916735,0.0032107600996751427
V,1,1,1,2,1,01,missing,0.572578489780426,0.05807436885088685,-0.0035822391510009766,0.0002254686281085022,0.0,3.757810468475037e-05,0.0004701442150346553
V,1,2,2,3,1,01,missing,0.5770069360733032,0.05421387898325922,-0.008010685443878174,0.004085958495736133,0.0,0.0006809930826226889,0.00851998686361638
V,1,3,3,4,1,01,missing,0.5674225687980652,0.06257827033996584,0.0015736818313598633,0.004278432860970488,0.0015736818313598633,0.0022867539748549445,0.02860985569934413
V,1,4,4,5,1,01,missing,0.5691726803779602,0.06278723848015072,-0.00017642974853515625,0.0044874010011553694,0.0,0.0007479001668592283,0.009357069490921171
V,1,5,5,6,1,01,missing,0.5696555972099304,0.06508593501299621,-0.0006593465805053711,0.006786097534000862,0.0,0.0011310162556668103,0.014150281238843165
V,1,6,6,7,1,01,missing,0.5690245628356934,0.0608789953157306,-2.8312206268310547e-05,0.002579157836735249,0.0,0.00042985963945587485,0.005378025966516485
V,1,7,7,8,1,01,missing,0.5704845786094666,0.05890475691258909,-0.001488327980041504,0.0006049194335937397,0.0,0.00010081990559895661,0.0012613700391580667
V,1,8,8,9,1,01,missing,0.5745593309402466,0.056501579666137725,-0.005563080310821533,0.001798257812857626,0.0,0.000299709635476271,0.0037497035172850456
V,1,9,9,10,1,01,missing,0.5712957978248596,0.05872878303527834,-0.0022995471954345703,0.0004289455562829919,0.0,7.149092604716532e-05,0.0008944316268879012
V,1,10,10,11,1,01,missing,0.5672122240066528,0.058244844803214096,0.0017840266227722168,5.499267578125411e-05,0.0017840266227722168,0.0017931920687357591,0.022434842965996266
V,1,11,11,12,1,01,missing,0.5703696012496948,0.06018608894348147,-0.0013733506202697754,0.0018862514644861217,0.0,0.0003143752440810203,0.003933186721223306
V,1,12,12,13,1,01,missing,0.5642313361167908,0.06421704805046322,0.004764914512634277,0.005917210571467865,0.004764914512634277,0.005751116274545588,0.07195291165300634
V,1,13,13,14,1,01,missing,0.5698707699775696,0.05996062031537297,-0.0008745193481445312,0.0016607828363776195,0.0,0.00027679713939626993,0.003463042506188651
V,1,14,14,15,1,01,missing,0.5730527639389038,0.055852663406729716,-0.00405651330947876,0.0024471740722656343,0.0,0.00040786234537760574,0.005102815158412286
V,1,15,15,16,1,01,missing,0.5736774206161499,0.055423717850446724,-0.0046811699867248535,0.0028761196285486262,0.0,0.000479353271424771,0.005997246785300187
V,1,16,16,17,1,01,missing,0.5725405812263489,0.05872327839732172,-0.003544330596923828,0.00042344091832637043,0.0,7.057348638772841e-05,0.0008829534282893788
V,1,17,17,18,1,01,missing,0.5749339461326599,0.057815899246931104,-0.005937695503234863,0.000483938232064246,0.0,8.065637201070767e-05,0.001009101630447736
V,1,18,18,19,1,01,missing,0.5733292698860168,0.05953717268407348,-0.004333019256591797,0.0012373352050781272,0.0,0.00020622253417968786,0.0025800750800960945
V,1,19,19,20,1,01,missing,0.5740245580673218,0.05943818989545109,-0.0050283074378967285,0.0011383524164557401,0.0,0.00018972540274262337,0.0023736774723702924
V,1,20,20,21,1,01,missing,0.5728076696395874,0.051706221023201965,-0.0038114190101623535,0.006593616455793386,0.0,0.0010989360759655644,0.013748922228580639
V,1,21,21,22,1,01,missing,0.5719203948974609,0.05921272126734259,-0.0029241442680358887,0.0009128837883472379,0.0,0.000152147298057873,0.0019035332573356372
