scenario_id,scenario,modality_combination,missing_rate_percent,position,seed_2026_raw_accuracy,seed_2026_raw_macro_f1,seed_2026_raw_weighted_f1,seed_2026_raw_mae,seed_2026_raw_pearson,seed_2027_raw_accuracy,seed_2027_raw_macro_f1,seed_2027_raw_weighted_f1,seed_2027_raw_mae,seed_2027_raw_pearson,seed_2028_raw_accuracy,seed_2028_raw_macro_f1,seed_2028_raw_weighted_f1,seed_2028_raw_mae,seed_2028_raw_pearson,ensemble_raw_accuracy,ensemble_raw_macro_f1,ensemble_raw_weighted_f1,ensemble_raw_mae,ensemble_raw_pearson,ensemble_cal_accuracy,seed_2028_cal_accuracy,ensemble_cal_macro_f1,seed_2028_cal_macro_f1,ensemble_cal_weighted_f1,seed_2028_cal_weighted_f1,ensemble_cal_mae,seed_2028_cal_mae,ensemble_cal_pearson,seed_2028_cal_pearson
16,A_10_Head,A,10,Head,0.625,0.6134445040855456,0.6317866989155335,0.5886609950768096,0.6637942061967722,0.625,0.6143334242143818,0.6320902034829563,0.6033435481303668,0.6593249132311144,0.6167582417582418,0.6073916083420904,0.6241361801313184,0.5772552043404225,0.6710604371069664,0.625,0.6136167291827669,0.6320617621027117,0.5843567158753946,0.6678803336014569,0.625,0.6167582417582418,0.6136167291827669,0.6073916083420904,0.6320617621027117,0.6241361801313184,0.5734306710370896,0.57706508267327,0.6656438437402905,0.6681269008419334
17,A_10_Middle,A,10,Middle,0.6236263736263736,0.6121663173548014,0.6299746697346358,0.5878841256579528,0.6649291376103753,0.6318681318681318,0.6215896345348012,0.6391041836571999,0.6026114415541127,0.6610972080874751,0.6153846153846154,0.6060114909490459,0.6223965992671375,0.5752851775755267,0.6728720293773564,0.6236263736263736,0.6127557389329673,0.6306548565913374,0.583069163002756,0.6692536077842156,0.6236263736263736,0.6153846153846154,0.6127557389329673,0.6060114909490459,0.6306548565913374,0.6223965992671375,0.5721828618762749,0.5755655175677531,0.6670520834939536,0.6699997433517334
18,A_10_Tail,A,10,Tail,0.6222527472527473,0.6099149153351684,0.6289885743100496,0.5888848759356763,0.6643971142818023,0.6277472527472527,0.6167788122565593,0.6349381413042059,0.6042087357491255,0.6604349216076969,0.6208791208791209,0.6103482076914495,0.6279955348394138,0.5763780968570775,0.673031486850046,0.6263736263736264,0.6144625769549223,0.6332969093280963,0.5840023441833782,0.669030090476058,0.6263736263736264,0.6208791208791209,0.6144625769549223,0.6103482076914495,0.6332969093280963,0.6279955348394138,0.5728200723885016,0.5758272127932409,0.6668827968280098,0.6701686193575724
19,A_20_Head,A,20,Head,0.625,0.6139148146151975,0.6321720621390526,0.5879207125117818,0.6634334932573854,0.6263736263736264,0.6161168316673581,0.6331801606759012,0.6031385800381611,0.659040588072534,0.614010989010989,0.6051917740019195,0.6215569191842304,0.5779377282852982,0.6702729821597762,0.6318681318681318,0.6213788405842315,0.6390035495258013,0.5845172530988525,0.667374568098782,0.6318681318681318,0.614010989010989,0.6213788405842315,0.6051917740019195,0.6390035495258013,0.6215569191842304,0.5738786511544288,0.577988854279148,0.6651042301345622,0.6672886806701065
20,A_20_Middle,A,20,Middle,0.6195054945054945,0.6081217506064581,0.6259816359744644,0.5868748684546777,0.6650841284874707,0.6291208791208791,0.6187985038339264,0.6362468245678724,0.6023903303462398,0.6614607701983719,0.6195054945054945,0.6107418686912175,0.6270955304282412,0.5754742373681658,0.6727285535931334,0.6208791208791209,0.6097247145759154,0.6280224974483501,0.5826730880913608,0.6693440540948755,0.6208791208791209,0.6195054945054945,0.6097247145759154,0.6107418686912175,0.6280224974483501,0.6270955304282412,0.5719121179650282,0.5756388125667696,0.6671129286103025,0.6698169498588883
21,A_20_Tail,A,20,Tail,0.6208791208791209,0.6091234333278683,0.627574484078651,0.5883500334694163,0.6645366230584258,0.635989010989011,0.6240014963271423,0.6426855157703012,0.6037131750362588,0.6614676062436335,0.6181318681318682,0.6074199179677872,0.6255796029616391,0.5764948974803581,0.6731772385383152,0.6236263736263736,0.6114183511627624,0.6306535144498725,0.5836092665614118,0.6694215276441703,0.6236263736263736,0.6181318681318682,0.6114183511627624,0.6074199179677872,0.6306535144498725,0.6255796029616391,0.5726196977336493,0.5758478093107159,0.6673025491513119,0.6703506848785611
22,A_30_Head,A,30,Head,0.6222527472527473,0.6126434615405626,0.6290460902698903,0.5876005056344873,0.6634681742319175,0.6181318681318682,0.6078861627462224,0.6252223055569923,0.6032161215872882,0.6590644905657789,0.6112637362637363,0.6045334593721691,0.6191672412427464,0.5792738926484362,0.6695428131787738,0.6318681318681318,0.6217204868555596,0.6390073401436663,0.5846977933845567,0.6671618574226186,0.6318681318681318,0.6112637362637363,0.6217204868555596,0.6045334593721691,0.6390073401436663,0.6191672412427464,0.5744639932397247,0.5788798750728205,0.6648622707011808,0.6665155228231521
23,A_30_Middle,A,30,Middle,0.6181318681318682,0.6075962893339604,0.6249509490319093,0.5860970844156467,0.6644959457013223,0.6277472527472527,0.6167164145792513,0.6347786626125316,0.6023091606099854,0.6609758742627714,0.6195054945054945,0.6116200866105556,0.6270837032699551,0.5756769307408032,0.6719437038004252,0.6263736263736264,0.6160404739991993,0.6334309620060006,0.5823076519050768,0.6687065371148977,0.6263736263736264,0.6195054945054945,0.6160404739991993,0.6116200866105556,0.6334309620060006,0.6270837032699551,0.571804267640925,0.5759905823615716,0.6664773041084836,0.6690164523061418
24,A_30_Tail,A,30,Tail,0.6181318681318682,0.6075721656061769,0.6254111884562399,0.5870193191650477,0.6651785270093188,0.6304945054945055,0.6188703834689236,0.6367829534840443,0.6027455887665133,0.6624878293152314,0.6167582417582418,0.6060922297873078,0.6245217625330913,0.5764783382784207,0.6732889170032562,0.6236263736263736,0.6122771171713074,0.6305040479697885,0.5829457587634141,0.6699989422615963,0.6236263736263736,0.6167582417582418,0.6122771171713074,0.6060922297873078,0.6305040479697885,0.6245217625330913,0.5721604933160402,0.5760188163876696,0.6679084572208893,0.670478705116888
25,A_40_Head,A,40,Head,0.6181318681318682,0.6096852431219489,0.6259865214348997,0.587505490017625,0.6631234936950309,0.614010989010989,0.6037350775141456,0.621759195739593,0.6045989298599435,0.6590286312084288,0.6126373626373627,0.6063792074947681,0.6204214771395946,0.580132883758499,0.6690361346012907,0.6263736263736264,0.6170317013069254,0.6337573037861249,0.5851800131096399,0.6668338631623713,0.6263736263736264,0.6126373626373627,0.6170317013069254,0.6063792074947681,0.6337573037861249,0.6204214771395946,0.5747978393454856,0.579899767466217,0.6645034602131932,0.665950344258879
26,A_40_Middle,A,40,Middle,0.6181318681318682,0.6077585796693795,0.625219072850126,0.5846232155563085,0.6645313907070917,0.6304945054945055,0.619453235004362,0.6374039223792892,0.6021053298366267,0.661533702063582,0.6167582417582418,0.6091882305980221,0.6243630178078995,0.5755869194578666,0.6716794617627082,0.6208791208791209,0.6109273925145661,0.6282167016764173,0.5812410850268909,0.6688264796937713,0.6208791208791209,0.6167582417582418,0.6109273925145661,0.6091882305980221,0.6282167016764173,0.6243630178078995,0.5711861957738197,0.5762172529387114,0.66654108874649,0.6686798876931078
27,A_40_Tail,A,40,Tail,0.6195054945054945,0.6083232225413151,0.6264639178665676,0.586837203477274,0.6637390035634857,0.6304945054945055,0.618843216404192,0.6370024597041484,0.6032253210074626,0.6621837187504279,0.6222527472527473,0.6132178704294747,0.6302041301462408,0.5767431893068683,0.6728285336774469,0.6236263736263736,0.6119277415237727,0.630592269429467,0.5831056972658568,0.669270408017763,0.6236263736263736,0.6222527472527473,0.6119277415237727,0.6132178704294747,0.630592269429467,0.6302041301462408,0.5721383129913128,0.5763169356801515,0.6671980445013678,0.6700296219835845
