modality_combination,seed_2026_raw_accuracy,seed_2026_raw_macro_f1,seed_2026_raw_mae,seed_2026_raw_pearson,seed_2027_raw_accuracy,seed_2027_raw_macro_f1,seed_2027_raw_mae,seed_2027_raw_pearson,seed_2028_raw_accuracy,seed_2028_raw_macro_f1,seed_2028_raw_mae,seed_2028_raw_pearson,ensemble_raw_accuracy,ensemble_raw_macro_f1,ensemble_raw_mae,ensemble_raw_pearson,ensemble_cal_accuracy,seed_2028_cal_accuracy,ensemble_cal_macro_f1,seed_2028_cal_macro_f1,ensemble_cal_mae,seed_2028_cal_mae,ensemble_cal_pearson,seed_2028_cal_pearson
A,0.6206043956043956,0.6099328350004478,0.5863480370327994,0.6646934597129025,0.6271062271062271,0.6166077749360092,0.6023242120109089,0.6616493304845297,0.6157509157509158,0.6075966065152446,0.5765417758238949,0.6720379485267246,0.6241758241758242,0.6133958779172233,0.5825690157161126,0.6691197245766668,0.6241758241758242,0.6157509157509158,0.6133958779172233,0.6075966065152446,0.5721574487868865,0.5766864120676894,0.6668943741524883,0.6690933350733504
A+V,0.6187728937728938,0.6093409700135975,0.5886193046298547,0.6614400643316205,0.6304029304029304,0.6188784751482341,0.6060817994900566,0.6620329076250027,0.6123626373626373,0.6050764237101612,0.575603520792428,0.6721525625869563,0.6217948717948718,0.6115177379492561,0.5842371697122543,0.6678902566504552,0.6217948717948718,0.6123626373626373,0.6115177379492561,0.6050764237101612,0.5730602728968212,0.5763876308180201,0.6657824835454834,0.6693562198730427
V,0.6241758241758242,0.61191819510193,0.5894709643031105,0.6625076037033051,0.6252747252747253,0.6146292050574107,0.6072704462436856,0.6606601858057884,0.6141025641025641,0.6054044159266577,0.5767674148724083,0.6723417620173777,0.6221611721611722,0.610540382371912,0.5854542678133363,0.6679227862547018,0.6221611721611722,0.6141025641025641,0.610540382371912,0.6054044159266577,0.5740005225255321,0.5770568212054206,0.6658064237533919,0.6695256749583194
