missing_rate_percent,seed_2026_raw_accuracy,seed_2026_raw_macro_f1,seed_2026_raw_mae,seed_2026_raw_pearson,seed_2027_raw_accuracy,seed_2027_raw_macro_f1,seed_2027_raw_mae,seed_2027_raw_pearson,seed_2028_raw_accuracy,seed_2028_raw_macro_f1,seed_2028_raw_mae,seed_2028_raw_pearson,ensemble_raw_accuracy,ensemble_raw_macro_f1,ensemble_raw_mae,ensemble_raw_pearson,ensemble_cal_accuracy,seed_2028_cal_accuracy,ensemble_cal_macro_f1,seed_2028_cal_macro_f1,ensemble_cal_mae,seed_2028_cal_mae,ensemble_cal_pearson,seed_2028_cal_pearson
10,0.6233211233211233,0.6115278705254737,0.5890091472170037,0.6638273652044835,0.6265262515262515,0.6163083699073092,0.6040972707058521,0.6607026747150512,0.6173687423687424,0.6080320023016511,0.5758907599749911,0.6724633942995197,0.6251526251526252,0.6138359224920529,0.5841616125035186,0.6685803601760532,0.6251526251526252,0.6173687423687424,0.6138359224920529,0.6080320023016511,0.5730684959430598,0.5762024777484228,0.6663895827977,0.6695738188855507
20,0.6234737484737485,0.6121496656470828,0.5882023396186522,0.6634953580066075,0.632020757020757,0.621415825314732,0.6036970702833491,0.6612928019471151,0.6163003663003663,0.6076108776793571,0.5754435278034072,0.6728820192338784,0.6254578754578755,0.6140510231237906,0.5836349949293751,0.6687108718580779,0.6254578754578755,0.6163003663003663,0.6140510231237906,0.6076108776793571,0.5727595443280946,0.5758121775181757,0.6665468124488962,0.6700237105461324
30,0.6239316239316239,0.6128578300004105,0.588159568046057,0.6630452823564834,0.6294261294261294,0.6183526212033941,0.6046515526738978,0.6614851393319892,0.6152319902319903,0.6067997745645308,0.5762311788309952,0.6721902765650314,0.6234737484737485,0.6124662463406108,0.5840083682582868,0.66831463034417,0.6234737484737485,0.6152319902319903,0.6124662463406108,0.6067997745645308,0.5730797566221614,0.5766980516209981,0.6661781505308203,0.6693250063983469
40,0.6192002442002442,0.6088077587989513,0.5880591261413253,0.6624947100900014,0.6259157509157509,0.6147648767067019,0.6061069628608132,0.6621034528917417,0.610958485958486,0.6037754257274159,0.576570120134069,0.6720640159231992,0.6193528693528694,0.6086734321479199,0.5843042181141441,0.6683086318366668,0.6193528693528694,0.610958485958486,0.6086734321479199,0.6037754257274159,0.5731865420383642,0.5769708520998866,0.6661747674522314,0.6692396622424739
50,0.615995115995116,0.6066435418880405,0.5873003289199028,0.6615391639221376,0.6240842490842491,0.6126840654372862,0.6075745730505067,0.6616533043063038,0.6105006105006106,0.6039109966471512,0.5773855990710894,0.671287415863469,0.6201159951159951,0.6100633729596114,0.5843248949308475,0.6676401182547383,0.6201159951159951,0.6105006105006106,0.6100633729596114,0.6039109966471512,0.5732694014170527,0.5778678811644005,0.6655161558559584,0.6684631851020171
