bootstrap_rep,accuracy_gain,macro_f1_gain,mae_reduction,pearson_gain
0,0.017032967032966972,0.01249177492336917,-0.007239598863048258,-0.003763148388609139
1,0.008485958485958456,0.004727095447833896,-0.01304005065316538,-0.008848188472228125
2,0.008516483516483486,0.006774500307484388,-0.012343456710457335,-0.0015940820381241672
3,0.011446886446886406,0.005523457051449521,-0.004510835781663114,0.0003161589354073735
4,0.016636141636141688,0.012665830174370618,-0.008969389786432025,-0.0078025391700284885
5,0.01379731379731386,0.01245178712238193,-0.00725335759703194,-0.003662775877197877
6,0.025854700854700763,0.02169135610007611,-0.004253724155554139,-0.005731583587417655
7,0.011477411477411548,0.009757354391035311,-0.011377086518593926,-0.004105282197431004
8,0.007081807081807168,0.004974792662278182,-0.010169366985789852,-0.005350549880693833
9,-0.0014346764346764296,-0.003587999482604798,-0.00609567966289426,0.0015506253614818721
10,-0.0010683760683760646,-0.0044665139018704725,-0.014371124504905075,-0.013080444218755982
11,0.013095238095238049,0.00926552689188087,-0.007002116210901077,-3.3215164115474316e-05
12,-3.0525030525030417e-05,-0.000982040323445732,0.0006158288648616672,0.0047003293628976595
13,0.016483516483516425,0.012874496619442288,-0.0043740335480441095,0.002161422880642805
14,0.018589743589743524,0.015266216998119475,-0.007314164807969203,-0.00018646971361202525
15,-0.0028998778998778896,-0.005629752516775555,-0.015664526472671136,-0.01029389669155234
16,0.015018315018314965,0.013951702998676985,-0.01044198080175629,-0.0021949500296934987
17,0.006288156288156266,0.004782315469538223,-0.009237603330131905,-0.005632924463552791
18,0.0016483516483516425,-0.001966513261822289,-0.0016101364002366614,0.005626439571937203
19,-0.0009768009768009733,-0.002632924106078627,-0.01408061153358886,-0.016021651409881543
20,-0.004853479853479836,-0.006696907899622406,-0.013464845904354927,-0.006155748336721056
21,0.015140415140415198,0.013333365417362075,-0.012677007046932531,-0.007252054177001033
22,0.01834554334554328,0.01653884195810673,-0.011329896274406726,-0.007015549171667024
23,0.008913308913308882,0.006485534540710436,0.0027287603892298673,0.0025228117485724955
24,0.012148962148962217,0.009440127016651312,-0.009031708371750824,-0.002266481530094011
