bootstrap_rep,accuracy_gain,macro_f1_gain,mae_reduction,pearson_gain
0,0.01098901098901095,0.008973746153024709,0.0012895775289435418,-0.0034519748799745065
1,0.01236263736263743,0.009093868755562728,0.00017628943382497209,-0.0012577928009733785
2,0.01236263736263743,0.008604577343741315,0.010948888535246448,0.0008159967567783477
3,-0.006868131868131955,-0.00902756176043007,0.004042083369643068,-0.002084867681584668
4,0.006868131868131955,0.006292367493382023,-0.004060489784393995,-0.016613379439103904
5,0.009615384615384581,0.006956340944500039,0.007029065034901527,-0.00309243750694288
6,0.010989010989011061,0.009314606477010434,0.004350753181064704,0.003627006469939187
7,0.01098901098901095,0.010015221115285522,0.006021362176744871,0.004447811045089067
8,0.012362637362637319,0.010743077823877512,0.004568210622657332,0.0011928356299591991
9,0.01098901098901095,0.009959475684401364,0.001849403669245575,-0.00348416528185691
10,0.0027472527472527375,-5.6754859715013595e-05,0.0010380835519223641,-0.00322000761119412
11,0.010989010989011061,0.008587133983033346,0.010875984408097672,0.005579579526895362
12,0.008241758241758323,0.005947130432347736,0.008105244350056662,-0.0018098585387917865
13,0.0013736263736263687,0.0009467218776160191,-0.003086982000114147,-0.006851888203527667
14,-0.0027472527472527375,-0.0021725770355891516,0.0048320333123370585,-0.0014756499989194705
15,0.012362637362637319,0.009769491097379679,0.008709013736810212,0.004120835493852115
16,0.0013736263736263687,-4.531606405500099e-05,0.004454437789026211,-0.0017643508744770164
17,-0.004120879120879106,-0.005437727421934491,0.003404463170758154,-0.0013954058706924233
18,0.0013736263736263687,-0.0020302857239894445,0.00645697094543729,0.0007541772937255109
19,0.010989010989011061,0.006952819718927694,0.003690053040837138,-0.0009558161530918152
20,-0.0027472527472527375,-0.004874824070699835,0.006655533340496844,-0.0011931255473072166
21,0.005494505494505475,0.004295597498400805,0.0022672968789280157,-0.0048595830895143965
22,-0.008241758241758212,-0.011590015804305409,0.0032331956418115704,-0.002070081866256457
23,-0.005494505494505475,-0.008797037650907447,0.0019715645999098808,-0.00031663173665663624
24,0.0,-0.0003993126323003082,0.005066149363696759,-0.0011491745688748667
25,0.015109890109890167,0.013116336717061583,0.0021292771192424897,-2.99150624026856e-05
26,0.004120879120879217,0.004050017922908822,0.001628261302471623,-0.004806529192013187
27,0.004120879120879106,0.0007294007890100707,0.0003860584464975281,-0.006591705131719805
28,0.0,-0.003695656896500532,-0.004307808664473889,-0.012861625280529476
29,0.013736263736263687,0.012382283630587243,0.0013965871082447512,-0.002752362565873745
30,0.016483516483516425,0.015211143452158349,0.008959573985920177,0.0083333263220019
31,-0.0013736263736263687,-0.0032978773474530154,0.0031248974170222654,0.0016412762650662716
32,-0.005494505494505475,-0.007968663571475743,0.0032133874899464843,-0.00790580544508912
33,0.01098901098901095,0.007699574051603153,0.002949483333708036,0.0026032418641019905
34,0.015109890109890167,0.013699364734432562,-0.0011931801334078562,-0.008813866740978726
35,0.0027472527472527375,0.003525340307048097,0.001058385010085372,-0.008963732418899695
36,-0.0027472527472527375,-0.0031128592614317885,0.0024577992153471673,-0.004348847117831789
37,0.006868131868131844,0.0024228681303195554,0.0046953918154150065,-0.001457383852642713
38,0.010989010989011061,0.007203368949431188,0.002692424057877063,-0.003748691490246703
39,0.004120879120879106,0.0012775372681610442,0.00723557930248675,5.678438867262603e-05
40,0.004120879120879106,0.002838964466789551,0.0014312931008828578,-0.0064374524855586035
41,0.005494505494505475,0.004844734872595513,0.004301907141866845,-0.0012920520103487654
42,0.004120879120879106,0.0032657426547296753,0.006368460897287931,0.0013175179839309825
43,-0.017857142857142905,-0.019768517276412823,0.003322460577928843,-0.006989638185774583
44,0.017857142857142794,0.014895676547372116,-0.000638101347309461,-0.008794229500971529
45,0.008241758241758212,0.0042556247914421474,0.0008898412838250769,-0.005042887027649878
