model,clean_valid_accuracy,clean_valid_macro_f1,clean_valid_mae,clean_valid_pearson,task_accuracy,task_macro_f1,task_mae,task_pearson,task_worst_accuracy
Classical_R1,0.5906593406593407,0.5714595784187049,0.65499454469594,0.5523251987965572,0.5854090354090354,0.5710837548269756,0.6505916080118064,0.5629538488871397,0.5659340659340659
Classical_V0,0.614010989010989,0.5935713934308411,0.8555005696405494,0.4477455592467122,0.6116605616605616,0.5928676612892849,0.8521829473714417,0.44779784790227234,0.5989010989010989
Q2B,0.6071428571428571,0.5972587605981435,0.5899538993835449,0.6464784939503869,0.6088827838827839,0.6018320726219888,0.5862879395484925,0.6517765248341496,0.5851648351648352
Q2D_R2_AV_MultiGap,0.6291208791208791,0.6169033433621594,0.5898934602737427,0.6639517968975472,0.6211843711843712,0.6104281303828081,0.5885622911983066,0.6624664910805858,0.6057692307692307
