missing_rate_percent,accuracy,macro_f1,mae,pearson
10,0.5873015873015873,0.5700194284928509,0.6530464867502906,0.5563942263129812
20,0.5882173382173382,0.5720262960202481,0.6511759575244871,0.5605557102776593
30,0.585927960927961,0.571566318958872,0.650503828087924,0.5630455400364158
40,0.5845543345543346,0.5718858981065158,0.6495961229076952,0.5657343811938653
50,0.581043956043956,0.5699208325563911,0.6486356447886343,0.5690393866147775
