modality_combination,accuracy,macro_f1,mae,pearson
A,0.5827838827838828,0.5690870707672102,0.6491890938741055,0.564317122483129
A+V,0.5835164835164836,0.5715136051144488,0.6481243766469015,0.5688419980642699
V,0.5899267399267399,0.5726505885992678,0.6544613535144117,0.5557024261140204
