alpha,valid_mae,valid_pearson,seconds
1.0,1.3030920374913366,0.3026822755421968,2.332064151763916
3.0,1.283622238344953,0.30769988036494533,2.3376235961914062
10.0,1.226555370132101,0.322138446031369,1.880889892578125
30.0,1.123024346992619,0.34640243370819584,1.3921546936035156
100.0,0.9724112023486868,0.38864142553098313,0.9728102684020996
300.0,0.8435798448582108,0.43265942481045877,0.6815271377563477
1000.0,0.7478383506474259,0.48404861826444073,0.43859195709228516
3000.0,0.6966494238822833,0.523995781329712,0.2910032272338867
10000.0,0.6628531090874266,0.5465563926948698,0.1909952163696289
30000.0,0.65499454469594,0.5523251987965572,0.13791918754577637
100000.0,0.6717234279776176,0.5273425418281571,0.09973788261413574
