position,accuracy,macro_f1,mae,pearson
Head,0.5818681318681319,0.5652421826664301,0.6544228443275496,0.5558852313267637
Middle,0.5881868131868131,0.5734590002031401,0.6500808289718061,0.5637454196249398
Tail,0.5861721611721612,0.5745500816113566,0.6472711507360632,0.5692308957097159
