scenario_id,scenario,modality_combination,missing_rate_percent,missing_rate_target,position,accuracy,macro_f1,weighted_f1,mae,pearson,recall_negative,recall_neutral,recall_positive,f1_negative,f1_neutral,f1_positive,mae_negative,mae_neutral,mae_positive
1,T_10_Head,T,10,0.1,Head,0.5082417582417582,0.4976023019577642,0.5149158710786439,0.6938398768613626,0.4573757475603062,0.36893203883495146,0.592391304347826,0.5473372781065089,0.475,0.4351297405189621,0.5826771653543307,1.001114109512961,0.2271081124148939,0.7606450624587621
2,T_10_Middle,T,10,0.1,Middle,0.5769230769230769,0.5595100589473991,0.5793307697832585,0.6565374591602728,0.5462832228371663,0.558252427184466,0.4673913043478261,0.6479289940828402,0.5897435897435898,0.4398976982097187,0.6488888888888888,0.8826604931099901,0.3405622281943974,0.6907330139060698
3,T_10_Tail,T,10,0.1,Tail,0.5837912087912088,0.562849002994605,0.5844613088953523,0.6560689107832182,0.5491257921429952,0.5728155339805825,0.44021739130434784,0.6686390532544378,0.5989847715736041,0.4297082228116711,0.6598540145985401,0.8828530058047726,0.35026546162755595,0.684324268979081
4,T_20_Head,T,20,0.2,Head,0.4807692307692308,0.4646338724561562,0.4841268985070088,0.7008026398329453,0.43713767167049233,0.30097087378640774,0.5978260869565217,0.5266272189349113,0.4065573770491803,0.42226487523992323,0.5650793650793651,1.016863813931213,0.2134262253732785,0.7734909782836423
5,T_20_Middle,T,20,0.2,Middle,0.5604395604395604,0.5429001746680012,0.5636406479640326,0.6585515061557129,0.5406571611240899,0.5048543689320388,0.4782608695652174,0.6390532544378699,0.5561497326203209,0.43349753694581283,0.6390532544378699,0.8916803344867184,0.3235894001453467,0.6988133075454178
6,T_20_Tail,T,20,0.2,Tail,0.5686813186813187,0.5493473860109673,0.5708839165657834,0.6597262299875473,0.5426532749405998,0.5339805825242718,0.45108695652173914,0.6538461538461539,0.5774278215223098,0.42346938775510207,0.6471449487554904,0.8905578162340284,0.3382690759456676,0.6940363174932596
7,T_30_Head,T,30,0.3,Head,0.4491758241758242,0.4293520632250658,0.44771953486058974,0.709001629224436,0.4135715260783664,0.23786407766990292,0.6358695652173914,0.47633136094674555,0.34146341463414637,0.41785714285714287,0.5287356321839081,1.0295711021544864,0.19952641812193653,0.7909724204057067
8,T_30_Middle,T,30,0.3,Middle,0.5535714285714286,0.5378063892692314,0.5580637934512038,0.6615271137229034,0.5342808714030965,0.47572815533980584,0.5054347826086957,0.6272189349112426,0.5429362880886427,0.4376470588235294,0.6328358208955224,0.9000849817129015,0.307117672070213,0.7090668073860851
9,T_30_Tail,T,30,0.3,Tail,0.5604395604395604,0.5432912256206922,0.5636630854687021,0.6639296459341115,0.5362696124191774,0.5145631067961165,0.4673913043478261,0.6390532544378699,0.5668449197860963,0.4267990074441687,0.6362297496318114,0.9000755251538985,0.32327304075917473,0.7054526170374021
10,T_40_Head,T,40,0.4,Head,0.42857142857142855,0.4014059509901817,0.418276348991578,0.7167295638963089,0.38649209886901764,0.1796116504854369,0.6956521739130435,0.4349112426035503,0.2813688212927757,0.42454394693200664,0.49830508474576274,1.0424675690462288,0.1839109900933893,0.8082579322952843
