modality_combination,mean_actual_missing_rate,mean_effective_gap_count,mean_primitive_gap_count,q2b_raw_accuracy,q2b_raw_macro_f1,q2b_raw_weighted_f1,q2b_raw_mae,q2b_raw_pearson,r2_raw_accuracy,r2_raw_macro_f1,r2_raw_weighted_f1,r2_raw_mae,r2_raw_pearson,q2b_cal_oof_accuracy,q2b_cal_oof_macro_f1,q2b_cal_oof_weighted_f1,q2b_cal_oof_mae,q2b_cal_oof_pearson,r2_cal_oof_accuracy,r2_cal_oof_macro_f1,r2_cal_oof_weighted_f1,r2_cal_oof_mae,r2_cal_oof_pearson
A,0.30431699402657375,5.551831501831502,5.65934065934066,0.6068681318681318,0.6015421413259242,0.6143611212223445,0.5840325041390929,0.6501607924886073,0.6206043956043956,0.6099328350004478,0.6278309346479983,0.5863480370327994,0.6646934597129025,0.6068681318681318,0.6015421413259242,0.6143611212223445,0.5863124753621908,0.648972450253481,0.6206043956043956,0.6099328350004478,0.6278309346479983,0.5719042765997814,0.6629552032288294
A+V,0.30431699402657375,5.562912087912087,5.670695970695971,0.6034798534798536,0.5987109705822417,0.6124695573890411,0.5823854115515292,0.6554448718584583,0.6187728937728938,0.6093409700135975,0.6255463082967652,0.5886193046298547,0.6614400643316205,0.6034798534798536,0.5987109705822417,0.6124695573890411,0.5822019536198659,0.6543291084803227,0.6187728937728938,0.6093409700135975,0.6255463082967652,0.574153709508757,0.6597546243894202
V,0.30431699402657375,5.555952380952381,5.664652014652015,0.6188644688644689,0.6083144892688115,0.6264218848258244,0.5902174186943978,0.6510587107332472,0.6241758241758242,0.61191819510193,0.629280985602293,0.5894709643031105,0.6625076037033051,0.6188644688644689,0.6083144892688115,0.6264218848258244,0.5856199899019067,0.6501253579862549,0.6241758241758242,0.61191819510193,0.629280985602293,0.5753896334977814,0.6608038023501183
