missing_rate_percent,mean_actual_missing_rate,mean_effective_gap_count,mean_primitive_gap_count,q2b_raw_accuracy,q2b_raw_macro_f1,q2b_raw_weighted_f1,q2b_raw_mae,q2b_raw_pearson,r2_raw_accuracy,r2_raw_macro_f1,r2_raw_weighted_f1,r2_raw_mae,r2_raw_pearson,q2b_cal_oof_accuracy,q2b_cal_oof_macro_f1,q2b_cal_oof_weighted_f1,q2b_cal_oof_mae,q2b_cal_oof_pearson,r2_cal_oof_accuracy,r2_cal_oof_macro_f1,r2_cal_oof_weighted_f1,r2_cal_oof_mae,r2_cal_oof_pearson
10,0.10534294452739595,2.1205738705738706,2.1205738705738706,0.6100427350427351,0.6015253248496618,0.6174405097061357,0.5872428441336048,0.6486175073633217,0.6233211233211233,0.6115278705254737,0.6293418149033673,0.5890091472170037,0.6638273652044835,0.6100427350427351,0.6015253248496618,0.6174405097061357,0.5855318009602645,0.6475877218131942,0.6233211233211233,0.6115278705254737,0.6293418149033673,0.5741404766237707,0.6620864730934218
20,0.20141871735878028,3.882631257631258,3.882631257631258,0.6120268620268621,0.604441569615124,0.6199194864896774,0.5858192307048993,0.6508110322453704,0.6234737484737485,0.6121496656470828,0.6296078993752557,0.5882023396186522,0.6634953580066075,0.6120268620268621,0.604441569615124,0.6199194864896774,0.5845562276704753,0.6497496869164653,0.6234737484737485,0.6121496656470828,0.6296078993752557,0.5736700731880681,0.6617731751942881
30,0.30199961759170707,5.630494505494506,5.630494505494506,0.6111111111111112,0.6041854741635668,0.6191461719732616,0.584117034290973,0.653165647106966,0.6239316239316239,0.6128578300004105,0.6301495882795489,0.588159568046057,0.6630452823564834,0.6111111111111112,0.6041854741635668,0.6191461719732616,0.5833507662678685,0.6520854471112885,0.6239316239316239,0.6128578300004105,0.6301495882795489,0.573845127278086,0.6613528276036674
40,0.4002302951742184,7.3708791208791204,7.381257631257632,0.6095848595848596,0.6033184796169567,0.617942276692379,0.5846948506781361,0.6539809574344068,0.6192002442002442,0.6088077587989513,0.6258301003147385,0.5880591261413253,0.6624947100900014,0.6095848595848596,0.6033184796169567,0.617942276692379,0.5843369225734829,0.6528851788545127,0.6192002442002442,0.6088077587989513,0.6258301003147385,0.5736626090740692,0.6607926819342104
50,0.512593395480767,8.77991452991453,9.30952380952381,0.605921855921856,0.600808487049653,0.6143058275338963,0.5858515975007536,0.6545321476504565,0.615995115995116,0.6066435418880405,0.6228343113721836,0.5873003289199028,0.6615391639221376,0.605921855921856,0.600808487049653,0.6143058275338963,0.5857816473345143,0.6534034931713036,0.615995115995116,0.6066435418880405,0.6228343113721836,0.573761079846539,0.6598508921216921
