scenario_id,scenario,modality_combination,missing_rate_percent,replicate,mean_actual_missing_rate,mean_effective_gap_count,mean_primitive_gap_count,q2b_raw_accuracy,q2b_raw_macro_f1,q2b_raw_weighted_f1,q2b_raw_mae,q2b_raw_pearson,r2_raw_accuracy,r2_raw_macro_f1,r2_raw_weighted_f1,r2_raw_mae,r2_raw_pearson,q2b_cal_oof_accuracy,q2b_cal_oof_macro_f1,q2b_cal_oof_weighted_f1,q2b_cal_oof_mae,q2b_cal_oof_pearson,r2_cal_oof_accuracy,r2_cal_oof_macro_f1,r2_cal_oof_weighted_f1,r2_cal_oof_mae,r2_cal_oof_pearson
1,A_10_MG1,A,10,1,0.10534294452739595,2.107142857142857,2.107142857142857,0.6112637362637363,0.6037728875288024,0.6187989697058058,0.5869541280585658,0.6474553802451499,0.6181318681318682,0.6064635793675971,0.6248858094098885,0.5883015816887984,0.6644279286198818,0.6112637362637363,0.6037728875288024,0.6187989697058058,0.5861872628000412,0.6463925218018796,0.6181318681318682,0.6064635793675971,0.6248858094098885,0.5735661245017916,0.6626843801736466
2,A_10_MG2,A,10,2,0.10534294452739595,2.1112637362637363,2.1112637362637363,0.6043956043956044,0.5965786948053117,0.6115950704383653,0.5872348013364679,0.6474729958705321,0.6208791208791209,0.6094820132311837,0.6275068412012672,0.5886201220104,0.664302275663642,0.6043956043956044,0.5965786948053117,0.6115950704383653,0.5867424869347404,0.6464002725960449,0.6208791208791209,0.6094820132311837,0.6275068412012672,0.5733370054577079,0.6625487414775089
3,A_10_MG3,A,10,3,0.10534294452739595,2.1195054945054945,2.1195054945054945,0.6085164835164835,0.600761897301862,0.6164173583414774,0.5872152481473737,0.6466589489987631,0.6222527472527473,0.6107454933440889,0.6288043977173237,0.5890848446883016,0.6633444118303721,0.6085164835164835,0.600761897301862,0.6164173583414774,0.5865070217556351,0.6456090218708626,0.6222527472527473,0.6107454933440889,0.6288043977173237,0.5742231171674781,0.661579985459152
4,A_20_MG1,A,20,1,0.20141871735878028,3.7513736263736264,3.7513736263736264,0.6126373626373627,0.6055130746719531,0.6199311591834956,0.5858693431735367,0.6472946841445631,0.6181318681318682,0.6073837749136204,0.625439505415149,0.5867951230074351,0.6646122975077037,0.6126373626373627,0.6055130746719531,0.6199311591834956,0.5864134796281437,0.6461779768714317,0.6181318681318682,0.6073837749136204,0.625439505415149,0.5724987458350894,0.6628683192733201
5,A_20_MG2,A,20,2,0.20141871735878028,3.947802197802198,3.947802197802198,0.6126373626373627,0.6066650764980402,0.6203191759017216,0.5844287981412241,0.6505906845331034,0.6222527472527473,0.6115216375669882,0.6290517978889105,0.587459020910191,0.6649134814245231,0.6126373626373627,0.6066650764980402,0.6203191759017216,0.5851738560356937,0.649473252939653,0.6222527472527473,0.6115216375669882,0.6290517978889105,0.5723479414167968,0.6631472748101962
6,A_20_MG3,A,20,3,0.20141871735878028,3.883241758241758,3.883241758241758,0.6126373626373627,0.6056087529530257,0.6203867953231474,0.585564088629006,0.6497105388642556,0.625,0.6143419382283094,0.6319352472441895,0.587397628862943,0.6646789942688472,0.6126373626373627,0.6056087529530257,0.6203867953231474,0.5856193659498797,0.6486175378956727,0.625,0.6143419382283094,0.6319352472441895,0.5724515562540555,0.66301919130703
7,A_30_MG1,A,30,1,0.30199961759170707,5.7032967032967035,5.7032967032967035,0.6043956043956044,0.5994050568729433,0.6118839590518028,0.5836290289125927,0.6506732601308386,0.6181318681318682,0.6070820332575818,0.6254991893405204,0.5869258228116311,0.664384118666258,0.6043956043956044,0.5994050568729433,0.6118839590518028,0.5856332831510476,0.649470970633693,0.6181318681318682,0.6070820332575818,0.6254991893405204,0.5723171184051495,0.6626040334062017
8,A_30_MG2,A,30,2,0.30199961759170707,5.582417582417582,5.582417582417582,0.6085164835164835,0.6021063174337827,0.6162430650747135,0.581935923526084,0.6513047712660884,0.6236263736263736,0.6126403256856494,0.6304331759476678,0.5859226838450183,0.6652889759748014,0.6085164835164835,0.6021063174337827,0.6162430650747135,0.5846068789077984,0.6500700002626301,0.6236263736263736,0.6126403256856494,0.6304331759476678,0.5712671441258965,0.6635714312138142
9,A_30_MG3,A,30,3,0.30199961759170707,5.6401098901098905,5.6401098901098905,0.6071428571428571,0.6014402153844958,0.6152932988245603,0.5834355121990155,0.6500150883899554,0.6291208791208791,0.6176797158270714,0.6359015182981782,0.5873522153635929,0.6645402516012814,0.6071428571428571,0.6014402153844958,0.6152932988245603,0.5856003450381231,0.6488652739757451,0.6291208791208791,0.6176797158270714,0.6359015182981782,0.5728582255486603,0.6627991802119625
10,A_40_MG1,A,40,1,0.4002302951742184,7.353021978021978,7.3598901098901095,0.6057692307692307,0.6010540532102557,0.6138973185302704,0.5815978789763464,0.6534163440909774,0.6195054945054945,0.6086001143974047,0.6271054899735202,0.5849386697819272,0.6672116464451409,0.6057692307692307,0.6010540532102557,0.6138973185302704,0.5859748595134242,0.6521557240518217,0.6195054945054945,0.6086001143974047,0.6271054899735202,0.5704886409725461,0.6653688681807615
11,A_40_MG2,A,40,2,0.4002302951742184,7.451923076923077,7.458791208791209,0.6098901098901099,0.6055690322649856,0.6171898357539024,0.583114785664193,0.6509804437698955,0.6222527472527473,0.6123887392252793,0.6299080359334612,0.5835321344394278,0.6653749063671086,0.6098901098901099,0.6055690322649856,0.6171898357539024,0.5871461107154469,0.6497111633251773,0.6222527472527473,0.6123887392252793,0.6299080359334612,0.569376547393563,0.6637025018408388
12,A_40_MG3,A,40,3,0.4002302951742184,7.355769230769231,7.361263736263736,0.6085164835164835,0.6044000737096427,0.6158025682526648,0.583287210520971,0.6500727261919855,0.6181318681318682,0.6079332687869178,0.6254186654353651,0.5863890356619607,0.6629034753710098,0.6085164835164835,0.6044000737096427,0.6158025682526648,0.5867548995623877,0.6488120303954731,0.6181318681318682,0.6079332687869178,0.6254186654353651,0.5725100130017969,0.6611731103338622
