bootstrap_rep,accuracy_gain,macro_f1_gain,mae_reduction,pearson_gain
0,0.005494505494505475,0.004361483518593556,-0.007263622144912607,-0.004972798485811003
1,0.013736263736263687,0.009673395955585806,0.017371293110343133,0.021325393266794723
2,0.019230769230769273,0.016676678843492554,0.007916708120114024,0.004583501327385386
3,0.02335164835164838,0.019910369213973045,0.014922292463235731,0.02328392488583786
4,0.0357142857142857,0.03558781262430366,0.017814989808660142,0.02177173318234471
5,0.0219780219780219,0.019949787880216507,0.0138386766068066,0.006799942100800482
6,0.013736263736263798,0.013409891203368218,0.013588106418949586,0.019788827079862403
7,0.02060439560439553,0.018885997238550667,0.02142908127171983,0.0327776627607006
8,0.030219780219780223,0.028080481389267775,0.025743347249679416,0.025791976453562904
9,0.015109890109890056,0.010925151470259964,0.012713237410554523,0.007641060713694303
10,0.03708791208791207,0.03333289115038651,0.016720217306617213,0.022135534500771326
11,0.02335164835164838,0.01803816042033568,0.0067930315331771185,0.009916461595995574
12,0.02060439560439553,0.01794130688809914,0.01766445461365873,0.024906045823282486
13,0.0357142857142857,0.03525005998313402,0.005540723568217554,0.007374029265643567
14,0.028846153846153855,0.028780437872419573,0.01984563610751877,0.01850976638442048
15,0.0013736263736263687,-0.0035025496537036682,0.01670635983429747,0.02536217093291826
16,0.019230769230769162,0.01649966697288452,0.019771888591676556,0.026440735426991213
17,0.020604395604395642,0.016100734731201327,0.02122295500305338,0.020385262685352457
18,0.038461538461538436,0.0380973436879154,0.015915068493930873,0.02955548485355375
19,0.03708791208791207,0.03377320873109124,0.014370028651268352,0.016744769808464954
20,0.028846153846153855,0.02371206478691923,0.015880481143246583,0.021902822414087586
21,0.013736263736263798,0.010796577519589068,0.01861697165897258,0.01288841229508142
22,0.016483516483516536,0.01204295941606004,0.01918733409210882,0.019849031836352782
23,0.013736263736263687,0.011053652826876648,0.009095265444409084,0.010203606737676618
24,0.02335164835164838,0.021073845751229392,0.011495446877328841,0.013653038964715036
25,0.006868131868131844,0.0033883023827088188,0.0016222316151137672,0.013080441832737821
26,0.017857142857142794,0.012954763906859013,0.012989546645064243,0.019485113813629718
27,0.03159340659340659,0.027149204930396076,0.008420349455141696,0.017417128589002462
28,0.017857142857142794,0.017307406881802545,0.009860271631852546,0.01250328917598742
29,0.03159340659340659,0.02877022904858073,-2.539957241043389e-05,0.0042825994641264575
