baseline,rows,finite_ratio,nan_count,inf_count,class_flip_rate_vs_TAV,v_reg_min,v_reg_max,cls_efficiency_max_residual,reg_efficiency_max_residual,EMPTY_finite_ratio,EMPTY_class_flip_rate_vs_TAV,EMPTY_v_reg_min,EMPTY_v_reg_max,EMPTY_max_class_share,EMPTY_class_0_count,EMPTY_class_1_count,EMPTY_class_2_count,T_finite_ratio,T_class_flip_rate_vs_TAV,T_v_reg_min,T_v_reg_max,T_max_class_share,T_class_0_count,T_class_1_count,T_class_2_count,A_finite_ratio,A_class_flip_rate_vs_TAV,A_v_reg_min,A_v_reg_max,A_max_class_share,A_class_0_count,A_class_1_count,A_class_2_count,V_finite_ratio,V_class_flip_rate_vs_TAV,V_v_reg_min,V_v_reg_max,V_max_class_share,V_class_0_count,V_class_1_count,V_class_2_count,TA_finite_ratio,TA_class_flip_rate_vs_TAV,TA_v_reg_min,TA_v_reg_max,TA_max_class_share,TA_class_0_count,TA_class_1_count,TA_class_2_count,TV_finite_ratio,TV_class_flip_rate_vs_TAV,TV_v_reg_min,TV_v_reg_max,TV_max_class_share,TV_class_0_count,TV_class_1_count,TV_class_2_count,AV_finite_ratio,AV_class_flip_rate_vs_TAV,AV_v_reg_min,AV_v_reg_max,AV_max_class_share,AV_class_0_count,AV_class_1_count,AV_class_2_count,TAV_finite_ratio,TAV_class_flip_rate_vs_TAV,TAV_v_reg_min,TAV_v_reg_max,TAV_max_class_share,TAV_class_0_count,TAV_class_1_count,TAV_class_2_count,mean_abs_phi_cls_T,mean_abs_phi_cls_A,mean_abs_phi_cls_V,global_rank_cls,mean_abs_phi_reg_T,mean_abs_phi_reg_A,mean_abs_phi_reg_V,global_rank_reg,AB_top1_agreement_cls,AB_full_rank_agreement_cls,AB_top1_agreement_reg,AB_full_rank_agreement_reg,neutral_zero_idempotence_max
zero,5824,1.0,0,0,0.3444368131868132,-1.8597005158662798,1.7184244841337204,8.881784197001252e-16,4.440892098500626e-16,1.0,0.625,0.5543619841337203,0.5746744841337204,1.0,0,0,728,1.0,0.14148351648351648,-1.7440755158662797,1.7184244841337204,0.37774725274725274,202,275,251,1.0,0.6236263736263736,0.2936197966337204,1.0363932341337203,0.989010989010989,0,8,720,1.0,0.570054945054945,-0.5128255158662797,1.1777994841337203,0.6057692307692307,3,284,441,1.0,0.12912087912087913,-1.7222005158662799,1.6543619841337205,0.4052197802197802,188,245,295,1.0,0.08516483516483517,-1.8597005158662798,1.6590494841337204,0.3434065934065934,250,240,238,1.0,0.5810439560439561,-0.6089192658662798,1.3168619841337204,0.7898351648351648,3,150,575,1.0,0.0,-1.8597005158662798,1.6340494841337203,0.375,235,220,273,2.0316360766416066,0.269927108899141,0.45635560416913296,T>V>A,0.5638397481415298,0.08981030048468175,0.22745070859189437,T>V>A,0.6675824175824175,0.32554945054945056,0.5604395604395604,0.2774725274725275,0.0
missing,5824,1.0,0,0,0.34375,-1.8815755158662797,1.7527994841337204,1.7763568394002505e-15,8.881784197001252e-16,1.0,0.6277472527472527,-1.8222005158662797,0.11022135913372035,0.6552197802197802,251,477,0,1.0,0.1401098901098901,-1.8409505158662798,1.7527994841337204,0.38873626373626374,216,283,229,1.0,0.6085164835164835,-1.7034505158662798,0.5039713591337204,0.635989010989011,265,463,0,1.0,0.6085164835164835,-1.8659505158662797,1.1660807341337203,0.7129120879120879,185,519,24,1.0,0.08791208791208792,-1.8206380158662798,1.6465494841337205,0.3585164835164835,238,229,261,1.0,0.08516483516483517,-1.8690755158662797,1.6606119841337204,0.3516483516483517,221,256,251,1.0,0.592032967032967,-1.8815755158662797,0.9481119841337203,0.6346153846153846,239,462,27,1.0,0.0,-1.8597005158662798,1.6340494841337203,0.375,235,220,273,2.589028479742916,0.5552288579853464,0.5320773892131918,T>A>V,0.7041372475606619,0.14421465069383055,0.16796910321756162,T>V>A,0.6675824175824175,0.32554945054945056,0.5604395604395604,0.2774725274725275,0.0
