split,prediction,accuracy,macro_f1,mae,pearson
valid,raw,0.6291208791208791,0.6169033433621594,0.5898934602737427,0.6639517968975472
valid,calibrated,0.6291208791208791,0.6169033433621594,0.5713919997215271,0.6639517971570055
test,raw,0.657496561210454,0.6310147356658984,0.6379991173744202,0.6802025850857815
test,calibrated,0.657496561210454,0.6310147356658984,0.6217480301856995,0.6802025828974689
