sample_index,sample_id,baseline,phi_T_cls,phi_T_reg,phi_A_cls,phi_A_reg,phi_V_cls,phi_V_reg,cls_efficiency_residual,reg_efficiency_residual
0,-UacrmKiTn4$_$7,zero,0.196533203125,-0.19847005208333335,-0.04833984375000001,-0.026985677083333333,0.248291015625,-0.12298177083333334,0.0,5.551115123125783e-17
1,-qDkUB0GgYY$_$5,zero,-1.1461995442708333,-0.41673177083333335,0.8322550455729167,0.2843424479166667,0.3520304361979167,0.035904947916666693,1.6653345369377348e-16,1.3877787807814457e-17
2,0utROiKxejc$_$1,zero,0.7380777994791666,0.24990234375000003,0.2858683268229167,-0.001123046875000003,-0.37721761067708337,-0.34721679687499996,1.1102230246251565e-16,2.7755575615628914e-17
3,0utROiKxejc$_$4,zero,5.479817708333333,-1.713541666666667,-0.039957682291666664,0.019759114583333317,0.6763509114583334,-0.31402994791666666,8.881784197001252e-16,4.440892098500626e-16
4,0y022OlZ3W0$_$3,zero,1.2366943359375,0.14811197916666666,0.48587036132812494,0.14811197916666666,-0.054718017578125,0.0026041666666666644,0.0,0.0
5,0y022OlZ3W0$_$5,zero,4.074808756510416,-1.2241536458333335,-0.19942220052083334,0.06647135416666668,0.6089884440104167,-0.2930989583333334,8.881784197001252e-16,2.220446049250313e-16
6,0y022OlZ3W0$_$8,zero,1.5081990559895833,-0.27443033854166665,-0.43561808268229163,0.13772786458333333,-0.04035441080729167,-0.16017252604166668,2.220446049250313e-16,0.0
7,101787$_$11,zero,2.319554646809896,-0.5504781087239583,0.18535359700520831,-0.08217061360677087,0.6436513264973959,-0.5056325276692709,4.440892098500626e-16,0.0
8,101787$_$13,zero,0.8462931315104167,0.38662109375000003,0.15818277994791669,-0.096875,0.9825846354166667,-0.7376953125,2.220446049250313e-16,1.1102230246251565e-16
9,101787$_$1,zero,0.9976399739583335,-0.35735066731770837,0.2844441731770833,-0.10601094563802083,0.7208455403645833,-0.40948994954427087,0.0,0.0
10,101787$_$5,zero,5.430094401041667,-1.7889973958333334,0.14005533854166666,-0.13059895833333332,0.3522135416666667,-0.18938802083333328,8.881784197001252e-16,0.0
11,101787$_$7,zero,3.2034098307291665,1.0925516764322918,0.027079264322916664,-0.06570943196614591,-0.6157430013020834,-0.21121724446614584,4.440892098500626e-16,0.0
12,101787$_$9,zero,0.574462890625,-0.4544199625651042,-0.07025146484375,-0.07462870279947918,0.01678466796875,-0.32407633463541663,0.0,0.0
13,102408$_$2,zero,1.3083089192708335,-0.5551554361979167,0.2958577473958333,0.06615804036458334,-0.34220377604166663,-0.06562906901041664,0.0,0.0
14,102408$_$5,zero,0.24076334635416663,0.05891927083333335,1.1258951822916665,0.3331380208333333,0.2681070963541667,0.16145833333333334,2.220446049250313e-16,0.0
15,102408$_$9,zero,4.49566650390625,-1.126676432291667,-0.88800048828125,0.1869954427083334,-0.0355224609375,0.11761067708333332,0.0,3.3306690738754696e-16
16,102858$_$20,zero,4.784098307291667,-1.7061197916666668,-0.31624348958333337,0.09622395833333328,0.4838053385416667,-0.2690104166666667,8.881784197001252e-16,2.220446049250313e-16
17,102858$_$21,zero,4.4732309977213545,-1.608056640625,-0.3142445882161458,0.12661132812500003,0.7887674967447916,-0.4330078124999999,8.881784197001252e-16,2.220446049250313e-16
18,102858$_$1,zero,1.5083211263020833,-0.2867513020833333,-0.2501627604166667,0.12709147135416668,0.39345296223958337,-0.31846516927083335,0.0,0.0
19,102858$_$0,zero,-0.0322265625,-0.21689453125000002,0.62841796875,0.24208984374999998,-0.48242187499999994,-0.21132812499999998,5.551115123125783e-17,0.0
20,102858$_$4,zero,0.925048828125,0.18668619791666669,-0.2569580078125,-0.10818684895833333,-0.4801025390625,-0.25408528645833334,0.0,2.7755575615628914e-17
21,102858$_$6,zero,1.4528757731119792,-0.10305989583333335,0.012385050455729171,0.02965494791666663,1.3332010904947917,-0.7127278645833334,0.0,1.1102230246251565e-16
22,102858$_$10,zero,3.257080078125,1.0348307291666667,-0.065673828125,-0.061458333333333295,-0.19775390625,-0.0831380208333334,0.0,0.0
23,102858$_$17,zero,2.992584228515625,-0.8512369791666667,0.0181732177734375,0.009700520833333365,0.5226898193359375,-0.30338541666666663,0.0,0.0
24,102858$_$19,zero,1.2030436197916665,-0.12856038411458331,-0.003621419270833334,-0.011964925130208337,0.6079508463541666,-0.3150410970052084,0.0,0.0
25,112433$_$10,zero,1.9761543273925781,-0.46725362141927085,-0.07114791870117188,-0.02187703450520831,0.2728462219238281,-0.0710011800130208,0.0,0.0
26,112433$_$3,zero,2.884368896484375,-0.5862630208333334,-0.569610595703125,0.10533854166666667,0.77117919921875,-0.26663411458333336,0.0,0.0
27,112433$_$7,zero,3.3299153645833335,-0.7275868733723958,0.06551106770833334,-0.035789998372395854,0.6997884114583333,-0.3764668782552083,0.0,2.220446049250313e-16
28,112433$_$6,zero,5.489420572916666,-2.1612630208333337,-0.13875325520833334,0.008268229166666686,0.5199381510416667,-0.25403645833333327,0.0,0.0
29,117tQqLjza4$_$6,zero,-0.2088623046875,-0.16959635416666669,0.3038330078125,0.0773763020833333,0.372802734375,-0.05543619791666669,0.0,2.7755575615628914e-17
30,11j7EfglCAs$_$2,zero,0.37890625,-0.11878255208333334,0.070556640625,-0.014827473958333351,0.023193359375000003,-0.24002278645833333,0.0,0.0
31,121128$_$10,zero,2.2353515625,0.76015625,-0.20837402343750003,-0.13525390625000003,-0.4342041015625,-0.08662109374999996,0.0,0.0
32,121128$_$1,zero,1.8581644694010415,-0.41389973958333337,-0.05241902669270834,0.008561197916666702,0.17096964518229166,-0.07068684895833333,0.0,5.551115123125783e-17
33,121128$_$0,zero,2.13665771484375,-0.442529296875,-0.578857421875,0.01671142578125001,0.36102294921875,-0.11921386718749999,0.0,0.0
34,121128$_$5,zero,2.6415608723958335,0.8546223958333334,0.14619954427083337,-0.08619791666666662,-0.21012369791666666,-0.05826822916666665,4.440892098500626e-16,0.0
35,125344$_$0,zero,4.817708333333333,-1.2986979166666668,0.2542317708333333,-0.05026041666666664,-0.4122721354166667,0.18919270833333335,8.881784197001252e-16,2.220446049250313e-16
36,125676$_$0,zero,0.8277994791666666,-0.15452473958333332,-0.05183919270833332,-0.13694661458333338,0.07804361979166667,-0.13118489583333334,1.1102230246251565e-16,0.0
37,125676$_$4,zero,1.87176513671875,0.40859375,0.5987548828125,0.167578125,-0.27093505859375,-0.029687499999999943,0.0,0.0
38,128059$_$11,zero,5.421686808268229,-1.9072428385416667,-0.24030049641927081,0.10828450520833335,0.8571879069010416,-0.4283854166666667,0.0,4.440892098500626e-16
39,128059$_$12,zero,4.067708333333333,-1.3855143229166667,-0.43143717447916663,0.18167317708333336,0.5114339192708334,-0.25631510416666664,0.0,0.0
40,128059$_$2,zero,1.9167073567708335,-0.3671793619791667,-0.32255045572916663,0.09295247395833332,1.4529622395833335,-0.7347574869791667,4.440892098500626e-16,0.0
41,128059$_$7,zero,0.23785400390624994,-0.336834716796875,0.0762939453125,0.09649353027343752,0.22637939453124994,-0.4836822509765625,1.1102230246251565e-16,0.0
42,128059$_$6,zero,3.1365356445312496,-0.6610841115315755,-0.0751953125,0.03184820810953777,1.18719482421875,-0.6285765965779623,0.0,0.0
43,128059$_$9,zero,1.7439371744791667,-0.34033203125,-0.10866292317708334,0.020068359374999983,1.4438273111979165,-0.7027832031250001,0.0,2.220446049250313e-16
44,128763$_$12,zero,1.8190104166666665,-0.6631754557291667,-0.07124837239583334,0.001436360677083325,0.25785319010416663,-0.018729654947916636,0.0,1.1102230246251565e-16
45,128763$_$3,zero,5.816446940104167,-2.01973876953125,-0.03389485677083333,0.005657958984374942,0.3273111979166667,-0.34295043945312503,8.881784197001252e-16,0.0
46,128763$_$2,zero,1.4026082356770835,-0.4470174153645834,-0.052714029947916664,0.006522623697916633,0.12422688802083331,-0.3731770833333333,0.0,0.0
47,128763$_$5,zero,1.9986572265625,-0.2154378255208333,-0.03967285156250001,-0.027058919270833325,0.3250732421875,-0.36687825520833334,0.0,0.0
48,128763$_$7,zero,4.713541666666667,-1.3667968750000001,0.06119791666666668,-0.047656249999999976,0.38248697916666663,-0.262890625,8.881784197001252e-16,0.0
49,128763$_$8,zero,3.865152994791667,-0.9522379557291667,0.3490397135416667,-0.1523356119791667,0.39420572916666663,-0.4243326822916667,8.881784197001252e-16,0.0
50,130456$_$11,zero,2.34637451171875,-0.7286254882812501,-0.153076171875,0.08494873046874998,1.02178955078125,-0.5469482421875,0.0,2.220446049250313e-16
51,130456$_$3,zero,3.1605224609375,-0.8582845052083334,-0.225341796875,0.1825358072916667,0.1063232421875,-0.07464192708333336,0.0,0.0
52,130456$_$5,zero,5.326090494791667,-1.6821289062500002,-0.22273763020833331,-0.04423828124999996,0.13834635416666669,-0.10996093749999991,8.881784197001252e-16,0.0
53,130456$_$4,zero,2.0415541330973306,-0.29608662923177087,-0.29902203877766925,-0.018791707356770868,0.39055506388346356,-0.24447530110677082,0.0,0.0
54,130456$_$7,zero,4.98199462890625,-1.6090169270833337,-0.53314208984375,0.2689127604166667,0.3572998046875,-0.25677083333333334,0.0,0.0
55,130456$_$6,zero,2.930231730143229,-0.8266601562500001,-0.35918172200520837,0.07685546875000004,0.49633280436197913,-0.1798828125,4.440892098500626e-16,0.0
56,188343$_$13,zero,1.0498250325520833,0.6578531901041667,-0.013392130533854171,-0.07393391927083327,-0.5819956461588542,-0.47141927083333335,2.220446049250313e-16,0.0
57,188343$_$12,zero,5.863525390625,-2.113541666666667,0.0787353515625,-0.02428385416666661,0.27307128906250006,-0.09733072916666663,0.0,0.0
58,188343$_$5,zero,3.502237955729166,-1.1104817708333334,-0.16646321614583334,0.11432291666666661,0.8146158854166666,-0.34368489583333334,8.881784197001252e-16,2.220446049250313e-16
