sample_index,sample_id,baseline,cls_efficiency_residual,reg_efficiency_residual
107,252998$_$4,zero,0.0,2.220446049250313e-16
108,252998$_$7,zero,5.551115123125783e-17,1.1102230246251565e-16
109,252998$_$8,zero,0.0,0.0
110,257247$_$10,zero,0.0,2.220446049250313e-16
111,257247$_$12,zero,0.0,0.0
112,257247$_$2,zero,0.0,0.0
113,258654$_$1,zero,0.0,4.440892098500626e-16
114,258654$_$3,zero,8.881784197001252e-16,0.0
115,258654$_$4,zero,2.220446049250313e-16,0.0
116,266791$_$24,zero,8.881784197001252e-16,0.0
117,266791$_$20,zero,0.0,0.0
118,266791$_$21,zero,8.881784197001252e-16,0.0
119,266791$_$23,zero,1.1102230246251565e-16,1.1102230246251565e-16
120,266791$_$29,zero,0.0,5.551115123125783e-17
121,266791$_$3,zero,0.0,0.0
122,266791$_$5,zero,8.881784197001252e-16,2.220446049250313e-16
123,266791$_$4,zero,0.0,0.0
124,266791$_$6,zero,2.220446049250313e-16,0.0
125,266791$_$8,zero,0.0,1.1102230246251565e-16
126,266791$_$11,zero,0.0,5.551115123125783e-17
127,266791$_$14,zero,0.0,1.1102230246251565e-16
128,270254$_$23,zero,8.881784197001252e-16,2.220446049250313e-16
129,270254$_$0,zero,1.6653345369377348e-16,0.0
130,270254$_$6,zero,0.0,1.1102230246251565e-16
131,270254$_$8,zero,8.881784197001252e-16,4.440892098500626e-16
132,270254$_$11,zero,0.0,5.551115123125783e-17
133,270254$_$14,zero,0.0,1.1102230246251565e-16
134,270254$_$16,zero,0.0,0.0
135,272624$_$10,zero,8.881784197001252e-16,0.0
136,272624$_$13,zero,2.220446049250313e-16,0.0
137,272624$_$12,zero,4.440892098500626e-16,1.1102230246251565e-16
138,272624$_$16,zero,0.0,2.220446049250313e-16
139,272624$_$18,zero,2.220446049250313e-16,0.0
140,272624$_$2,zero,0.0,0.0
141,272624$_$6,zero,0.0,1.1102230246251565e-16
142,272624$_$9,zero,4.440892098500626e-16,0.0
143,272624$_$8,zero,8.881784197001252e-16,0.0
144,273539$_$3,zero,8.881784197001252e-16,0.0
145,273539$_$2,zero,4.440892098500626e-16,0.0
146,273539$_$9,zero,0.0,0.0
147,290546$_$3,zero,0.0,0.0
148,290546$_$5,zero,0.0,0.0
149,290546$_$7,zero,0.0,0.0
150,290546$_$6,zero,0.0,1.1102230246251565e-16
151,2S00zYaVrtc$_$10,zero,8.881784197001252e-16,2.220446049250313e-16
152,2S00zYaVrtc$_$12,zero,2.220446049250313e-16,5.551115123125783e-17
153,2S00zYaVrtc$_$20,zero,0.0,0.0
154,2S00zYaVrtc$_$17,zero,0.0,0.0
155,2S00zYaVrtc$_$5,zero,4.440892098500626e-16,0.0
156,2S00zYaVrtc$_$4,zero,4.440892098500626e-16,5.551115123125783e-17
157,2Xt31_d0XEE$_$2,zero,0.0,1.1102230246251565e-16
158,31474$_$11,zero,0.0,0.0
159,31474$_$14,zero,0.0,1.1102230246251565e-16
160,31474$_$0,zero,5.551115123125783e-17,5.551115123125783e-17
161,31474$_$3,zero,0.0,0.0
162,31474$_$6,zero,8.881784197001252e-16,0.0
163,31474$_$9,zero,8.881784197001252e-16,2.220446049250313e-16
164,31474$_$8,zero,0.0,0.0
165,32681$_$1,zero,0.0,5.551115123125783e-17
166,32681$_$3,zero,8.881784197001252e-16,4.440892098500626e-16
167,32681$_$5,zero,0.0,0.0
168,32681$_$6,zero,0.0,4.440892098500626e-16
169,33170$_$1,zero,4.440892098500626e-16,0.0
170,33170$_$3,zero,0.0,2.220446049250313e-16
171,33170$_$4,zero,0.0,0.0
172,3MFNIag0wNE$_$12,zero,0.0,0.0
173,3MFNIag0wNE$_$14,zero,0.0,4.440892098500626e-16
174,3MFNIag0wNE$_$16,zero,0.0,0.0
175,3MFNIag0wNE$_$7,zero,0.0,0.0
176,3V2qm0rw920$_$11,zero,0.0,0.0
177,3V2qm0rw920$_$13,zero,0.0,0.0
178,3V2qm0rw920$_$3,zero,5.551115123125783e-17,1.1102230246251565e-16
179,3j94B0pzSVs$_$12,zero,0.0,5.551115123125783e-17
180,3j94B0pzSVs$_$17,zero,8.881784197001252e-16,2.220446049250313e-16
181,3j94B0pzSVs$_$1,zero,0.0,5.551115123125783e-17
182,3j94B0pzSVs$_$0,zero,0.0,0.0
183,4cFeG2ydm9A$_$8,zero,0.0,0.0
184,4dV3slGSc60$_$10,zero,0.0,0.0
185,4dV3slGSc60$_$12,zero,0.0,0.0
186,4dV3slGSc60$_$22,zero,0.0,8.673617379884035e-18
187,4dV3slGSc60$_$9,zero,0.0,2.7755575615628914e-17
188,4dV3slGSc60$_$8,zero,0.0,1.1102230246251565e-16
189,50103$_$3,zero,8.881784197001252e-16,0.0
190,5B0PQx3Ep3k$_$5,zero,2.220446049250313e-16,2.7755575615628914e-17
191,5O1W39o56gg$_$1,zero,0.0,0.0
192,5O1W39o56gg$_$2,zero,0.0,0.0
193,5O1W39o56gg$_$9,zero,0.0,0.0
194,5i6AgQSjXO4$_$3,zero,2.220446049250313e-16,0.0
195,5i6AgQSjXO4$_$2,zero,0.0,0.0
196,5i6AgQSjXO4$_$6,zero,4.440892098500626e-16,5.551115123125783e-17
197,5kaCGzjYukM$_$0,zero,0.0,0.0
198,5kaCGzjYukM$_$3,zero,0.0,2.220446049250313e-16
199,5kaCGzjYukM$_$2,zero,0.0,0.0
200,5kaCGzjYukM$_$5,zero,0.0,2.220446049250313e-16
201,5kaCGzjYukM$_$7,zero,0.0,0.0
202,6KvG5VbLalY$_$9,zero,0.0,2.7755575615628914e-17
203,6ZA8I83x-oY$_$0,zero,5.551115123125783e-17,0.0
204,6ZA8I83x-oY$_$2,zero,0.0,1.1102230246251565e-16
205,6hFiTU77Sm0$_$1,zero,0.0,0.0
206,6hFiTU77Sm0$_$2,zero,0.0,0.0
207,6uPGcKTpC4I$_$1,zero,0.0,0.0
208,6uPGcKTpC4I$_$2,zero,2.220446049250313e-16,5.551115123125783e-17
209,6uPGcKTpC4I$_$6,zero,2.220446049250313e-16,2.7755575615628914e-17
210,70280$_$11,zero,0.0,0.0
211,70280$_$3,zero,8.881784197001252e-16,2.220446049250313e-16
212,70280$_$4,zero,0.0,0.0
213,70280$_$6,zero,4.440892098500626e-16,5.551115123125783e-17
214,75RGHaxmUK8$_$3,zero,2.7755575615628914e-17,2.7755575615628914e-17
215,75RGHaxmUK8$_$5,zero,4.440892098500626e-16,1.1102230246251565e-16
216,7_K3F-lAv1k$_$2,zero,0.0,5.551115123125783e-17
217,7r4vRxKLFCA$_$6,zero,2.220446049250313e-16,5.551115123125783e-17
218,80566$_$1,zero,2.220446049250313e-16,0.0
219,80566$_$0,zero,0.0,0.0
220,80566$_$3,zero,1.1102230246251565e-16,0.0
221,80566$_$2,zero,0.0,0.0
222,80566$_$4,zero,0.0,0.0
223,80566$_$6,zero,0.0,2.220446049250313e-16
224,80855$_$11,zero,0.0,5.551115123125783e-17
225,80855$_$10,zero,0.0,0.0
226,80855$_$12,zero,4.440892098500626e-16,2.220446049250313e-16
227,80855$_$15,zero,0.0,0.0
228,80855$_$17,zero,8.881784197001252e-16,2.220446049250313e-16
229,80855$_$0,zero,0.0,0.0
230,80855$_$3,zero,0.0,0.0
231,80855$_$2,zero,1.1102230246251565e-16,1.1102230246251565e-16
232,80855$_$7,zero,0.0,0.0
233,80855$_$20,zero,0.0,5.551115123125783e-17
234,830KzUc6CbU$_$0,zero,0.0,1.1102230246251565e-16
235,830KzUc6CbU$_$13,zero,0.0,0.0
236,84140$_$0,zero,0.0,0.0
237,84140$_$5,zero,0.0,0.0
238,89835$_$1,zero,1.1102230246251565e-16,2.7755575615628914e-17
239,89835$_$0,zero,0.0,0.0
240,89835$_$4,zero,0.0,0.0
241,89835$_$7,zero,8.881784197001252e-16,0.0
242,8eaYvALnJ0o$_$1,zero,0.0,5.551115123125783e-17
243,8eaYvALnJ0o$_$0,zero,0.0,0.0
244,8x_nCOh6Wmc$_$6,zero,4.440892098500626e-16,0.0
245,96642$_$1,zero,0.0,0.0
246,96642$_$3,zero,0.0,1.1102230246251565e-16
247,96642$_$2,zero,0.0,0.0
248,96642$_$4,zero,8.881784197001252e-16,0.0
249,99501$_$10,zero,0.0,0.0
250,99501$_$13,zero,0.0,4.440892098500626e-16
251,99501$_$1,zero,2.220446049250313e-16,0.0
252,99501$_$0,zero,0.0,0.0
253,99501$_$5,zero,4.440892098500626e-16,0.0
254,99501$_$7,zero,2.220446049250313e-16,5.551115123125783e-17
255,9QI-9w_VdB4$_$0,zero,1.1102230246251565e-16,2.7755575615628914e-17
256,AG5EY8ZaFj4$_$3,zero,0.0,5.551115123125783e-17
257,AG5EY8ZaFj4$_$15,zero,0.0,0.0
258,Arh2TKRi_mg$_$15,zero,0.0,0.0
259,Arh2TKRi_mg$_$14,zero,0.0,0.0
