scenario_id,scenario,modality_combination,missing_rate_percent,missing_rate_target,position,accuracy,macro_f1,weighted_f1,mae,pearson,recall_negative,recall_neutral,recall_positive,f1_negative,f1_neutral,f1_positive,mae_negative,mae_neutral,mae_positive,composite_score
1,T_10_Head,T,10,0.1,Head,0.603021978021978,0.5818372316007326,0.6028623167834509,0.8642765867656895,0.4405155561796749,0.6359223300970874,0.44021739130434784,0.6715976331360947,0.6282973621103117,0.4426229508196721,0.674591381872214,1.0539597517006027,0.8202634262244987,0.7726306978987871,0.5843206425534556
2,T_10_Middle,T,10,0.1,Middle,0.6057692307692307,0.5881028544618138,0.607780165636978,0.8564719902044469,0.42676948164457384,0.6310679611650486,0.4673913043478261,0.665680473372781,0.6403940886699507,0.450261780104712,0.6736526946107785,0.9471273701095465,0.7634030699163027,0.8518852241469558,0.583787725868534
3,T_10_Tail,T,10,0.1,Tail,0.6112637362637363,0.5886659844680834,0.6097951155243938,0.8682457625374689,0.4188123192941094,0.6310679611650486,0.43478260869565216,0.6952662721893491,0.6403940886699507,0.4444444444444444,0.6811594202898551,1.0167220940505994,0.8053850175650872,0.811974321067686,0.5823316964616931
4,T_20_Head,T,20,0.2,Head,0.6071428571428571,0.5908874748972117,0.6102988043826147,0.8831937433742396,0.40297209125605926,0.6067961165048543,0.4945652173913043,0.6686390532544378,0.6329113924050633,0.4631043256997455,0.6766467065868264,1.080105370688207,0.8197640373735972,0.7977122956743607,0.5766511272095121
5,T_20_Middle,T,20,0.2,Middle,0.5975274725274725,0.5847973347479803,0.603990411634992,0.8714721413267837,0.4032188726930617,0.587378640776699,0.5217391304347826,0.6449704142011834,0.6253229974160207,0.45933014354066987,0.6697388632872504,0.9635699320476032,0.770937940267765,0.870070212647407,0.57376324154823
6,T_20_Tail,T,20,0.2,Tail,0.592032967032967,0.5717734486128118,0.5925035502550808,0.866758999087244,0.40906287020088133,0.587378640776699,0.44021739130434784,0.6775147928994083,0.6205128205128205,0.432,0.662807525325615,1.011358334384497,0.7677667691250858,0.8325196714002705,0.5709874048710614
7,T_30_Head,T,30,0.3,Head,0.6085164835164835,0.5942416509390287,0.6135025836099037,0.8835802874988415,0.3785890565037946,0.5679611650485437,0.5434782608695652,0.6686390532544378,0.6190476190476191,0.4819277108433735,0.6817496229260935,1.1048569757382847,0.7686940759987287,0.8112609535896567,0.5717051071149233
8,T_30_Middle,T,30,0.3,Middle,0.5837912087912088,0.5747828035468485,0.5927989738102097,0.880578350930751,0.3878778997312156,0.5242718446601942,0.5652173913043478,0.6301775147928994,0.6067415730337079,0.4622222222222222,0.6553846153846153,0.9545606921960428,0.7541133948480305,0.9043333498022613,0.563231448773089
9,T_30_Tail,T,30,0.3,Tail,0.5782967032967034,0.5588205841251899,0.5799024515387714,0.8842865124467637,0.35974837687387495,0.5242718446601942,0.46195652173913043,0.6745562130177515,0.5885558583106267,0.4336734693877551,0.6542324246771879,1.048863494678319,0.7487048936359908,0.8577899429836923,0.5505258733700451
10,T_40_Head,T,40,0.4,Head,0.6016483516483516,0.587472431251384,0.6081606414716599,0.8929009166965772,0.35304043530139034,0.5,0.6032608695652174,0.6627218934911243,0.5819209039548022,0.49443207126948774,0.6860643185298622,1.1124995851039308,0.7649434986726745,0.828719967656587,0.5611318948255667
11,T_40_Middle,T,40,0.4,Middle,0.5631868131868132,0.5494093280626905,0.5702613728625646,0.8818914860712139,0.37684903150272203,0.4077669902912621,0.625,0.6242603550295858,0.5266457680250783,0.4703476482617587,0.6512345679012346,0.9401663783756853,0.7029703537650083,0.9437756888215711,0.5488703360154552
12,T_40_Tail,T,40,0.4,Tail,0.5851648351648352,0.5619879277714747,0.5855428351216189,0.8943802669521544,0.3287665289624498,0.4563106796116505,0.5,0.7100591715976331,0.562874251497006,0.44987775061124696,0.6732117812061711,1.111740575723567,0.7315873190679628,0.8505272456615635,0.5444481340620104
13,T_50_Head,T,50,0.5,Head,0.5480769230769231,0.5275893676071051,0.549667675502066,0.9233768352788392,0.29071643659314284,0.33980582524271846,0.6521739130434783,0.6183431952662722,0.46357615894039733,0.47808764940239046,0.6411042944785276,1.120277067736804,0.7165034540078562,0.9159900135851118,0.5146476122127228
14,T_50_Middle,T,50,0.5,Middle,0.5082417582417582,0.48495105955776535,0.5084885968520846,0.9087115697828787,0.32863223758023297,0.27184466019417475,0.6521739130434783,0.5739644970414202,0.4014336917562724,0.4452690166975881,0.6081504702194357,0.9525804962348012,0.6767488441065602,1.00825045343775,0.5047302996963658
15,T_50_Tail,T,50,0.5,Tail,0.5384615384615384,0.4959707557068447,0.5262129251838178,0.905915012143061,0.30382186657159427,0.27184466019417475,0.5163043478260869,0.7130177514792899,0.4028776978417266,0.4328018223234624,0.652232746955345,1.116981683678708,0.7184559395131858,0.8793254708044628,0.5090706225064059
16,A_10_Head,A,10,0.1,Head,0.614010989010989,0.5947955765392444,0.6147019189983467,0.8551455733806386,0.44789893250118873,0.6504854368932039,0.46195652173913043,0.6745562130177515,0.6457831325301204,0.45698924731182794,0.6816143497757847,0.9602608785973591,0.801204169695468,0.8204457668819019,0.5929142433978023
17,A_10_Middle,A,10,0.1,Middle,0.6085164835164835,0.5880725276524191,0.6088317577578847,0.8523126111908274,0.44721902183341994,0.6504854368932039,0.44565217391304346,0.6715976331360947,0.6411483253588517,0.4444444444444444,0.6786248131539612,0.9537568905038162,0.8000426231681005,0.818940292426644,0.5899259573180117
18,A_10_Tail,A,10,0.1,Tail,0.6167582417582418,0.5956888262902558,0.6166518114652222,0.8535168309399224,0.44827401769505726,0.6504854368932039,0.45108695652173914,0.6863905325443787,0.6473429951690821,0.45231607629427795,0.6874074074074074,0.9614143082962453,0.8052506927886735,0.8140318874027249,0.5940538688575618
19,A_20_Head,A,20,0.2,Head,0.6126373626373627,0.5925326659985991,0.6137597807146202,0.8557558084561766,0.44758448190422223,0.6504854368932039,0.45652173913043476,0.6745562130177515,0.6426858513189448,0.44919786096256686,0.6857142857142857,0.9486414765921033,0.8000744520484105,0.8294567609503425,0.5918756435970314
20,A_20_Middle,A,20,0.2,Middle,0.6126373626373627,0.5928899650040522,0.6129416954019422,0.8517172886365718,0.44582776709253313,0.6601941747572816,0.45108695652173914,0.6715976331360947,0.649164677804296,0.44986449864498645,0.6796407185628742,0.9458309762469195,0.795972048871867,0.8247045799648973,0.5918623329637727
21,A_20_Tail,A,20,0.2,Tail,0.6153846153846154,0.596097728387191,0.6164629598883876,0.8459930686730441,0.4519535847788807,0.6504854368932039,0.4673913043478261,0.6745562130177515,0.6426858513189448,0.45989304812834225,0.6857142857142857,0.9526616668744573,0.7867365162819624,0.8132400343844877,0.5953595597482514
22,A_30_Head,A,30,0.3,Head,0.6071428571428571,0.5874316663750029,0.6085577839756439,0.8560244668336524,0.44927338425548863,0.6553398058252428,0.45108695652173914,0.6627218934911243,0.6398104265402843,0.44266666666666665,0.6798179059180577,0.93504948440252,0.7929769854020813,0.8421829963136002,0.5896266047071994
23,A_30_Middle,A,30,0.3,Middle,0.6167582417582418,0.5972970995491845,0.6178096569300969,0.8464924199097268,0.44867133217751903,0.6650485436893204,0.46195652173913043,0.6715976331360947,0.6492890995260664,0.45576407506702415,0.686838124054463,0.9376929761498298,0.7744594267367021,0.8301218759995945,0.5951406333787592
24,A_30_Tail,A,30,0.3,Tail,0.6167582417582418,0.5976482146694914,0.6182455588990543,0.8442183963872574,0.4541789246069646,0.6601941747572816,0.4673913043478261,0.6715976331360947,0.6476190476190476,0.4574468085106383,0.6878787878787879,0.9436998545255476,0.7794960764358225,0.8188211374954711,0.5967948122264031
25,A_40_Head,A,40,0.4,Head,0.6126373626373627,0.5946964808628339,0.6143188469584018,0.8567236638269745,0.450018773398448,0.6796116504854369,0.46195652173913043,0.6538461538461539,0.6542056074766355,0.4509283819628647,0.6789554531490015,0.9222916996522436,0.7935434329606916,0.8511560516949941,0.5929445155724132
