C,valid_macro_f1,valid_accuracy
0.5,0.5880776264380682,0.5975274725274725
1.0,0.5935713934308411,0.614010989010989
2.0,0.5663495333394015,0.6057692307692307
5.0,0.5586922276871809,0.6043956043956044
