model,clean_valid_accuracy,clean_valid_macro_f1,clean_valid_mae,clean_valid_pearson,task_accuracy,task_macro_f1,task_mae,task_pearson,task_worst_accuracy,best_epoch,training_seconds,task_composite
text_anchor_nocomp,0.635989010989011,0.625091649848447,0.5970067381858826,0.6536047079136706,0.6311965811965812,0.619453084926001,0.5930807087156508,0.6584243417799442,0.6181318681318682,9.0,181.17286348342896,0.6778451095826608
no_availability_context,0.6414835164835165,0.6298718611420954,0.5948638319969177,0.6526534169996898,0.6316544566544566,0.6196517876141255,0.5910598384009467,0.658191589939531,0.6167582417582418,9.0,170.12236905097961,0.6781194720186161
no_consistency_teacher,0.6373626373626373,0.6262825312232083,0.6025719046592712,0.6533907061935469,0.6302197802197802,0.6180390703478489,0.5992840541733636,0.6574682184372581,0.6181318681318682,9.0,194.35258197784424,0.6764914294034415
longblock_only,0.6387362637362637,0.6274172543922635,0.5958161950111389,0.6539027288936143,0.6321428571428572,0.620162087405119,0.5927552461624146,0.6587621447176818,0.6208791208791209,9.0,156.830500125885,0.6783705018028799
Q2D_R2_AV_MultiGap,0.6291208791208791,0.6169033433621594,0.5898934602737427,0.6639517968975472,0.6211843711843712,0.6104281303828081,0.5885622911983066,0.6624664910805858,0.6057692307692307,7.0,166.902188539505,0.6744728905620824
Q2B,0.6071428571428571,0.5972587605981435,0.5899538993835449,0.6464784939503869,0.6088827838827839,0.6018320726219888,0.5862879395484925,0.6517765248341496,0.5851648351648352,,,0.6667655170390229
Classical_R1,0.5906593406593407,0.5714595784187049,0.65499454469594,0.5523251987965572,0.5854090354090354,0.5710837548269756,0.6505916080118064,0.5629538488871397,0.5659340659340659,,,0.6256456924464705
