sample_index,sample_id,baseline,main_modality,ratio,k,RandomComp_cls_mean,RandomComp_reg_mean,RandomSuff_cls_mean,RandomSuff_reg_mean
0,-UacrmKiTn4$_$7,missing,T,0.1,3,-0.22780764218749985,0.0600830078125,1.5320307027954096,0.197711181640625
0,-UacrmKiTn4$_$7,missing,T,0.2,6,-0.33088381406249995,0.0716650390625,1.3266906988281246,0.1803279113769531
0,-UacrmKiTn4$_$7,missing,T,0.3,8,-0.50504152890625,0.10299316406249999,1.1246155035156247,0.16447937011718747
1,-qDkUB0GgYY$_$5,missing,T,0.1,5,0.19494630156250006,0.04381835937500001,1.1907211428710938,0.61418212890625
1,-qDkUB0GgYY$_$5,missing,T,0.2,10,0.23208009062500007,0.05044921875000001,1.1327407961914062,0.41211486816406256
1,-qDkUB0GgYY$_$5,missing,T,0.3,15,0.36479493437500005,0.06844726562500003,1.0497924929687499,0.17873046875000004
2,0utROiKxejc$_$1,missing,T,0.1,2,0.1228668181640625,0.08280517578125005,2.4764709441406247,0.52930419921875
2,0utROiKxejc$_$1,missing,T,0.2,4,0.5117050139648437,0.20002990722656255,1.8824277846557613,0.4312322998046875
2,0utROiKxejc$_$1,missing,T,0.3,5,0.8862131325942993,0.3039746093750001,1.3317474333984378,0.32499206542968756
3,0utROiKxejc$_$4,missing,T,0.1,4,0.020849621875000147,0.040898437499999996,0.9675354116406251,0.24648437500000003
3,0utROiKxejc$_$4,missing,T,0.2,7,0.06147462187500015,0.05722656250000002,0.6223938050781251,0.19134765625
3,0utROiKxejc$_$4,missing,T,0.3,10,0.18540040312500014,0.12488281250000004,0.29549560546875,0.13054687500000006
4,0y022OlZ3W0$_$3,missing,T,0.1,2,0.15874631320312496,0.05830078125,2.2280029049999994,0.4022265625
4,0y022OlZ3W0$_$3,missing,T,0.2,4,0.3609817258007812,0.09341796875,1.6307983151562495,0.28849609375
4,0y022OlZ3W0$_$3,missing,T,0.3,6,0.5417114010937499,0.1409375,1.2442199460156247,0.228818359375
5,0y022OlZ3W0$_$5,missing,T,0.1,3,0.11409915234374993,0.03671875000000002,1.4607452705078123,0.22862548828125004
5,0y022OlZ3W0$_$5,missing,T,0.2,5,0.14797366406249993,0.043320312500000006,1.3163910224609374,0.23214843750000003
5,0y022OlZ3W0$_$5,missing,T,0.3,7,0.18221438671874993,0.06318359375,0.801373322265625,0.16913574218750002
