sample_index,sample_id,baseline,phi_T_cls,phi_T_reg,contribution_T_cls,contribution_T_reg,combined_contribution_T,phi_A_cls,phi_A_reg,contribution_A_cls,contribution_A_reg,combined_contribution_A,phi_V_cls,phi_V_reg,contribution_V_cls,contribution_V_reg,combined_contribution_V,main_modality,TEXT_MISSING_OOD_CAUTION,zero_missing_main_modality_agreement
0,-UacrmKiTn4$_$7,missing,-0.7218577067057292,0.51435546875,0.5031089148221148,0.8328589500316258,0.6679839324268704,-0.2321116129557291,0.0123535156249999,0.16177346397629136,0.02000316255534456,0.09088831326581796,0.4808247884114583,0.090869140625,0.3351176212015938,0.14713788741302974,0.24112775430731176,T,True,True
1,-qDkUB0GgYY$_$5,missing,2.638997395833333,1.3443684895833334,0.4898193462630657,0.5848060039648825,0.5373126751139741,1.1603597005208333,0.3556966145833333,0.21537218294967073,0.15472953837439818,0.18505086066203447,1.5883382161458333,0.5987630208333334,0.29480847078726363,0.2604644576607194,0.2776364642239915,T,True,True
2,0utROiKxejc$_$1,missing,3.6873372395833335,0.6030761718750001,0.9077431633777421,0.7242289199014894,0.8159860416396157,0.3555501302083333,-0.055712890625,0.08752879895822897,0.06690512489738477,0.07721696192780687,-0.0192057291666666,-0.17392578125,0.004728037664028832,0.20886595520112583,0.10679699643257733,T,True,True
3,0utROiKxejc$_$4,missing,2.698201497395833,-0.5470052083333333,0.7774586127655583,0.6902727571475519,0.733865684956555,0.3596394856770833,0.0268229166666666,0.10362636589598087,0.033848176141965086,0.06873727101897298,-0.4126993815104167,0.2186197916666667,0.11891502133846084,0.2758790667104831,0.19739704402447197,T,True,True
4,0y022OlZ3W0$_$3,missing,3.761220296223959,0.6162760416666667,0.7527034729856278,0.8111396743787491,0.7819215736821885,0.7852528889973959,0.1294596354166666,0.15714649240666098,0.17039417309340182,0.1637703327500314,0.4504750569661457,0.0140299479166666,0.09015003460771139,0.0184661525278491,0.05430809356778024,T,True,True
5,0y022OlZ3W0$_$5,missing,3.511922200520833,-0.6002929687500002,0.8459676154630285,0.8018523349856511,0.8239099752243397,0.4970296223958333,-0.048974609375,0.1197267309652631,0.06541873206365771,0.09257273151446041,0.1424153645833333,-0.0993652343749999,0.034305653571708616,0.13272893295069124,0.08351729326119993,T,True,True
6,0y022OlZ3W0$_$8,missing,-0.7923736572265626,0.0898030598958333,0.35728341039189787,0.532937312856177,0.4451103616240374,-0.7198791503906251,0.0738850911458333,0.32459544253632766,0.43847194050033805,0.38153369151833283,-0.7055206298828125,0.0048177083333333,0.3181211470717745,0.028590746643484793,0.17335594685762967,T,True,True
7,101787$_$11,missing,0.5247395833333334,0.5087890625,0.33080238046378,0.7813437312537495,0.5560730558587648,0.4330037434895833,-0.0868164062499999,0.2729709624461317,0.13332333533293328,0.2031471488895325,-0.6285196940104166,-0.05556640625,0.3962266570900882,0.08533293341331735,0.2407797952517028,T,True,True
8,101787$_$13,missing,0.1474609374999999,1.0175455729166667,0.10810810810810803,0.5998541574715511,0.35398113278982957,1.02239990234375,-0.2742513020833333,0.7495525326651155,0.16167411870814222,0.4556133256866288,0.19415283203125,-0.4045247395833333,0.14233935922677646,0.23847172382030662,0.19040554152354155,A,False,False
9,101787$_$1,missing,1.6630045572916667,-0.0353678385416666,0.5713047611059856,0.08820425393732734,0.32975450752165647,0.9357096354166666,-0.1513102213541666,0.3214515362464704,0.37735427829193047,0.3494029072692004,0.3121744791666667,-0.2142985026041667,0.10724370264754397,0.5344414677707422,0.3208425852091431,A,False,False
