sample_index,sample_id,baseline,modality,position,is_valid_non_special,TEXT_MISSING_OOD_CAUTION,signed_classification_score,absolute_classification_sensitivity,support_classification_score,regression_score,normalized_support_cls,normalized_regression,combined_score,combined_score_w1,combined_score_w3,combined_score_w5
0,-UacrmKiTn4$_$7,missing,T,1,True,True,-0.2980469133333331,0.2980469133333331,0.0,0.048079427083333334,0.0,0.014844967083773059,0.007422483541886529,0.0033239155725444582,0.008667781493868449,0.008065578087964183
0,-UacrmKiTn4$_$7,missing,T,2,True,True,-0.802408905833333,0.802408905833333,0.0,0.13791666666666666,0.0,0.04258304437408916,0.02129152218704458,0.034236330397207915,0.02034559643255295,0.0169080853305241
0,-UacrmKiTn4$_$7,missing,T,3,True,True,-0.9348633462499996,0.9348633462499996,0.0,0.17009114583333332,0.0,0.052517211920197,0.0262586059600985,0.01761675253448562,0.03433667781493868,0.02332104292862787
0,-UacrmKiTn4$_$7,missing,T,4,True,True,-1.0527344449999996,1.0527344449999996,0.0,0.20018229166666665,0.0,0.06180813106186242,0.03090406553093121,0.023018115339870363,0.0386984392419175,0.02789043982091125
0,-UacrmKiTn4$_$7,missing,T,5,True,True,-1.117350335416666,1.117350335416666,0.0,0.24160807291666664,0.0,0.07459872355394745,0.037299361776973725,0.05218547448894798,0.034894091415830546,0.033296023176191736
0,-UacrmKiTn4$_$7,missing,T,6,True,True,-0.6635742937499995,0.7501628187499997,0.04329426250000005,0.1534375,0.041843642025072236,0.0473752449871853,0.04460944350612877,0.011799900282532819,0.07450625092967036,0.027429549644456153
0,-UacrmKiTn4$_$7,missing,T,7,True,True,-0.24710293958333285,0.46194660625,0.10742183333333358,0.11067708333333333,0.10382255015146584,0.03417257148600433,0.06899756081873509,0.06574927573209755,0.0769310261012041,0.020246247037134582
0,-UacrmKiTn4$_$7,missing,T,8,True,True,0.06572258125000041,0.4401367104166667,0.25292964583333355,0.09662109374999998,0.24445496808678285,0.029832654907281778,0.1371438114970323,0.2032041024538417,0.07365622119596442,0.01657229391624967
0,-UacrmKiTn4$_$7,missing,T,9,True,True,-0.32480476249999957,0.35149745416666633,0.013346345833333384,0.1259309895833333,0.012899162271047251,0.03888235589728127,0.02589075908416426,0.04246302143925545,0.028720761793607323,0.015051356333947854
0,-UacrmKiTn4$_$7,missing,T,10,True,True,-0.15641283541666623,0.16246751291666628,0.0030273387500000305,0.10373697916666662,0.0029259045339698484,0.032029750238705454,0.01747782738633765,0.0247631710154562,0.017879041248606467,0.03926291454211169
0,-UacrmKiTn4$_$7,missing,T,11,True,True,-0.0005534604166662141,0.20367837375000009,0.10156245666666694,0.06624999999999998,0.09815949815398559,0.02045529926126941,0.059307398707627496,0.0461411537087881,0.06562638469409335,0.10959309981564393
0,-UacrmKiTn4$_$7,missing,T,12,True,True,0.11289055000000045,0.20839840916666685,0.16064447958333367,0.045859375,0.15526191483199492,0.01415950550278909,0.084710710167392,0.06394363384599322,0.09996400023310771,0.10983012904924941
0,-UacrmKiTn4$_$7,missing,T,13,True,True,0.1457030500000005,0.2624999550000003,0.2041015025000004,0.04679036458333333,0.19726286381225208,0.014446957133524299,0.1058549104728882,0.10510489686501781,0.10443742428898543,0.11006715828285489
0,-UacrmKiTn4$_$7,missing,T,14,True,True,-0.09912116874999953,0.20849611541666652,0.0546874733333335,0.05565104166666664,0.0528551111689612,0.017182773003668522,0.03501894208631486,0.0036563071297988853,0.05805574416568362,0.11123255201474849
0,-UacrmKiTn4$_$7,missing,T,15,True,True,-0.32932950208333284,0.35940760041666636,0.015039049166666749,0.09397786458333329,0.014535149772500769,0.02901653349414543,0.0217758416333231,0.008642180488615573,0.02299349094550982,0.08857485211577612
0,-UacrmKiTn4$_$7,missing,T,16,True,True,-0.5870931739583328,0.5870931739583328,0.0,0.15595052083333327,0.0,0.048151163375043965,0.024075581687521982,0.027754695030746207,0.0229654403567447,0.02349223070845404
0,-UacrmKiTn4$_$7,missing,T,17,True,True,-0.6663737729166662,0.6663737729166662,0.0,0.1826497395833333,0.0,0.05639479370822655,0.028197396854113276,0.021439255442911743,0.03049052396878484,0.02906900184356071
0,-UacrmKiTn4$_$7,missing,T,18,True,True,-0.9280111427083328,0.9280111427083328,0.0,0.21115234374999997,0.0,0.0651952359415046,0.0325976179707523,0.024098387900947323,0.036036789297658856,0.03325651830392415
0,-UacrmKiTn4$_$7,missing,T,19,True,True,-1.0242676531249995,1.0242676531249995,0.0,0.2673502604166666,0.0,0.08254686165133926,0.04127343082566963,0.058999501412664135,0.03961817168338907,0.03555438504082171
0,-UacrmKiTn4$_$7,missing,T,20,True,True,-0.8547689552083328,0.8547689552083328,0.0,0.2089518229166666,0.0,0.06451580481431228,0.03225790240715614,0.028003988698687053,0.033263656633221846,0.03315117197787727
0,-UacrmKiTn4$_$7,missing,T,21,True,True,-0.6370768979166661,0.6370768979166661,0.0,0.15969401041666667,0.0,0.04930700035177649,0.024653500175888243,0.01246468339704172,0.02490245261984392,0.029286278641032396
0,-UacrmKiTn4$_$7,missing,T,22,True,True,-0.4830567156249995,0.4830567156249995,0.0,0.12119791666666663,0.0,0.03742097592843861,0.018710487964219306,0.0076450058168522446,0.017628205128205125,0.023946536739531208
