sample_index,sample_id,baseline,main_modality,comparison,n_candidates,top20_k,top20_jaccard,position_spearman
23,102858$_$17,zero,T,w3_vs_w5,9,2,0.0,-0.03333333333333333
23,102858$_$17,zero,T,w1_vs_w5,9,2,0.0,-0.15
24,102858$_$19,zero,V,w1_vs_w3,12,3,0.2,0.6293706293706295
24,102858$_$19,zero,V,w3_vs_w5,12,3,0.5,0.8251748251748254
24,102858$_$19,zero,V,w1_vs_w5,12,3,0.0,0.27272727272727276
25,112433$_$10,zero,T,w1_vs_w3,1,1,1.0,0.0
25,112433$_$10,zero,T,w3_vs_w5,1,1,1.0,0.0
25,112433$_$10,zero,T,w1_vs_w5,1,1,1.0,0.0
26,112433$_$3,zero,T,w1_vs_w3,32,7,0.4,0.6744868035190615
26,112433$_$3,zero,T,w3_vs_w5,32,7,0.4,0.6257331378299119
26,112433$_$3,zero,T,w1_vs_w5,32,7,0.16666666666666666,0.16055718475073313
27,112433$_$7,zero,T,w1_vs_w3,9,2,0.3333333333333333,0.5499999999999999
27,112433$_$7,zero,T,w3_vs_w5,9,2,1.0,0.9333333333333332
27,112433$_$7,zero,T,w1_vs_w5,9,2,0.3333333333333333,0.43333333333333335
28,112433$_$6,zero,T,w1_vs_w3,24,5,0.42857142857142855,0.6356521739130434
28,112433$_$6,zero,T,w3_vs_w5,24,5,0.6666666666666666,0.9304347826086956
28,112433$_$6,zero,T,w1_vs_w5,24,5,0.25,0.46782608695652167
29,117tQqLjza4$_$6,zero,T,w1_vs_w3,15,3,0.2,0.19999999999999998
29,117tQqLjza4$_$6,zero,T,w3_vs_w5,15,3,1.0,0.7249999999999999
29,117tQqLjza4$_$6,zero,T,w1_vs_w5,15,3,0.2,-0.25
30,11j7EfglCAs$_$2,zero,T,w1_vs_w3,24,5,0.25,0.4748858559750494
30,11j7EfglCAs$_$2,zero,T,w3_vs_w5,24,5,0.6666666666666666,0.3947826086956522
30,11j7EfglCAs$_$2,zero,T,w1_vs_w5,24,5,0.25,0.1313329015608653
