bootstrap_repeat,mean_D_zero_minus_missing
0,0.011281865847109865
1,-0.22794937576057034
2,-0.28434718761125494
3,-0.07838502660261346
4,-0.1586310702032708
5,-0.35750571036265283
6,-0.19114688886197206
7,-0.10562577934909481
8,-0.11815507753709903
9,-0.3628164758051603
10,0.0010939813878055225
11,-0.009312578451703916
12,0.3802139734236833
13,-0.21772784261290404
14,-0.15189965672572808
15,0.14216109663223608
16,0.13775805455062035
17,0.0888581587943027
18,0.4992482185584388
19,-0.33059396339939895
20,0.06423503779875434
21,-0.22341508087026726
22,-0.14068457471690132
23,-0.19183334448721975
24,0.0958677872085239
25,-0.13520193030739527
26,0.09880868753146772
27,-0.020357968744288343
28,-0.23250084173030944
29,0.09030924871390028
30,-0.08887334155241601
31,0.2617237469235745
32,-0.5246795681734759
33,-0.03987994965805453
34,-0.043319459577463686
35,-0.29917286434415397
36,-0.2866209048040925
37,-0.2725821979723757
38,-0.32277547820672436
39,-0.2977702844497706
40,0.4019931660476956
41,0.14837283200847187
42,0.024412584825595645
43,0.04871228954681979
44,0.20107086696660537
45,-0.24777916428368074
46,0.2082636594863271
47,-0.042890133125260826
48,0.115291964654349
49,0.017431682465531513
50,0.008334725606250348
51,-0.16972417847522714
52,-0.3204307674059435
53,-0.16495560501909476
54,-0.2187622888421759
55,-0.11609617323915086
56,0.22915485847350361
57,-0.24873701811984858
58,-0.3090703166145648
59,-0.019698280155398474
60,-0.18221267708365044
61,0.1895778292412185
62,-0.6236443343321358
63,-0.037929395033502324
64,-0.3142498481490907
65,-0.09336164673482093
66,-0.031189855247683033
67,0.13899559964282723
68,-0.05775258694414688
69,-0.2723393838012788
70,-0.3001468175004001
71,0.23875405718841614
72,-0.09421805849906051
73,-0.009120864406263866
74,0.5654659881700682
75,-0.2280062412292487
76,-0.25308926222731976
77,0.12456941286638472
78,0.039027394853881146
79,0.17125787078081123
80,0.12125261871583225
81,-0.14120314477273258
82,-0.15025417664118368
83,0.11195210499646178
84,-0.11018382814655421
85,-0.3198105899586096
86,-0.19649543097295244
87,-0.1766598647781132
88,-0.2593945017245914
89,-0.30349039988322035
90,0.006088735018922049
91,0.17319399976142955
92,-0.10530837056937264
93,-0.13346888104778515
94,-0.04712361354192341
95,-0.02787819557312929
96,-0.08628235509559917
97,-0.30519628331206433
98,-0.05038037327562049
99,0.1273668527084395
100,-0.2405376290277792
101,-0.1059669086182765
102,0.004110966850414452
103,0.16606868543281347
104,-0.2177849589607836
105,-0.2763286674525307
106,-0.23515491882045636
107,-0.1381765107890127
108,-0.15408360376827793
109,0.5988265117717787
110,-0.16046913145692857
111,-0.2846077999811104
112,-0.01812640834965415
113,0.10254033517095519
114,-0.4074799455250582
115,-0.38463460495536056
116,-0.09299516360719494
117,-0.12821397285821726
118,-0.310576338270486
119,-0.12445589808285645
120,0.20659191538530136
121,-0.15535455278898008
122,-0.04427274754395574
123,-0.01821590213007512
124,-0.037449005259938814
125,0.002793099545062012
126,-0.08435454717132557
127,-0.2955415590633017
128,-0.4436810640760101
129,-0.35818066075192606
130,-0.31763543146470424
131,-0.13881297523257916
132,-0.21585104113859593
133,0.2783819994004583
134,-0.05564249123447769
135,-0.047474280442076494
136,-0.06332960960499259
137,-0.16906213637719758
138,-0.29843237167976366
139,0.15606797381539758
140,-0.2870017317026059
141,-0.22365979096560754
142,-0.2588762744299399
143,-0.10682038011973038
144,0.09752752759669171
145,-0.17206467556524982
146,-0.28115575614481914
147,-0.11895806062088699
148,0.1562708725019544
149,0.38300664218998587
150,0.21445064081644222
151,-0.19362350918224347
152,-0.04566424378052778
153,-0.3460812673418531
154,-0.12329771911404953
155,0.15190264120794617
156,0.04755235041306753
157,-0.05957469914354484
158,-0.13325860463383055
159,-0.133299152564799
160,-0.37228385969110833
161,0.17653078797013938
162,-0.17041574384178879
163,-0.3796968289333687
164,-0.17951509358218212
165,-0.3319285875082888
166,-0.08907255325870027
167,0.1747314039370447
168,-0.25908519890243203
169,-0.1368451017334809
170,0.08711698648137786
171,0.025009858785191123
172,-0.18832485354818626
173,0.124504290098626
174,-0.22926396566364543
175,-0.24827865333961194
176,-0.21118802533406772
177,-0.0402248392572117
178,-0.2552241059911833
179,-0.29837941054375633
180,-0.35281399088483617
181,-0.1764376595096536
182,-0.31597132610758183
183,0.2300964097843984
184,-0.22001843340756932
185,-0.16808426524086476
186,-0.17568791242841875
187,0.01769608962894659
188,-0.10119159456033813
189,-0.3712955788208468
190,0.3618111222825107
191,0.24325347885408793
192,-0.22087321998501125
193,0.1805440272826504
194,-0.20002156019922313
195,-0.10555240613453552
196,0.23486124143090206
197,-0.0048440596170412666
198,0.10675603204310845
199,-0.0326924455131142
200,-0.044565905772505576
201,-0.12824556807954826
202,-0.3265954905455631
203,0.3034100477732118
204,-0.16980598426554896
