scenario,scenario_id,accuracy_q2b,macro_f1_q2b,weighted_f1_q2b,mae_q2b,pearson_q2b,recall_negative_q2b,recall_neutral_q2b,recall_positive_q2b,mae_negative_q2b,mae_neutral_q2b,mae_positive_q2b,modality_combination,missing_rate_percent,position,accuracy_r1,macro_f1_r1,weighted_f1_r1,mae_r1,pearson_r1,recall_negative_r1,recall_neutral_r1,recall_positive_r1,mae_negative_r1,mae_neutral_r1,mae_positive_r1,accuracy_gain,macro_f1_gain,weighted_f1_gain,pearson_gain,mae_reduction
V_20_Middle,35,0.6153846153846154,0.6050995600844908,0.6228741474893751,0.589229941368103,0.6511488052522277,0.6553398058252428,0.5543478260869565,0.6242603550295858,0.8020904064178467,0.3961500227451324,0.5646069645881653,V,20,Middle,0.6304945054945055,0.619089419031388,0.6373815270329292,0.6045091152191162,0.6616761798862874,0.6796116504854369,0.5652173913043478,0.636094674556213,0.7287915945053101,0.4595644176006317,0.6076678037643433,0.015109890109890056,0.013989858946897193,0.014507379543554078,0.010527374634059616,-0.015279173851013184
V_20_Tail,36,0.6153846153846154,0.6051811432312455,0.6227219972188764,0.5891141295433044,0.6485013046822221,0.6601941747572816,0.5543478260869565,0.621301775147929,0.7920070290565491,0.3956808447837829,0.5707585215568542,V,20,Tail,0.6332417582417582,0.62261343150568,0.6399413292570987,0.6100621223449707,0.6589074463488901,0.6844660194174758,0.5760869565217391,0.6331360946745562,0.732384979724884,0.46992671489715576,0.6117970943450928,0.017857142857142794,0.01743228827443455,0.017219332038222235,0.010406141666667978,-0.02094799280166626
V_30_Head,37,0.6222527472527473,0.6120136289533146,0.629977506101235,0.5896430611610413,0.6504998146150748,0.6504854368932039,0.5706521739130435,0.6331360946745562,0.8107113838195801,0.3943206965923309,0.5612384676933289,V,30,Head,0.625,0.6151170149236375,0.632451393066426,0.6054887175559998,0.6610796023970811,0.6747572815533981,0.5760869565217391,0.621301775147929,0.7190285325050354,0.4551900327205658,0.6181093454360962,0.0027472527472527375,0.0031033859703228917,0.002473886965190908,0.0105797877820063,-0.015845656394958496
V_30_Middle,38,0.6277472527472527,0.616690296043103,0.6349229824459766,0.5898880362510681,0.6528370714094105,0.6504854368932039,0.5706521739130435,0.6449704142011834,0.8189548850059509,0.3997021615505218,0.5538124442100525,V,30,Middle,0.6291208791208791,0.617015136846763,0.6357740996277079,0.6048163771629333,0.6620964563199132,0.6796116504854369,0.5543478260869565,0.6390532544378699,0.7317258715629578,0.46113255620002747,0.6056874990463257,0.0013736263736263687,0.00032484080366002033,0.0008511171817313645,0.00925938491050271,-0.014928340911865234
V_30_Tail,39,0.6181318681318682,0.6088460795051865,0.6255443528831197,0.5889453291893005,0.6497288954615488,0.6553398058252428,0.5706521739130435,0.621301775147929,0.8083755970001221,0.3954733908176422,0.5605316758155823,V,30,Tail,0.6318681318681318,0.6209315268823036,0.6383782904676367,0.6119066476821899,0.6585343215123377,0.6844660194174758,0.5706521739130435,0.6331360946745562,0.7376757264137268,0.4744070768356323,0.610106348991394,0.013736263736263687,0.012085447377117031,0.012833937584517008,0.008805426050788934,-0.022961318492889404
V_40_Head,40,0.6304945054945055,0.6198555575029956,0.6379352874395242,0.5913738012313843,0.6516262838061219,0.6456310679611651,0.5869565217391305,0.6449704142011834,0.8296317458152771,0.3972245454788208,0.551854133605957,V,40,Head,0.6222527472527473,0.6121182826337993,0.6296012495773928,0.6058662533760071,0.6609504684285077,0.6699029126213593,0.5706521739130435,0.621301775147929,0.7215784788131714,0.45659714937210083,0.6166022419929504,-0.008241758241758212,-0.007737274869196287,-0.008334037862131383,0.009324184622385823,-0.014492452144622803
V_40_Middle,41,0.6195054945054945,0.6083726673526823,0.6273995898120935,0.5919454097747803,0.6540183129684726,0.6310679611650486,0.5652173913043478,0.6420118343195266,0.8377312421798706,0.404504120349884,0.544185996055603,V,40,Middle,0.6304945054945055,0.6173337162442237,0.6369588721392957,0.6058886051177979,0.6626234386095637,0.6796116504854369,0.5434782608695652,0.6479289940828402,0.7367636561393738,0.4655190408229828,0.6025386452674866,0.01098901098901095,0.008961048891541479,0.009559282327202157,0.008605125641091171,-0.013943195343017578
V_40_Tail,42,0.6167582417582418,0.6059514631729463,0.624476520589515,0.589056134223938,0.651794032595338,0.6407766990291263,0.5597826086956522,0.6331360946745562,0.8243184685707092,0.3976327776908874,0.5498782396316528,V,40,Tail,0.6304945054945055,0.6177047123623937,0.6362287247680144,0.6131154298782349,0.6588090167007291,0.6796116504854369,0.5489130434782609,0.6449704142011834,0.742789626121521,0.4788382053375244,0.6071808338165283,0.013736263736263687,0.011753249189447312,0.011752204178499426,0.007014984105391142,-0.024059295654296875
V_50_Head,43,0.6236263736263736,0.6124277391007271,0.6315847154098304,0.5950910449028015,0.6511300384772885,0.6262135922330098,0.5760869565217391,0.6479289940828402,0.8534335494041443,0.4044339656829834,0.5414294004440308,V,50,Head,0.6181318681318682,0.6077391046865327,0.6255402139113679,0.6066806316375732,0.6606661522855928,0.6699029126213593,0.5597826086956522,0.6183431952662722,0.7245514392852783,0.45951685309410095,0.6149550080299377,-0.005494505494505475,-0.004688634414194426,-0.006044501498462473,0.009536113808304325,-0.011589586734771729
V_50_Middle,44,0.6222527472527473,0.6115753325055651,0.6303275720219242,0.5950785875320435,0.6532723919853554,0.6213592233009708,0.5760869565217391,0.6479289940828402,0.8612589240074158,0.410855084657669,0.5331377387046814,V,50,Middle,0.625,0.6117921290502016,0.631173441160425,0.6065787672996521,0.6628050586794175,0.6699029126213593,0.5380434782608695,0.6449704142011834,0.7412368655204773,0.47073763608932495,0.5984580516815186,0.0027472527472527375,0.00021679654463657716,0.00084586913850071,0.009532666694062164,-0.011500179767608643
V_50_Tail,45,0.6167582417582418,0.6056575396098761,0.6245154219760072,0.5918785929679871,0.6520733844781412,0.6262135922330098,0.5652173913043478,0.6390532544378699,0.8470648527145386,0.4039014875888824,0.5386815071105957,V,50,Tail,0.6346153846153846,0.6211723666052024,0.6399275397392504,0.6148092150688171,0.658643019084617,0.6893203883495146,0.5434782608695652,0.650887573964497,0.7492772340774536,0.4830295741558075,0.6045933961868286,0.017857142857142794,0.015514826995326247,0.01541211776324325,0.006569634606475749,-0.022930622100830078
