epoch,encoder_frozen,encoder_lr,robust_lr,train_total_loss,train_clean_task,train_missing_task,train_cls_cons,train_reg_cons,train_rep_cons,train_reconstruction,train_nll,train_teacher_cls,train_teacher_reg,aug_clean_ratio,aug_audio_ratio,aug_vision_ratio,aug_audio_vision_ratio,aug_mean_missing_rate,aug_mean_target_missing_rate,aug_mean_gap_count,aug_multi_gap_ratio,clean_valid_accuracy,clean_valid_macro_f1,clean_valid_mae,clean_valid_pearson,clean_valid_composite,missing_valid_accuracy,missing_valid_macro_f1,missing_valid_mae,missing_valid_pearson,missing_valid_composite,selection_score,epoch_seconds
1,1,0.0,0.0002,1.6172634349129162,1.3694185367213434,1.3623151105001503,0.005353612159769735,0.07963783927536151,0.021295603942976433,0.8839732855163372,0.30393590692524003,0.3233325969268717,0.17171405175034182,0.19270833333333334,0.20707947530864196,0.1958912037037037,0.40432098765432095,0.22584141027835236,0.30111576570308934,2.9064510131395602,0.8434494300697446,0.6291208791208791,0.6065127767941068,0.5907842516899109,0.6639625576745405,0.6756670324232223,0.6318681318681318,0.6084432538904738,0.5896531939506531,0.6644450287983531,0.6770513374766853,0.6763591849499538,26.996675729751587
2,1,0.0,0.0002,1.2542180453203564,1.1075113346720655,1.1079325927374817,0.009027673117679288,0.0742933510505047,0.03416249947361813,0.8591354719142323,0.16515806311184597,0.08042816109351802,0.09287793078049689,0.20601851851851852,0.19974922839506173,0.18431712962962962,0.40991512345679015,0.2178011978173003,0.29409112068180804,2.918458937373373,0.8691466581973861,0.614010989010989,0.6046535095627511,0.5867016911506653,0.6614499918123288,0.6711368150006285,0.6112637362637363,0.6030057042562528,0.5856362581253052,0.6611645931529893,0.6700554869078025,0.6705961509542155,12.025134801864624
3,1,0.0,0.0002,1.1793690842978206,1.0552244594416667,1.0641562470631325,0.010676665277122924,0.06438130447572435,0.03891151615024842,0.8369718495279068,0.11840444868197322,0.039953192290527656,0.07638583415474562,0.19627700617283952,0.20756172839506173,0.21363811728395063,0.38252314814814814,0.22264075414418438,0.29749453943686877,2.8569284509811443,0.8337008395151448,0.614010989010989,0.6039901823334132,0.5780605673789978,0.6653772793914905,0.6726728987357233,0.614010989010989,0.6041251784698036,0.5786594152450562,0.6641320726074025,0.6723454420849608,0.6725091704103421,10.150453567504883
4,0,2e-05,0.0002,1.1843092124135575,1.059156977761652,1.0596851183142684,0.016310728479599215,0.05832060874111961,0.03690178918052843,0.9536903202972636,0.11478763720423905,0.04430197699952854,0.07665950880881087,0.19907407407407407,0.18981481481481483,0.18952546296296297,0.42158564814814814,0.22352746553126257,0.30222312410107616,2.943414867758321,0.8616191085963407,0.614010989010989,0.6055746632658833,0.607651948928833,0.6686529579329104,0.6714219901417096,0.6126373626373627,0.605192047285358,0.6104685068130493,0.6667827891930308,0.6702806742111838,0.6708513321764467,11.744855642318726
5,0,2e-05,0.0002,1.1527329164681976,1.034601270818921,1.039952395204592,0.017781227177478078,0.05768252813938967,0.039168842720068084,0.937080296922327,0.09377219544419133,0.03569528600845667,0.07089015686986022,0.20997299382716048,0.1941550925925926,0.19945987654320987,0.39641203703703703,0.22868000734736058,0.3050924734743206,2.937445991173461,0.8508444687622586,0.6085164835164835,0.6040131875766638,0.6061354875564575,0.6645548166377502,0.6687598313030195,0.603021978021978,0.6001282266832554,0.6081153750419617,0.6632391557369114,0.6659210588570394,0.6673404450800295,12.295452117919922
6,0,2e-05,0.0002,1.1263122383027786,1.020338883701937,1.0180931273194933,0.018622146635720937,0.05366356931242746,0.038564092062402716,0.9253387617432843,0.07289870625830891,0.03565298969444541,0.06636700498513515,0.1875,0.20756172839506173,0.1880787037037037,0.4168595679012346,0.22110840387867386,0.300368591865725,2.949543891316278,0.8619107326894742,0.6208791208791209,0.6107207494943043,0.5876444578170776,0.6607500277216304,0.6741171030390074,0.6208791208791209,0.6096372452429247,0.5885818004608154,0.6597894160995169,0.6735279621836561,0.6738225326113317,12.258005142211914
7,0,2e-05,0.0002,1.1067403455546045,1.0047970848336312,1.009194706852201,0.019688705217905222,0.05135688880274678,0.04000223110785189,0.9180931613441771,0.05450423846188631,0.03230042727622965,0.06185574033057567,0.20553626543209877,0.2061149691358025,0.19367283950617284,0.39467592592592593,0.22500101792884578,0.3020754787732812,2.9266444228419193,0.8460113613184141,0.6277472527472527,0.617581362119397,0.6042718887329102,0.6600244325667375,0.6759822711306043,0.6318681318681318,0.6209954515187762,0.6046445965766907,0.6596393953762046,0.677738694976054,0.6768604830533291,12.166114568710327
8,0,2e-05,0.0002,1.092383990828524,0.9967163497112987,0.9951203052003885,0.01916909412740125,0.050158339032741465,0.03946883456345335,0.9103926971313353,0.04521533558926983,0.03245152965385538,0.06299123116309407,0.2013888888888889,0.19068287037037038,0.20650077160493827,0.40142746913580246,0.22564923170687734,0.30073111761350374,2.8934796982967583,0.8420506208207685,0.6167582417582418,0.6091949963424499,0.6121512055397034,0.6579243688118496,0.6699568012664934,0.614010989010989,0.6064131880415555,0.6125066876411438,0.6573011998563705,0.6683891202571335,0.6691729607618134,12.424803972244263
9,0,2e-05,0.0002,1.0737618772639441,0.9817374253834822,0.9813063187346367,0.01994330928234359,0.04980977106543151,0.039049615983100985,0.906595347380603,0.030590162221040572,0.03452946870026778,0.06277195562022864,0.19212962962962962,0.19907407407407407,0.20495756172839508,0.40383873456790126,0.2222758911060725,0.29648254298439375,2.8973983229862874,0.8555710478751885,0.6208791208791209,0.6107370362165108,0.5936866998672485,0.6539683965376254,0.6719222467527103,0.6222527472527473,0.6127903417971686,0.594049334526062,0.6531526544799308,0.6725448246719565,0.6722335357123335,12.805203437805176
10,0,1e-05,0.0001,1.0721553813375324,0.9789170975888776,0.9845652386436407,0.020581057163528736,0.049375853266715126,0.03879784012545279,0.8998397344868735,0.026113776465403315,0.03443711423733448,0.06223787330913965,0.1953125,0.19714506172839508,0.20225694444444445,0.4052854938271605,0.225680198638683,0.30256922516339546,2.9534356802342074,0.8584904867778362,0.6208791208791209,0.6112676108299873,0.6105465888977051,0.6554971656365007,0.6710320919282602,0.6222527472527473,0.6132830500896959,0.6117568016052246,0.6541005192992165,0.6714293456933129,0.6712307188107866,12.307164669036865
11,0,1e-05,0.0001,1.0382650579373862,0.9550219631159955,0.959180328210429,0.02013431058562908,0.047147471477470976,0.03921749246840273,0.8948053904942104,-0.0016400728731337983,0.036003916988228836,0.058895538007739015,0.20881558641975306,0.1941550925925926,0.18894675925925927,0.408082561728395,0.2226307265553493,0.2961940891669579,2.897350412144278,0.8465200915609581,0.6195054945054945,0.6104928876337555,0.5938588976860046,0.6547304584198115,0.6716939686659317,0.6195054945054945,0.6104081651758161,0.5951797962188721,0.653921619643714,0.6713605034796836,0.6715272360728076,11.170481443405151
12,0,1e-05,0.0001,1.0275193927916582,0.9482558040450353,0.9489304788333853,0.020316685891994146,0.045288364312697935,0.04016862943856284,0.8941703431911777,-0.008007331168353119,0.03477420792620031,0.05895306917458817,0.19212962962962962,0.19888117283950618,0.21305941358024694,0.3959297839506173,0.2248985755749436,0.29976073509805506,2.920753542747234,0.847992159409221,0.6304945054945055,0.6187308762399466,0.607038140296936,0.6550651260870233,0.6754861152639575,0.6263736263736264,0.61583209004116,0.6081566214561462,0.6541283962497227,0.6734038097114484,0.6744449624877029,12.688141584396362
13,0,5e-06,5e-05,1.0220353872330095,0.9437142776635329,0.9476074108494574,0.020733009559679803,0.046777229597010216,0.03937901319587529,0.8905227849690658,-0.016809165723545034,0.03529577538129683,0.059148288212047234,0.18605324074074073,0.2006172839506173,0.19618055555555555,0.41714891975308643,0.21911506464807745,0.29728871163957316,2.9024553300217293,0.8512797647757353,0.6195054945054945,0.6079952091181301,0.602568507194519,0.6513891713386726,0.6695084264743644,0.6236263736263736,0.6123093045589231,0.6040626168251038,0.6503842039344692,0.6712414191278495,0.6703749228011069,12.68058729171753
14,0,5e-06,5e-05,1.0131908100904878,0.938581980135023,0.9389834490896851,0.02089164303601973,0.0478316626992949,0.038892217746363825,0.8885493423169772,-0.02475556589893459,0.03615820700075033,0.06044363667187178,0.20322145061728397,0.19762731481481483,0.19733796296296297,0.4018132716049383,0.22114198890716813,0.29989343630028925,2.9356062637752833,0.8607713859175249,0.6167582417582418,0.6077141339864981,0.6006707549095154,0.6528439384784671,0.6692731823133421,0.6167582417582418,0.6072306398985164,0.6021816730499268,0.6519966225332713,0.6688145699600134,0.6690438761366777,12.673478364944458
15,0,5e-06,5e-05,1.0053237379562872,0.9266886725165883,0.9345768970312531,0.022022387217483393,0.048391872600532945,0.03981912657508794,0.8891879546449181,-0.02663869999557602,0.037138234980854265,0.06134772999472751,0.19685570987654322,0.19994212962962962,0.21315586419753085,0.3900462962962963,0.22214064886453005,0.30057211275444756,2.9454114843101036,0.8556112412527758,0.6195054945054945,0.6099855884162372,0.6018895506858826,0.6520148408570796,0.6702190183875459,0.6153846153846154,0.6068894835274996,0.6033380627632141,0.6507283099819218,0.6679724303265747,0.6690957243570603,12.513792753219604
