modality_combination,missing_rate_percent,accuracy_gain,macro_f1_gain,weighted_f1_gain,pearson_gain,mae_reduction
A,10,0.020146520146520113,0.018091501319727255,0.019847351115643803,0.0126849695430535,-0.01601336399714152
A,20,0.020604395604395604,0.016623972827826756,0.01976805466682056,0.012270454935977301,-0.016702810923258465
A,30,0.016941391941391954,0.011931240344584815,0.01639192792151219,0.011424719509534128,-0.018374780813852947
A,40,0.024267399267399292,0.017519731848339732,0.024284182128438896,0.01079311286783872,-0.019548336664835613
A,50,0.02701465201465203,0.018429552104443043,0.026691083096328578,0.009115239724775237,-0.021099170049031574
A+V,10,0.021978021978021938,0.01946974909247275,0.021147461524495797,0.01114501187652813,-0.01921236515045166
A+V,20,0.0210622710622711,0.016281531972345237,0.01926339668827759,0.008598474714364998,-0.021215955416361492
A+V,30,0.02060439560439557,0.014210606913869253,0.017596274716297506,0.006342878172796292,-0.023853580156962078
A+V,40,0.03067765567765568,0.022564514167109657,0.026613464516892393,0.004142148459024608,-0.025832613309224445
A+V,50,0.0357142857142857,0.024925644589782376,0.030745239611980762,0.0014151220561727056,-0.026450753211975098
V,10,0.015109890109890093,0.014936169308303918,0.015262806797445813,0.012171261531542984,-0.01716450850168864
V,20,0.015109890109890056,0.014867243511346532,0.014458056903525196,0.01070263710625948,-0.01761517922083537
V,30,0.005952380952380931,0.005171224717033314,0.00538631391047976,0.009548199581099315,-0.017911771933237713
V,40,0.005494505494505475,0.004325674403930835,0.0043258162145234,0.008314764789622711,-0.017498314380645752
V,50,0.005036630036630019,0.0036809963752561328,0.003404495134427162,0.008546138369614079,-0.015340129534403482
