modality_combination,accuracy_gain,macro_f1_gain,weighted_f1_gain,pearson_gain,mae_reduction
A,0.021794871794871797,0.01651919968898432,0.021396519785748806,0.011257699316235777,-0.018347692489624024
A+V,0.026007326007325995,0.019490409347115857,0.02307316741158881,0.006328727055777346,-0.023313053448994956
V,0.009340659340659314,0.008596261663174147,0.008567497792080266,0.009856600275627713,-0.01710598071416219
