missing_rate_percent,accuracy_gain,macro_f1_gain,weighted_f1_gain,pearson_gain,mae_reduction
10,0.01907814407814405,0.017499139906834642,0.01875253981252847,0.012000414317041538,-0.017463412549760606
20,0.01892551892551892,0.01592424943717284,0.017829836086207782,0.010523855585533926,-0.01851131518681844
30,0.014499389499389484,0.010437690658495794,0.01312483884942982,0.009105265754476578,-0.020046710968017578
40,0.020146520146520148,0.014803306806460075,0.018407820953284897,0.007750008705495347,-0.020959754784901936
50,0.02258852258852258,0.015678731023160516,0.0202802726142455,0.006358833383520674,-0.020963350931803387
