missing_rate_percent,hybrid_accuracy,hybrid_macro_f1,hybrid_mae_raw,hybrid_pearson_raw,hybrid_mae_calibrated,hybrid_pearson_calibrated,seed_2028_accuracy,seed_2028_macro_f1,seed_2028_mae_raw,seed_2028_pearson_raw,seed_2028_mae_calibrated,seed_2028_pearson_calibrated
10,0.6173687423687424,0.6080320023016511,0.5756033054770167,0.6727574344271186,0.5757491999779829,0.6695131584940056,0.6173687423687424,0.6080320023016511,0.5758907599749911,0.6724633942995197,0.5762024777484228,0.6695738188855507
20,0.6163003663003663,0.6076108776793571,0.5751603279626667,0.6730563080642771,0.5754352005573593,0.6698449481256742,0.6163003663003663,0.6076108776793571,0.5754435278034072,0.6728820192338784,0.5758121775181757,0.6700237105461324
30,0.6152319902319903,0.6067997745645308,0.5759309612191823,0.6723489183274555,0.5762255198630949,0.6691363684939973,0.6152319902319903,0.6067997745645308,0.5762311788309952,0.6721902765650314,0.5766980516209981,0.6693250063983469
40,0.610958485958486,0.6037754257274159,0.5762529871370803,0.6721674664903686,0.5765076962285536,0.6689903924015358,0.610958485958486,0.6037754257274159,0.576570120134069,0.6720640159231992,0.5769708520998866,0.6692396622424739
50,0.6105006105006106,0.6039109966471512,0.5769002459174585,0.6713849761372092,0.5772292386510725,0.6682132949325063,0.6105006105006106,0.6039109966471512,0.5773855990710894,0.671287415863469,0.5778678811644005,0.6684631851020171
