bootstrap_rep,accuracy_gain,macro_f1_gain,mae_reduction,pearson_gain
0,0.0,0.0,0.0009537174382214797,0.0006236207853025366
1,0.0,0.0,0.0005629054383097243,-0.0002774532457688883
2,0.0,0.0,0.0005865337087885836,4.676539917680689e-05
3,0.0,0.0,0.00014964934199401814,-0.0006693225456770868
4,0.0,0.0,2.3414614649386323e-05,-0.00014098904756132402
5,0.0,0.0,0.0005714564875750616,-0.0006447964739980661
6,0.0,0.0,0.0005775437942245887,0.00010801214432532014
7,0.0,0.0,0.0004393496230735705,-0.00044242369977665064
8,0.0,0.0,-0.00045299816486921163,-0.0010382975737494027
9,0.0,0.0,0.0008271446154012319,0.0007453630755214213
10,0.0,0.0,0.0009356422383870466,0.00039285010959322353
11,0.0,0.0,0.0012699203186801178,0.0010574109907486307
12,0.0,0.0,0.0007529999470808901,-0.0005210931152171971
13,0.0,0.0,-1.4518391480144999e-05,8.23491071337834e-05
14,0.0,0.0,-0.00018384376097846378,-0.0010681521046015385
15,0.0,0.0,0.0013220438900721776,0.0006430587010338717
16,0.0,0.0,0.0006708411972764505,0.0003246726527345034
17,0.0,0.0,0.0004177166062561133,-0.00013893719271163008
18,0.0,0.0,-0.0007843507454453613,-0.002037223361759155
19,0.0,0.0,0.00016124626345703774,-0.00116972009413574
20,0.0,0.0,0.00180230896649769,0.0006468393423889607
21,0.0,0.0,0.000356179523910094,0.0003546841037868065
22,0.0,0.0,-0.001053649356011488,-0.0011432600940352033
23,0.0,0.0,0.0010046958981142495,0.0012467540907898922
24,0.0,0.0,0.0005419023194644934,-0.000945688833388747
25,0.0,0.0,0.00044514613708290796,-7.206936040093925e-05
26,0.0,0.0,0.00011332024404642205,-0.00026040328805576607
27,0.0,0.0,0.0010754291063317378,0.0013583325972579274
28,0.0,0.0,0.00027863675206896144,-0.0001499468508193713
29,0.0,0.0,0.0003639528973253814,-8.138344260466557e-05
30,0.0,0.0,0.0009755024916194843,0.0009730427550469489
31,0.0,0.0,0.0006336905512835944,0.0010422647656408435
32,0.0,0.0,0.0008951898358025012,0.00043168805539295363
33,0.0,0.0,0.0005868645806724748,0.000628960405586243
34,0.0,0.0,0.001086875038700419,0.0005962063099292925
35,0.0,0.0,-0.0007033423814145623,-0.0003894200526183278
36,0.0,0.0,0.00036337733746905077,-0.00015584857930939222
37,0.0,0.0,0.0011297857459594551,0.0003881694150900117
38,0.0,0.0,-0.00015333170155573672,-0.0004755710275082814
39,0.0,0.0,0.0002951786462913608,-4.6188510255951165e-05
