bootstrap_rep,accuracy_gain,macro_f1_gain,mae_reduction,pearson_gain
0,0.0,0.0,0.0009591990803914374,0.001108928623266725
1,0.0,0.0,0.00044059135611096423,0.0002766315148156062
2,0.0,0.0,0.00041737379244688455,-0.0007509579464157756
3,0.0,0.0,0.0007232792580884606,0.00032848748824720886
4,0.0,0.0,-0.0006249078727976753,-0.0010331667319275484
5,0.0,0.0,0.0005486128545652003,-2.252708036587503e-05
6,0.0,0.0,0.0007014880286613234,0.00033434721193537076
7,0.0,0.0,0.0004183512689575064,-0.0006044830655046463
8,0.0,0.0,0.0009535098392449148,-0.00031298301352700175
9,0.0,0.0,-0.00016926967890262823,-0.0007893390219583241
10,0.0,0.0,0.0005066128810173876,-0.0010111313770551078
11,0.0,0.0,0.000238886054182319,5.740712982038598e-05
12,0.0,0.0,0.0003133514972905038,0.00043377170989444824
13,0.0,0.0,0.0015572779171705298,0.00027099460073642945
14,0.0,0.0,0.0009573528021392663,0.0013470123567023151
15,0.0,0.0,0.0008025517211873723,0.0009644970393187791
16,0.0,0.0,0.0004174050885242808,0.0005110514487307594
17,0.0,0.0,-0.000498615850095252,-0.0011109643560002214
18,0.0,0.0,0.001069003820091896,0.0005874302830742861
19,0.0,0.0,-0.00012379878006141265,-0.0003070103804579949
20,0.0,0.0,-0.0007512107302271032,-0.0006298633851657964
21,0.0,0.0,0.0001341363169042875,0.000947553872541862
22,0.0,0.0,-9.835877588826314e-05,0.00011095587143261643
23,0.0,0.0,-0.0008725014474509907,-0.0010259625409648754
24,0.0,0.0,0.0006358884915399488,0.0008251452894505462
25,0.0,0.0,-0.00024036398118809643,-0.0005952722452258197
26,0.0,0.0,-0.00029668013018269157,-0.00032976573794130104
27,0.0,0.0,0.0014449226878064936,0.001292516641939967
28,0.0,0.0,0.0006335911085609824,0.0011382674333123566
29,0.0,0.0,0.000584276673339712,3.054293249871165e-06
30,0.0,0.0,-0.0001506775284642048,0.0006667676689529056
31,0.0,0.0,0.0005153100722001813,0.0002431124136309526
32,0.0,0.0,0.0017264097874418738,0.0007667511415612172
33,0.0,0.0,0.001125459919009364,0.0006737725534077255
