modality_combination,hybrid_accuracy,hybrid_macro_f1,hybrid_mae_raw,hybrid_pearson_raw,hybrid_mae_calibrated,hybrid_pearson_calibrated,seed_2028_accuracy,seed_2028_macro_f1,seed_2028_mae_raw,seed_2028_pearson_raw,seed_2028_mae_calibrated,seed_2028_pearson_calibrated
A,0.6157509157509158,0.6075966065152446,0.5758573533597338,0.672498992635747,0.5759225471125593,0.6691998708804324,0.6157509157509158,0.6075966065152446,0.5765417758238949,0.6720379485267246,0.5766864120676894,0.6690933350733504
A+V,0.6123626373626373,0.6050764237101612,0.5753979012984168,0.6721152881869555,0.5760213930583825,0.668970420299677,0.6123626373626373,0.6050764237101612,0.575603520792428,0.6721525625869563,0.5763876308180201,0.6693562198730427
V,0.6141025641025641,0.6054044159266577,0.5766534419698921,0.6724147812451549,0.5767441729958962,0.669248606288522,0.6141025641025641,0.6054044159266577,0.5767674148724083,0.6723417620173777,0.5770568212054206,0.6695256749583194
