bootstrap_rep,accuracy_gain,macro_f1_gain,mae_reduction,pearson_gain
0,0.0,0.0,0.0006112897745835788,0.00036103369949747055
1,0.0,0.0,0.0001372300115172198,-0.0011843741635387817
2,0.0,0.0,0.0008409595537911541,0.00044513126127998515
3,0.0,0.0,-0.00018666495963737262,-0.0008066333396004044
4,0.0,0.0,4.384819238500981e-05,-0.0011984816120237385
5,0.0,0.0,0.0005347950436477289,0.00039190019647972196
6,0.0,0.0,-0.0008974199647550085,-0.0023164172600109723
7,0.0,0.0,0.00039827112545598453,-0.00014382372507204533
8,0.0,0.0,0.00047884950850141106,6.442127240913198e-05
9,0.0,0.0,0.0009049469436441804,0.00029223550378953966
10,0.0,0.0,0.0006598733103566623,-0.00013225806986871813
11,0.0,0.0,0.0006088858268090691,-0.00023361443759417622
12,0.0,0.0,0.0001903278765047478,-0.0001516596777432211
13,0.0,0.0,0.0006703244345452886,0.00011250537464313481
14,0.0,0.0,0.0011150917138574856,-7.65547514750553e-05
15,0.0,0.0,0.0005384755616503201,0.0001499569351081087
16,0.0,0.0,0.0010764235403060152,0.0006909116545710248
17,0.0,0.0,0.0010787696915403044,0.0006329434476067819
18,0.0,0.0,0.00045223219029943973,-0.0006173175913660733
19,0.0,0.0,0.0006042450940217936,-6.270673313379937e-05
20,0.0,0.0,0.0018919437929988403,0.0009805875443126277
21,0.0,0.0,0.0003393040760238941,-0.0001892613116328823
22,0.0,0.0,-1.0723650262445261e-05,-0.0008770155304520522
23,0.0,0.0,0.0007606648414559825,-0.000621067394975694
24,0.0,0.0,-0.000522358266650258,-0.0005279853495653297
25,0.0,0.0,0.0003817554536083012,9.87521656357071e-05
26,0.0,0.0,0.001106536985105211,0.0005136953604295558
27,0.0,0.0,0.0016199526010035603,0.00020962291403692213
28,0.0,0.0,0.0006128972064847193,5.61837460311132e-05
29,0.0,0.0,-0.0002727940270033091,-0.0011537759638245992
30,0.0,0.0,0.0006403484145935945,4.515019799478104e-05
31,0.0,0.0,0.0004025903834929956,-0.0005456108130922344
32,0.0,0.0,-9.716029871420506e-05,-0.0008493843381879307
33,0.0,0.0,0.0003131619663192531,6.66056050915298e-05
34,0.0,0.0,-0.0002328852187326591,-0.0007143023426808837
35,0.0,0.0,-0.0002993190825779646,-0.0006441100415552903
36,0.0,0.0,0.0005597782089654668,-0.0003485876499348395
37,0.0,0.0,0.00038491248719541016,-0.0010069701749179094
38,0.0,0.0,0.00015260970684194408,-0.0007060844244414222
39,0.0,0.0,0.00011433949447903213,-0.000857231546707804
40,0.0,0.0,0.0013344514209049363,-0.00035234445753073995
41,0.0,0.0,0.0005160197348799134,-0.000630491436638958
42,0.0,0.0,0.00042500874520268184,0.00020747289266875857
43,0.0,0.0,0.0008399133929235525,0.0009135996873430585
44,0.0,0.0,0.0005399565515185056,-0.0005521452623454826
45,0.0,0.0,-8.677418889635469e-05,-0.0007707320138046203
46,0.0,0.0,-0.0004330718613494433,-0.0011532714941410172
47,0.0,0.0,0.000977071852845457,-0.0004383237180731747
48,0.0,0.0,0.000960473179755561,-0.0003432683270744308
49,0.0,0.0,0.00038620183918025575,0.0001496491196730787
50,0.0,0.0,-0.0006047581338680663,-0.000980913580718168
51,0.0,0.0,0.0006588839822856407,-6.607246440493153e-05
52,0.0,0.0,4.777624843532724e-05,-0.0011286704065287534
53,0.0,0.0,0.001090166987717911,0.0008258209405145323
54,0.0,0.0,0.00029740139425848966,-1.479613364596677e-05
55,0.0,0.0,-3.8923642929900026e-05,-0.0015295392326509782
56,0.0,0.0,0.00010608281928858876,-0.00012344779329254152
57,0.0,0.0,1.3651725704333373e-06,-0.0011235360219210566
58,0.0,0.0,0.000411378456222411,-0.0005022586697205345
59,0.0,0.0,0.0011401107089610285,0.0015940654193455916
60,0.0,0.0,-8.851855142755216e-05,-0.00048287059628193685
61,0.0,0.0,0.0007604568231781572,-0.00044015329672320025
62,0.0,0.0,0.0013691294134430265,0.0006855055069958649
63,0.0,0.0,0.0004558702315790031,-0.00044334038065985126
64,0.0,0.0,0.0007807640208381539,4.7599929066777236e-05
65,0.0,0.0,0.0010635715734255147,-0.0007176961111863278
66,0.0,0.0,0.0006380991794435742,-2.066115377008515e-06
67,0.0,0.0,0.0007073421952356052,-6.09560628496153e-05
68,0.0,0.0,-6.100618771376354e-06,-0.0004702073667340878
69,0.0,0.0,0.001111715663388524,0.0004961289285392301
70,0.0,0.0,0.000905476994639387,0.0011742070976274999
71,0.0,0.0,-0.00016247904752852982,-0.0015311081595403842
72,0.0,0.0,0.00024456375608983283,-0.0003414485562667213
73,0.0,0.0,0.0011412221904021358,0.0008392495565877622
74,0.0,0.0,0.0007762597245041247,-0.0004134619622866431
75,0.0,0.0,0.0003519649915596501,9.085381334805742e-05
76,0.0,0.0,0.001904943558304506,0.0015824185795542123
77,0.0,0.0,-0.0004674502239844225,-0.0013853848095860544
78,0.0,0.0,0.0008924410574543407,0.00046416059721066105
79,0.0,0.0,0.0009309848645782104,3.826548550656117e-05
80,0.0,0.0,-0.0006154625010912351,-0.00118693023173444
81,0.0,0.0,0.0006314736212799099,-2.5287770431758894e-05
82,0.0,0.0,0.00013963019099882956,-0.0008555852655243168
83,0.0,0.0,-2.8748353730567722e-05,-0.0006833913249353341
84,0.0,0.0,0.0005841820933364383,0.0007138037991729629
85,0.0,0.0,0.0010469945710661621,0.0009099223700642645
86,0.0,0.0,-0.00010525481449896734,-0.0006837453596200138
87,0.0,0.0,0.0004969586133353188,1.919902986591282e-05
88,0.0,0.0,0.0011597621173068395,0.0004296251398498985
89,0.0,0.0,0.0013145187247343149,0.0007135047149915419
90,0.0,0.0,0.0005813801382575923,5.966770924359377e-05
91,0.0,0.0,0.00027574990859047244,-1.9652677754056214e-05
92,0.0,0.0,0.0004901299329784781,9.12127138917862e-05
93,0.0,0.0,0.0004071798885028066,-0.000827644915274206
94,0.0,0.0,-0.000205480845169137,-0.0004094407307718706
95,0.0,0.0,0.0008479097009933545,-3.5998536862758e-05
96,0.0,0.0,0.0006316197126825518,-0.0003383073229821232
97,0.0,0.0,0.0007583798186858726,0.0003446327207898836
98,0.0,0.0,0.0011960165268335432,0.0006919424560353216
99,0.0,0.0,0.000532305540376421,0.00020339406527558612
100,0.0,0.0,0.00020235931762890846,-0.0010420349070847656
101,0.0,0.0,0.0010015590102914196,0.0003146069798329876
102,0.0,0.0,0.00017246932066328213,2.2344021833431427e-05
103,0.0,0.0,0.000818853665767838,-0.0004706051480081186
104,0.0,0.0,3.9764990543145196e-05,-0.0007312002372588111
105,0.0,0.0,-9.616755157315637e-05,-0.0005743145085249646
106,0.0,0.0,0.0006992469820008562,-0.00040585740967680195
107,0.0,0.0,0.00048626193484702096,-0.0005261437153524229
108,0.0,0.0,0.0010301997834171184,0.00037915877203442694
109,0.0,0.0,0.0006282709336548065,-0.001129042643455369
110,0.0,0.0,-5.590499458585363e-06,-0.0011927415068031522
111,0.0,0.0,0.0008314470080341696,0.00018200532558576565
112,0.0,0.0,0.0009794424872601182,-0.00037004548011865257
113,0.0,0.0,0.0007217072983558559,0.00034343762945210354
114,0.0,0.0,-2.7352163008975694e-05,-0.0007554372046283397
115,0.0,0.0,0.0007663936152382256,6.221074486978395e-05
116,0.0,0.0,0.0006353821089620793,0.00017578525366523934
117,0.0,0.0,0.0003024344523099298,-0.00044454398254201166
118,0.0,0.0,-0.00035855282043439907,-0.0007085846057889311
119,0.0,0.0,-5.361074881182759e-05,0.0004674483100732818
120,0.0,0.0,0.000415565223318759,-0.00026823446064294654
121,0.0,0.0,-7.027751312682629e-05,-0.0001825379170279362
122,0.0,0.0,0.0011907781163610354,0.001108558085673006
123,0.0,0.0,0.0011504558118478059,0.00022724032754639634
124,0.0,0.0,0.0011723276487597412,8.765114630437942e-05
125,0.0,0.0,0.0007871011036308939,7.634929675759405e-05
126,0.0,0.0,-0.0009134260783151271,-0.002591051603000105
127,0.0,0.0,0.00014280326417004385,-0.0005967858165395468
128,0.0,0.0,0.0011204284371457707,0.00017277529628567656
129,0.0,0.0,-0.000784128786460836,-0.002397266729987413
130,0.0,0.0,0.0005401648449198104,6.765976614708791e-05
131,0.0,0.0,0.0013455137588755939,0.0015522718023123216
132,0.0,0.0,-4.613016811449988e-05,-0.0009449476877722018
133,0.0,0.0,0.0008885613590814412,3.2918249343039108e-06
134,0.0,0.0,0.0017479559969760805,0.002153705948619411
135,0.0,0.0,0.000550484482128355,1.1917125738669654e-05
136,0.0,0.0,0.0010798775359907031,0.001165729421503947
137,0.0,0.0,0.00043948790758518985,0.00038363285999887253
138,0.0,0.0,0.001328756777468243,0.0006607138733936146
139,0.0,0.0,0.00020876383878054572,-0.0004732492069785543
140,0.0,0.0,0.0005197702791660541,8.338927854212308e-05
141,0.0,0.0,0.000893158378628689,-0.0002635300419496778
142,0.0,0.0,0.0005138031040424762,0.00020124405431842796
143,0.0,0.0,-0.00018435589398990704,-0.0008816121924812848
144,0.0,0.0,0.00019366224338379645,2.353216940276237e-05
145,0.0,0.0,9.279881106050158e-05,0.00010423780009272132
146,0.0,0.0,-0.0005831426141579277,-0.0011493857288347176
147,0.0,0.0,0.000980275568322031,0.0002508398317958571
148,0.0,0.0,0.0005094594939913932,0.0006740074403673857
149,0.0,0.0,-0.00013415347938239286,-0.0007840478355852776
150,0.0,0.0,-7.334869456498971e-05,-0.00021788748721274231
151,0.0,0.0,0.0010512678619178928,0.0008601978293392154
152,0.0,0.0,-0.00015552348480585287,-0.0005128653513706283
153,0.0,0.0,0.000490328790487049,-0.0007326040060789962
154,0.0,0.0,0.0009915107388197564,0.0002718984348470954
155,0.0,0.0,0.00015917278036481353,-0.0008549216509669
156,0.0,0.0,0.00016435056607577714,-0.00044164913672573025
157,0.0,0.0,0.0004069922793729086,0.0005709823959988425
158,0.0,0.0,0.0012108182611274554,0.0010100446916335715
159,0.0,0.0,0.0007739644820674574,0.0009486146490611524
160,0.0,0.0,0.0005746786106070045,-0.0009049970525238926
161,0.0,0.0,0.0011435921494613588,0.0006017328799130528
162,0.0,0.0,0.00027615053894936015,0.000186811808310261
163,0.0,0.0,0.0008256498496714837,0.0004902753707137775
164,0.0,0.0,0.00018467519175247027,-4.6828030124124176e-05
165,0.0,0.0,0.00023128360607505005,-0.0003881226424975459
166,0.0,0.0,0.00012948284744995764,-0.0010007984943865011
167,0.0,0.0,0.0003345937167195112,-0.0005611843532682403
168,0.0,0.0,-4.804484657738861e-05,-0.0007078253667233136
169,0.0,0.0,0.0008891567723093852,0.0001863147457836778
170,0.0,0.0,0.00022411417422896207,-0.0008600234075772928
171,0.0,0.0,-9.550775708233594e-05,9.035035517035439e-05
172,0.0,0.0,9.760438092187851e-05,-0.0005611353511359995
173,0.0,0.0,-0.000422576273083175,-0.0007355288672834526
174,0.0,0.0,0.0006393288551047593,-0.0004390540776438856
175,0.0,0.0,0.0007030805212564495,0.00016120806516572994
176,0.0,0.0,0.00023660763905386517,-0.0009098241100238269
177,0.0,0.0,0.0008753200713923492,-1.3460063263970312e-06
178,0.0,0.0,0.0007097195168226378,-0.0004192234036378695
179,0.0,0.0,-4.084461962061692e-05,-0.000765365987607125
180,0.0,0.0,-0.0005822660402835522,-0.0011740279767850081
181,0.0,0.0,0.0008300556251623625,0.00049279788462675
182,0.0,0.0,0.0003297868899611034,-0.0003191017308861177
183,0.0,0.0,-0.0008980776284887027,-0.001182105522426924
184,0.0,0.0,0.0014857834845261042,0.001160281657994533
185,0.0,0.0,0.0003926439354571265,-0.0003119401996898308
186,0.0,0.0,0.0005364562569329934,-0.00010824398076436648
187,0.0,0.0,-4.111885557034345e-05,-0.00023414588435044514
188,0.0,0.0,0.0006746105413238945,-0.0008078976953749262
189,0.0,0.0,0.0009389422411117954,8.207927210213128e-05
190,0.0,0.0,0.0006738422535530475,-0.0002911395085458679
191,0.0,0.0,0.0005459519820580905,0.0005615776990998134
192,0.0,0.0,0.0004601463322544408,-0.0006271106552527828
193,0.0,0.0,-0.0004600572812963888,-0.0007936445204936859
194,0.0,0.0,-0.00014221510668899207,0.00030868057982502695
195,0.0,0.0,-0.0005525661861183195,-0.0015429872296998104
196,0.0,0.0,0.0003896403671670434,-0.0005551329138995253
197,0.0,0.0,0.0007380046560142572,0.00048346957471590013
198,0.0,0.0,-0.0006133555018242864,-0.0026423238955398665
199,0.0,0.0,-0.0003190470965008796,-0.0009326822523165745
200,0.0,0.0,-0.00031570989944718075,-0.0010167315757499962
201,0.0,0.0,-0.0002936095947849715,-0.0011094702922324062
202,0.0,0.0,0.0007925595767079852,-0.0003918900612395193
203,0.0,0.0,5.519897356198733e-05,-0.0003803748242120486
204,0.0,0.0,0.00042839471748346014,0.0009543946573340456
205,0.0,0.0,0.000656025722874487,-0.0006276186003717488
206,0.0,0.0,0.00025226288122737195,-0.0009547720797262738
207,0.0,0.0,0.0011495246765503842,0.0004292551446616333
208,0.0,0.0,0.0007258773784390993,0.0001303634290442668
209,0.0,0.0,0.0006389669666719833,-0.0001850253045432293
210,0.0,0.0,0.00010853631851337475,-0.0008952266726934832
211,0.0,0.0,-0.0005896176336555037,-0.0018303498441490929
212,0.0,0.0,-0.0005750950436271829,-0.0016367644940068482
213,0.0,0.0,0.0010780584317836572,0.0005107845750993434
214,0.0,0.0,0.0003598592449259863,-0.0007842958465485994
215,0.0,0.0,0.0007216649490824345,-0.0008078446405831441
216,0.0,0.0,0.0009453056884430877,0.00018329479241585567
217,0.0,0.0,0.001118484938698594,0.0012626299716802514
218,0.0,0.0,0.0007036254813546083,0.0003271470384487163
219,0.0,0.0,0.001144324978767819,0.0010807358361416552
220,0.0,0.0,-0.00014537971904582392,-0.002181297854053965
221,0.0,0.0,0.00048618556670732005,-0.00134975446823693
222,0.0,0.0,0.001057557523760022,8.718712641453408e-05
223,0.0,0.0,0.0007799203791609699,0.0002445373581739796
224,0.0,0.0,0.0006610358452432408,0.00045776971084166007
225,0.0,0.0,0.0009451540236412592,7.756552626381197e-05
226,0.0,0.0,0.00040578665626289645,0.00026022583573259706
227,0.0,0.0,0.0016728957405748313,0.0004056028847645443
228,0.0,0.0,-0.0005280113723792335,-0.0020017321881192762
229,0.0,0.0,0.00025160741873631043,1.402909725556345e-05
230,0.0,0.0,0.0008298082890680902,-0.00032999791664556355
231,0.0,0.0,-0.00046462808098357566,-0.0011284863675056211
232,0.0,0.0,0.00024538007149643715,-0.0007578321884009753
233,0.0,0.0,-0.0005000245801504155,-0.0011010786694485297
234,0.0,0.0,0.0005081255401298002,7.211139359486474e-05
235,0.0,0.0,0.001145319498000008,0.0001594016379978802
236,0.0,0.0,0.0005671741403714403,0.00029825185163578904
237,0.0,0.0,0.0010204689669996991,0.0005177730692149662
238,0.0,0.0,8.223593569622878e-05,-0.0004947567002855369
239,0.0,0.0,0.0005811072743272527,6.64799012279893e-05
240,0.0,0.0,0.00020789271529708664,-0.0007103996209252283
241,0.0,0.0,0.0010439581966411593,0.0005096308740561994
242,0.0,0.0,0.00012315919168104372,-0.0003208926117667099
243,0.0,0.0,-0.0005562067391221559,-0.001048128571524809
244,0.0,0.0,-0.000206683274952435,-0.0008912339324016472
245,0.0,0.0,9.124719834052719e-05,-0.0009332454532203771
246,0.0,0.0,0.0005434216234718736,0.0004677255860656704
247,0.0,0.0,0.000848406783318878,-6.806246362855983e-05
248,0.0,0.0,0.002177182367929853,0.0016342569624651082
249,0.0,0.0,-0.00010110852783073998,0.00021092042632953056
250,0.0,0.0,0.00025887056315998525,-0.000992950021005301
251,0.0,0.0,0.0003763193341698168,-0.0011083375212960211
252,0.0,0.0,-5.302621277636366e-05,-0.0013579311803804117
253,0.0,0.0,0.0008306082801350367,-0.0001058636463759921
254,0.0,0.0,0.0009133021922695939,0.0006168588051093105
255,0.0,0.0,-0.00032387518631504797,-0.0012652451317670677
256,0.0,0.0,0.0010312855818211952,0.0011790665553824686
257,0.0,0.0,-0.0001367039108653989,-0.0008268186362120344
258,0.0,0.0,0.0004823531732173203,-4.430406091138206e-05
259,0.0,0.0,0.0004927412390116626,0.0004726905935998893
260,0.0,0.0,0.0007521467608799792,0.0005234502378611561
261,0.0,0.0,0.0005432239928426785,-8.980457785079388e-06
262,0.0,0.0,0.0002778606448858856,0.00010235786270962333
263,0.0,0.0,0.001405784314999492,0.0007623827533665972
264,0.0,0.0,0.0006650589877310598,-0.00010237333361517997
265,0.0,0.0,4.987244625020981e-05,-0.0005664383373275017
266,0.0,0.0,-2.175513024749165e-05,-0.00028110329626529484
267,0.0,0.0,0.0005375739641338972,-0.0006169172809795676
268,0.0,0.0,1.3973314027193595e-05,-0.000605331280157162
269,0.0,0.0,0.0005409132309045495,-0.00020737151198202408
270,0.0,0.0,0.00042493102300389385,-0.00028294684168961304
271,0.0,0.0,4.4693339667389864e-05,0.00012034963577278734
272,0.0,0.0,0.00018323899270356048,-0.0004417342767624177
273,0.0,0.0,-0.0002844623525180001,-0.0009682657834092501
274,0.0,0.0,-0.0007397318010069487,-0.001151574150871748
275,0.0,0.0,0.0007584318325870587,0.0008720680041252038
276,0.0,0.0,0.0009427492526449255,-0.0006792594953536346
277,0.0,0.0,0.00020907771556932797,-0.0004086321225387213
278,0.0,0.0,3.299985824933849e-05,-5.7154082345522994e-05
279,0.0,0.0,7.972674242251454e-05,-0.0003850518428664129
280,0.0,0.0,0.0006233015323211522,0.00021141300938010144
