scenario_id,hybrid_accuracy,hybrid_macro_f1,hybrid_mae_raw,hybrid_pearson_raw,hybrid_mae_calibrated,hybrid_pearson_calibrated,seed_2028_accuracy,seed_2028_macro_f1,seed_2028_mae_raw,seed_2028_pearson_raw,seed_2028_mae_calibrated,seed_2028_pearson_calibrated,modality_combination,missing_rate_percent
1,0.6153846153846154,0.6064348842826486,0.5758917820854829,0.6726321576557669,0.576145743597831,0.6693674878869041,0.6153846153846154,0.6064348842826486,0.5763514462940313,0.6722178743090633,0.5765690906248413,0.6693076011629276,A,10
2,0.6167582417582418,0.6075327312931064,0.5755713411780832,0.6729449992394542,0.5756300577858647,0.6696721076406053,0.6167582417582418,0.6075327312931064,0.5759041689459111,0.6725692235560783,0.5762339970751942,0.6696551990249221,A,10
3,0.6181318681318682,0.6091050583371315,0.5760600651235699,0.672730682560548,0.5760382268391795,0.6694415991167184,0.6181318681318682,0.6091050583371315,0.5764257156464098,0.6724628864336984,0.5765243756007199,0.6695344132775092,A,10
4,0.6195054945054945,0.6103710997171725,0.5760479029595524,0.672395137484801,0.5759662207401388,0.669132171746004,0.6195054945054945,0.6103710997171725,0.5765641512001282,0.6719586864740676,0.5765361543868432,0.6690530639430228,A,20
5,0.6167582417582418,0.6076612067178105,0.5754700203559229,0.6733110780959427,0.5753082469566511,0.6700143133134139,0.6167582417582418,0.6076612067178105,0.5760422356549527,0.6729102025179905,0.575886474153907,0.6699681661284539,A,20
6,0.6153846153846154,0.606291959638566,0.5754343675592771,0.6732735353971717,0.5755833980176476,0.67004976717639,0.6153846153846154,0.606291959638566,0.5759994043958384,0.6729007042329962,0.5760607226380444,0.6700185962102833,A,20
7,0.6181318681318682,0.6093928904671704,0.575894417265778,0.6726680005896566,0.5759641859818618,0.6692800756682253,0.6181318681318682,0.6093928904671704,0.5764299488043064,0.672273997372976,0.576728787586666,0.6692483102754283,A,30
8,0.6222527472527473,0.614315546887983,0.5758948548686701,0.6730910403975783,0.5757569686229412,0.6697590660524464,0.6222527472527473,0.614315546887983,0.5765341012073415,0.6726110697660909,0.5765477381786638,0.6696345780859279,A,30
9,0.6195054945054945,0.6103939403554904,0.5772204690623087,0.6716433334378347,0.5770642378937084,0.6683409239880338,0.6195054945054945,0.6103939403554904,0.5779639472059168,0.6711510339398796,0.5778234043963827,0.6681978302437975,A,30
10,0.6126373626373627,0.605371055467995,0.576222961097137,0.6732510898840891,0.5762126173490679,0.6698555531411199,0.6126373626373627,0.605371055467995,0.577152352104639,0.6725979135042685,0.5772348477271396,0.6695677115473682,A,40
11,0.6167582417582418,0.6091793540159426,0.5743746609519144,0.6730733569959455,0.5748113098292232,0.6697864795403952,0.6167582417582418,0.6091793540159426,0.5753685513736455,0.672593245157373,0.5757355218469933,0.6696563626542288,A,40
12,0.6153846153846154,0.6079299268302089,0.5761428617555034,0.671055349587991,0.5763149712103409,0.667752371572875,0.6153846153846154,0.6079299268302089,0.5767561111517332,0.6706303479071245,0.577099183781707,0.6676747143002353,A,40
13,0.6153846153846154,0.608469971191003,0.5752603874797677,0.6722545363918322,0.5756583474454644,0.6689192675547565,0.6153846153846154,0.608469971191003,0.576269291934895,0.6716580176923247,0.5766742725680981,0.6686801934100606,A,50
14,0.603021978021978,0.5970699419816315,0.5750525940946498,0.6724744537316958,0.5753987180625999,0.6691544875938485,0.603021978021978,0.5970699419816315,0.5760211708167424,0.6720011137540658,0.5764627282115948,0.6690348955649669,A,50
15,0.6112637362637363,0.6044295305448091,0.5773216145583889,0.6706861380858977,0.5769849563558679,0.6674723912147508,0.6112637362637363,0.6044295305448091,0.5783440406219318,0.670032911282871,0.5781788822385472,0.6671683902711253,A,50
16,0.6195054945054945,0.6097079306144982,0.5753832266594355,0.673094397075401,0.5754629660112189,0.6698955759843976,0.6195054945054945,0.6097079306144982,0.5755642179481604,0.6728026653317446,0.5759301081886823,0.6699520002706321,V,10
17,0.6195054945054945,0.6096896269481605,0.5755099893967202,0.6731220363612455,0.5757510546179591,0.6698521868188004,0.6195054945054945,0.6096896269481605,0.5756857111272249,0.6729266684027682,0.5761471358610543,0.6700129860324905,V,10
18,0.614010989010989,0.6042018156786135,0.5757863423039953,0.6729468866027501,0.5759649105097239,0.6697757429469746,0.614010989010989,0.6042018156786135,0.5760396966444594,0.6726599956374999,0.5763613267093078,0.669835367999737,V,10
19,0.6167582417582418,0.6075063373139501,0.5755915939521331,0.6725289037477145,0.5759750101758555,0.6693271838340479,0.6167582417582418,0.6075063373139501,0.5756462842103217,0.67241102364445,0.5762949727573073,0.6695672557012887,V,20
20,0.6167582417582418,0.6080930408612061,0.5744947174789159,0.6736194256694652,0.5747430500960284,0.6704393371141724,0.6167582417582418,0.6080930408612061,0.5745260875344604,0.6735918678796642,0.5749913699000583,0.6707655298961687,V,20
21,0.6153846153846154,0.6066995744817785,0.5761349311610172,0.6727028189006663,0.5762139479179631,0.6695191740963785,0.6153846153846154,0.6066995744817785,0.5763625751689567,0.6725174172533417,0.5765952356627191,0.6696889167414601,V,20
22,0.614010989010989,0.6048499994298164,0.5762138531799172,0.6719741081036243,0.5763084876544201,0.6687992828167456,0.614010989010989,0.6048499994298164,0.5762871809426572,0.6718400876722357,0.576556456844476,0.669008436938652,V,30
23,0.614010989010989,0.6051504007942329,0.5763663400046446,0.6724890181882371,0.576617635388656,0.6692864388929441,0.614010989010989,0.6051504007942329,0.5765833342345533,0.6723770725667636,0.5769618881070516,0.6695230447496058,V,30
24,0.6112637362637363,0.6020019813384426,0.5767406633144224,0.6721423704001814,0.5767653299660801,0.6689629806283058,0.6112637362637363,0.6020019813384426,0.5767703199820532,0.6721144187920394,0.5770097271368564,0.6692854144592817,V,30
25,0.6112637362637363,0.6031382974570382,0.5780014365133676,0.671684463265187,0.5780746270369698,0.6685353357209414,0.6112637362637363,0.6031382974570382,0.578044008525027,0.6717118766984608,0.5781808915627035,0.6689110067065506,V,40
26,0.6098901098901099,0.6016989083772556,0.5791441232334454,0.6708066319653885,0.5786139878238296,0.6676494711237095,0.6098901098901099,0.6016989083772556,0.5790017371035212,0.6708777317027255,0.5787087495021603,0.6680752537286836,V,40
