sample_index,sample_id,word_index,word,wordpiece_tokens,wordpiece_start,wordpiece_end,signed_cls_effect,classification_sensitivity,support_cls,regression_effect,combined_score,combined_score_w1,combined_score_w2,combined_score_w3
1,01,0,replacing,replacing,1,1,0.41552734375,0.41552734375,0.41552734375,0.10867514212926228,0.1120774740744431,0.2723653095494082,0.07741965949303714,0.06380926546637809
1,01,1,these,these,2,2,-0.271240234375,0.686279296875,0.20751953125,0.07402344172199567,0.0625792451353044,0.002573311362867447,0.08156521084774415,0.07693504189649658
1,01,2,wear,wear,3,3,-0.7321370442708334,0.9079182942708334,0.087890625,0.07791341096162796,0.04207942270407965,0.008617591074475404,0.016444032907759563,0.09108398571958135
1,01,3,components,components,4,4,-0.1446533203125,0.2517496744791667,0.053548177083333336,0.09005534773071608,0.03988241997816873,0.01741472633027016,0.034767153387815636,0.06011542551364876
1,01,4,when,when,5,5,-0.11979166666666667,0.36718749999999994,0.12369791666666667,0.09103191147247951,0.05299309097724988,0.015679242155899907,0.06002639186491418,0.06772039806215897
1,01,5,replacing,replacing,6,6,0.017089843750000007,0.20686848958333334,0.11197916666666667,0.06972657019893329,0.04373076046279702,0.015918616134595127,0.048704658564054384,0.05459462163204048
1,01,6,the,the,7,7,-0.49312337239583337,0.5338134765625,0.020345052083333332,0.05029296254118284,0.02053084935109749,0.011071206316463284,0.024827268195704567,0.02339098375427539
1,01,7,timing,timing,8,8,-0.5358479817708333,0.5358479817708333,0.0,0.05526528755823771,0.018486452793268354,0.027558342499108535,0.021142327020196465,0.009310820599599486
1,01,8,belt,belt,9,9,-0.4771728515625,0.4771728515625,0.0,0.07478840028246243,0.025017009634643917,0.0356672615859736,0.022132654719510928,0.01995906848677305
1,01,9,is,is,10,10,-0.5625,0.5625,0.0,0.07290851324796677,0.02438818013867396,0.027378807449321137,0.02678488781402794,0.01991521800958034
1,01,10,essential,essential,11,11,-0.78759765625,0.78759765625,0.0,0.05661619702974956,0.018938337245091138,0.023937753999268563,0.014463377509130638,0.019535185744675335
1,01,11,to,to,12,12,-0.7784830729166666,0.7784830729166666,0.0,0.03879393140474956,0.012976720347713,0.020227402540300875,0.00983417316645837,0.010655554441432416
1,01,12,ensuring,ensuring,13,13,-0.6841634114583333,0.709228515625,0.012532552083333334,0.028198232253392536,0.011716335592762478,0.009216035152745418,0.008912938751138945,0.016228795179429538
1,01,13,the,the,14,14,-0.2811686197916667,0.3389485677083333,0.028889973958333336,0.026692702124516167,0.014193687397771607,0.011968872433868304,0.005062926826979726,0.024423299833851123
1,01,14,new,new,15,15,-0.06644694010416666,0.12422688802083334,0.028889973958333336,0.0601888100306193,0.025398265260718027,0.035068826639235544,0.015058322341733724,0.02806285375559929
1,01,15,belt,belt,16,16,-0.187255859375,0.255615234375,0.0341796875,0.07392579192916553,0.030957330144932155,0.02746858867151277,0.020589591290927377,0.043415250449776774
1,01,16,performs,performs,17,17,-0.13798014322916666,0.3730061848958333,0.11751302083333333,0.09471029664079349,0.05309639687060018,0.02561340837626295,0.06379085600329802,0.05559704480056085
1,01,17,to,to,18,18,-0.015625000000000007,0.3271484375,0.15576171875,0.10244955743352573,0.06265560764291045,0.020706168760755234,0.06934129476128972,0.07960805124843759
1,01,18,its,its,19,19,0.2577311197916667,0.3807779947916667,0.3192545572916667,0.1253987761835257,0.10012695424635043,0.11396490117785268,0.08560720932928917,0.10645839496024445
1,01,19,mileage,mile ##age,20,21,0.7110188802083333,0.7110188802083333,0.7110188802083333,0.09347331896424294,0.1608424379592645,0.27345436730236455,0.18220777632050625,0.07981154239599099
1,01,20,requirements,requirements,22,22,0.14737955729166669,0.4828287760416667,0.3151041666666667,0.029622397075096764,0.06733302204215943,0.004129260487450308,0.11131728888448311,0.04936919804946918
2,02,0,we,we,1,1,0.7623494466145834,0.7623494466145834,0.7623494466145834,0.054199210057655975,0.022262785185706537,0.018424042930835202,0.03244394026787233,0.014920932628275211
2,02,1,want,want,2,2,1.4539896647135415,1.4539896647135415,1.4539896647135415,0.17939451709389687,0.04548239486380086,0.07471830989103448,0.04546890805077871,0.03344836831359824
2,02,2,to,to,3,3,0.5862019856770834,0.7024129231770834,0.6443074544270834,0.2769530924657981,0.02800311638827408,0.008140779299900754,0.026875548461826798,0.03886632970529879
2,02,3,live,live,4,4,1.385009765625,1.385009765625,1.385009765625,0.1463378556072712,0.04234898942632732,0.08093131108238555,0.02828599653628369,0.0383209169515586
2,02,4,by,by,5,5,1.1463317871093748,1.1463317871093748,1.1463317871093748,0.21487835546334583,0.03877769666830971,0.05347482579796893,0.03950483729819363,0.030306345408535634
2,02,5,each,each,6,6,0.37230428059895837,0.8347066243489584,0.6035054524739584,0.29744667932391167,0.027741451927218108,0.015599099902545403,0.030794067924410293,0.028667211128580075
2,02,6,other,other,7,7,-0.35050455729166663,0.6040852864583334,0.12679036458333334,0.3681315320233504,0.01797668501464094,0.017963344668913462,0.0154331810705408,0.018581771031617185
2,02,7,’,’,8,8,-1.5007731119791667,1.5007731119791667,0.0,0.6432291716337204,0.025566797557341436,0.03763283747563565,0.01722067188634415,0.02250254586892404
2,02,8,s,s,9,9,-1.9642740885416667,1.9642740885416667,0.0,0.7340169275800388,0.029175390387591052,0.01798771603539999,0.03220990083517907,0.036491617202427426
2,02,9,happiness,happiness,10,10,-3.513509114583333,3.513509114583333,0.0,1.5173176775376003,0.06030969303405522,0.06478502039193107,0.05785398248763222,0.058564414695384766
2,02,10,-,-,11,11,-2.5045572916666665,2.6276041666666665,0.0615234375,1.1378255312641463,0.04684860604059185,0.039533978860031994,0.049161864447900584,0.05043239268840574
2,02,11,not,not,12,12,-0.9608764648437499,1.8893025716145833,0.46421305338541663,0.6648937488595644,0.03867246377199478,0.020083846947268034,0.03860707650935556,0.050187428931698246
2,02,12,by,by,13,13,-0.18495686848958334,1.1133829752604167,0.46421305338541663,0.5211112176378568,0.03295745731684474,0.02837087025233052,0.03041732758426041,0.03405702394018638
2,02,13,each,each,14,14,-1.1668701171875,1.5504964192708335,0.19181315104166666,0.8014486332734426,0.036915094146489975,0.0344155232892581,0.031111705756744566,0.04195194440854454
2,02,14,other,other,15,15,-1.7927652994791667,1.7927652994791667,0.0,0.9964844137430191,0.03960783558759579,0.0406551621345415,0.04287643898746213,0.035543207938808566
2,02,15,’,’,16,16,-0.7646891276041667,2.525919596354167,0.880615234375,0.970117246111234,0.06178780065358379,0.036365411125743395,0.030071921877539952,0.10245689499903748
2,02,16,s,s,17,17,2.27685546875,3.878173828125,3.0775146484375,1.0671224345763524,0.12359115691191522,0.022082481235842277,0.15003763999787686,0.15469173664532512
2,02,17,misery,misery,18,18,6.0760498046875,6.0760498046875,6.0760498046875,1.3851888229449592,0.21532591221666275,0.35729600069181455,0.22058566897091086,0.1435775384265202
2,02,18,.,.,19,19,1.18359375,2.0517578125,1.61767578125,0.6032877812782923,0.06664867290105578,0.031539437986619116,0.08103932104888739,0.06643137908727371
3,03,0,there,there,1,1,-0.5005696614583334,0.5005696614583334,0.0,0.042879233757654824,0.004404824466691598,0.009905602844400683,0.0027948405594193705,0.00075449375115758
3,03,1,',',2,2,-0.7911376953125,0.7911376953125,0.0,0.07824706162015597,0.00803803009678685,0.009408768228352616,0.010950761141584055,0.0037823931160450284
3,03,2,s,s,3,3,-1.1483968098958333,1.1483968098958333,0.0,0.12218423932790756,0.012551533217162241,0.0181964979248112,0.015471177036360124,0.004189422161330798
3,03,3,one,one,4,4,-1.2718912760416667,1.2718912760416667,0.0,0.10434568921724954,0.01071904520159216,0.017854923534007396,0.009217813355896812,0.005390653002560852
3,03,4,lender,lend ##er,5,6,-1.256591796875,1.256591796875,0.0,0.07425128668546677,0.007627558974677071,0.007452488442641671,0.007315255328974082,0.008110800250830991
3,03,5,at,at,7,7,-1.0117594401041665,1.0117594401041665,0.0,0.08292642732461294,0.008518723960396527,0.00975034261915642,0.005884651146227439,0.009997033113902341
3,03,6,the,the,8,8,-0.7925211588541666,0.7925211588541666,0.0,0.06551107143362363,0.006729709115627367,0.009284561943423624,0.0018730603490510463,0.009182975780742104
3,03,7,moment,moment,9,9,-0.8650716145833333,0.8650716145833333,0.0,0.11622720335920651,0.011939589031494231,0.020960128038892686,0.00783145400212566,0.007435727891125919
3,03,8,which,which,10,10,-0.5882161458333333,0.6624348958333333,0.037109375,0.0994954283038775,0.018906510193445285,0.012948699468655425,0.010530429077599433,0.017794819197800564
3,03,9,i,i,11,11,-0.543701171875,0.6631673177083333,0.05973307291666667,0.09669594839215279,0.02391416811225415,0.013880260820121013,0.005973141929399777,0.02705215668436178
3,03,10,think,think,12,12,-0.05403645833333333,0.27018229166666663,0.10807291666666667,0.050846351931492485,0.030518495028785016,0.0006210409009770582,0.00796866194890385,0.040678909858773434
3,03,11,is,is,13,13,-0.20499674479166663,0.49666341145833337,0.14583333333333334,0.10565592100222905,0.04498697378110301,0.01276239004126194,0.006626548549329547,0.05779181508810703
3,03,12,just,just,14,14,-0.4253743489583333,0.6659342447916666,0.12027994791666667,0.11356606955329578,0.039818601589195715,0.015991800831076222,0.0021090350206963765,0.051209949701727236
3,03,13,bankwest,bank ##west,15,16,-1.3080444335937502,1.4577840169270835,0.07486979166666667,0.27523601055145264,0.04579778289384889,0.027108433906198773,0.027284729783897278,0.05158103215181582
3,03,14,who,who,17,17,-1.41192626953125,1.41192626953125,0.0,0.2655110793809096,0.027274967301064254,0.013942368700751561,0.039024536648923185,0.02819918236329252
3,03,15,don,don,18,18,-1.7442220052083333,1.8734537760416667,0.06461588541666667,0.361962911983331,0.052306915447536156,0.04853435209715636,0.03188625951062971,0.049932228364389306
3,03,16,',',19,19,-1.5916341145833333,1.7208658854166667,0.06461588541666667,0.29796549677848816,0.04573269861585155,0.02803999525766436,0.03536690673399343,0.04655686429363004
3,03,17,t,t,20,20,-1.6459554036458333,1.7751871744791667,0.06461588541666667,0.3371582093338172,0.04975882044805209,0.03536827978446007,0.03654678571832687,0.05028962046016344
3,03,18,take,take,21,21,-1.7970784505208333,1.7970784505208333,0.0,0.3297525954743226,0.033874259710647274,0.03586510966234208,0.030263923234770514,0.03561009215836828
3,03,19,rental,rental,22,22,-1.6256306966145833,1.6256306966145833,0.0,0.26227212573091185,0.026942241619336248,0.023506394785265415,0.03501294247608272,0.022088779580703984
3,03,20,income,income,23,23,-1.3964640299479167,1.6422322591145833,0.12288411458333333,0.2968465102215608,0.05925584451992394,0.03841137640871481,0.029305272896199958,0.05888015278850471
3,03,21,into,into,24,24,0.03881835937499997,0.6026204427083334,0.32071940104166663,0.1536987287302812,0.09085556636195742,0.00102471606516233,0.15699425652118584,0.08863228663171978
3,03,22,account,account,25,25,0.07584635416666666,0.5782877604166666,0.32706705729166663,0.1695271817346414,0.09396727885131351,0.0012420818019541163,0.16964095319440392,0.08926764867440425
3,03,23,",",",",26,26,-0.40034993489583337,0.6080322265624999,0.10384114583333333,0.08952432995041212,0.03350126390287303,0.002142591582187456,0.018413360483622854,0.043035183003933136
3,03,24,they,they,27,27,-0.9830729166666666,0.9830729166666666,0.0,0.07203774775067966,0.007400170339119093,0.009222454062793076,0.006843304860462065,0.006214639997857313
3,03,25,take,take,28,28,-1.2893066406249998,1.2893066406249998,0.0,0.1393228992819786,0.014312124115746632,0.01723388263303034,0.01483699102738588,0.010979859105047323
3,03,26,rental,rental,29,29,-1.52105712890625,1.52105712890625,0.0,0.18310545881589252,0.01880974388524489,0.022636941314430375,0.0229781633332254,0.010930221398124393
3,03,27,yield,yield,30,30,-1.20574951171875,1.26141357421875,0.02783203125,0.190283199151357,0.026061372212131954,0.02549372851129163,0.018804339246029495,0.022470765343270176
3,03,28,into,into,31,31,0.12418619791666666,0.27880859375,0.20149739583333331,0.12551269680261612,0.06005535805636599,0.5049993787790488,0.11526980947574154,0.05285131841095656
3,03,29,account,account,32,32,-0.11075846354166667,0.5039876302083334,0.19661458333333331,0.1129150427877903,0.05761839069360515,0.0032604647301295556,0.11373596510827605,0.05222588375817442
3,03,30,.,.,33,33,-0.11515299479166667,0.3072102864583333,0.09602864583333333,0.051839192708333336,0.02780143825617077,0.0029499442796410264,0.003244670301275678,0.03688309191717896
4,04,0,if,if,1,1,1.6835068066914876,1.6835068066914876,1.6835068066914876,0.7442789673805237,0.01876825018831997,0.035311411683751924,0.01494754510661097,0.009606549580937752
4,04,1,i,i,2,2,2.647543589274089,2.647543589274089,2.647543589274089,1.2368489305178325,0.030336863537459895,0.03286758974180366,0.034717072348472156,0.02421387945220928
4,04,2,blow,blow,3,3,3.023947397867839,3.023947397867839,3.023947397867839,1.4814941187699637,0.03550121613350667,0.028803572298300363,0.04010169030836443,0.036315445347859535
4,04,3,it,it,4,4,3.3943074544270835,3.3943074544270835,3.3943074544270835,1.641194651524226,0.039580165699597165,0.03880344549402953,0.03925596326248068,0.04052265008447739
