sample_index,sample_id,phi_T_cls,phi_A_cls,phi_V_cls,phi_T_reg,phi_A_reg,phi_V_reg,cls_efficiency_residual,reg_efficiency_residual
1,01,1.55517578125,-0.20550537109375,-0.09185791015625,-0.30332845052083335,-0.03050130208333336,-0.16148274739583332,0.0,0.0
2,02,2.173553466796875,0.232574462890625,0.8006591796875,-0.32364095052083336,-0.08518880208333335,-0.28257649739583335,0.0,0.0
3,03,2.0166015625,-0.053955078125,0.324462890625,-0.6187418619791667,-0.0038492838541666716,-0.05914713541666668,0.0,1.1102230246251565e-16
4,04,4.701334635416666,-1.2044270833333333,0.040934244791666664,-1.3302571614583334,0.5244303385416667,0.14982096354166666,4.440892098500626e-16,1.1102230246251565e-16
5,05,-0.83416748046875,0.10955810546875,0.7822265625,-0.32929687500000004,-0.062011718750000014,0.23701171875000002,0.0,2.7755575615628914e-17
6,06,1.050537109375,-0.28033447265625,-0.52166748046875,-0.028059895833333348,0.03776041666666669,-0.18587239583333331,0.0,0.0
7,07,0.566162109375,0.08447265625,-0.029541015625000003,0.023763020833333336,-0.05807291666666663,0.11712239583333336,0.0,0.0
8,08,0.361083984375,0.05529785156250001,-0.5428466796875,0.08841959635416669,0.0055948893229166696,-0.39225667317708335,0.0,0.0
9,09,5.881429036458333,-0.3165690104166667,0.4102376302083333,-2.3279296875,0.12304687500000003,-0.1419921875,8.881784197001252e-16,4.440892098500626e-16
10,10,6.0528564453125,-0.5186767578125,0.51318359375,-2.2823567708333337,0.20279947916666669,-0.1430989583333333,0.0,4.440892098500626e-16
11,11,5.699300130208333,-0.054117838541666664,0.3367513020833333,-1.7141927083333335,-0.0360677083333333,-0.18684895833333326,8.881784197001252e-16,2.220446049250313e-16
12,12,4.2852325439453125,-0.2314910888671875,1.085418701171875,-1.1624023437500002,0.07402343749999998,-0.56044921875,0.0,0.0
13,13,1.662353515625,0.059814453125,0.0,-0.31279296875000007,-0.10146484374999999,0.0,0.0,0.0
14,14,2.396062215169271,-0.41430155436197924,-1.0037333170572917,-0.6129557291666666,0.08787434895833333,0.1807454427083334,0.0,0.0
15,15,0.9809722900390625,0.713104248046875,0.018203735351562507,0.028776041666666682,0.25416666666666665,0.05104166666666669,0.0,5.551115123125783e-17
16,16,6.317626953125,-0.23486328125,0.359130859375,-2.285026041666667,0.014973958333333332,-0.11393229166666673,0.0,4.440892098500626e-16
17,17,2.6325887044270835,-0.2852579752604167,0.34480794270833337,0.6468098958333333,-0.1486979166666667,0.07532552083333333,4.440892098500626e-16,1.1102230246251565e-16
18,18,2.250895182291667,0.17093912760416666,0.5915934244791667,-0.69990234375,-0.085595703125,-0.285986328125,0.0,0.0
19,19,-0.2633514404296875,0.1234283447265625,0.417266845703125,-0.31178385416666676,0.021809895833333315,0.11497395833333335,0.0,5.551115123125783e-17
20,20,0.33396402994791674,0.6587320963541667,0.4479777018229167,-0.02936197916666666,0.2028645833333334,0.07141927083333333,2.220446049250313e-16,0.0
