sample_index,sample_id,baseline,modality,position,is_valid_non_special,TEXT_MISSING_OOD_CAUTION,signed_classification_score,absolute_classification_sensitivity,support_classification_score,regression_score,normalized_support_cls,normalized_regression,combined_score,combined_score_w1,combined_score_w3,combined_score_w5,natural_zero_modality
1,01,zero,A,1,True,False,-0.08772786458333333,0.08772786458333333,0.0,0.011679682930310652,0.0,0.03810129494551554,0.01905064747275777,0.038218778971373664,0.01809144812560749,0.008386818974774352,False
1,01,zero,A,2,True,False,-0.10944010416666666,0.10944010416666666,0.0,0.019114577174186825,0.0,0.06235530082605937,0.031177650413029685,0.055049076382986076,0.034923784195403096,0.012580227156317257,False
1,01,zero,A,3,True,False,-0.10667317708333333,0.10667317708333333,0.0,0.01453124225139633,0.0,0.04740361106108065,0.023701805530540326,0.01612901361863248,0.03757454237342285,0.013393232759642966,False
1,01,zero,A,4,True,False,-0.0966796875,0.0966796875,0.0,0.013105462392171342,0.0,0.04275245235516003,0.021376226177580015,0.031206155049868508,0.021471169959628836,0.015275986014303229,False
1,01,zero,A,5,True,False,-0.0740234375,0.0779296875,0.001953125,0.011048178076744061,0.031496062992125984,0.036041208825983766,0.03376863590905488,0.06446606519328628,0.010271707657944227,0.019811713444273196,False
1,01,zero,A,6,True,False,-0.08417968749999999,0.08906249999999999,0.00244140625,0.008388672868410734,0.03937007874015748,0.027365408895758454,0.03336774381795797,0.05025297768089071,0.011530819713756107,0.02092425100166114,False
1,01,zero,A,7,True,False,-0.14638671874999998,0.14638671874999998,0.0,0.011959628462791588,0.0,0.039014529265777344,0.019507264632888672,0.010869545677503612,0.022929089182147862,0.021095410625874673,False
1,01,zero,A,8,True,False,-0.19527994791666667,0.19527994791666667,0.0,0.016406241059303456,0.0,0.05352020540947358,0.02676010270473679,0.02103785036368601,0.032405556039037275,0.024176283861718197,False
1,01,zero,A,9,True,False,-0.21741536458333333,0.21741536458333333,0.0,0.020091136892636793,0.0,0.06554102000067931,0.032770510000339655,0.04698455887325511,0.031742865483346816,0.025203241606999372,False
1,01,zero,A,10,True,False,-0.15638020833333333,0.15638020833333333,0.0,0.013076166113217795,0.0,0.04265688245211768,0.02132844122605884,0.01612901361863248,0.023459241626700218,0.022207953406639714,False
1,01,zero,A,11,True,False,-0.10065104166666665,0.10065104166666665,0.0,0.013896487752596472,0.0,0.04533292399525266,0.02266646199762633,0.0448808144984624,0.015308155881191726,0.017030379997557576,False
1,01,zero,A,12,True,False,-0.045540364583333326,0.06018880208333333,0.00732421875,0.00736002345879878,0.11811023622047244,0.02400976347413115,0.0710599998473018,0.13498044361596778,0.015374424936760767,0.015062044319101995,False
1,01,zero,A,13,True,False,-0.04527994791666666,0.04527994791666666,0.0,0.00678384959697733,0.0,0.022130177326104453,0.011065088663052227,0.005610077736374745,0.011597080679840971,0.01382113704355391,False
1,01,zero,A,14,True,False,-0.05260416666666666,0.05260416666666666,0.0,0.006487624843915405,0.0,0.021163837164824516,0.010581918582412258,0.012272070461804565,0.008084812645197361,0.012237915742955874,False
1,01,zero,A,15,True,False,-0.05266927083333333,0.05266927083333333,0.0,0.006806641221046442,0.0,0.022204527836826877,0.011102263918413438,0.007012645322334616,0.00675943153381644,0.018271292496482763,False
1,01,zero,A,16,True,False,-0.04580078125,0.046191406250000004,0.0001953125,0.009824215372403524,0.003149606299212599,0.03204841516209367,0.017599010730653133,0.01928469438330972,0.007355861123422018,0.035863291316835244,False
1,01,zero,A,17,True,False,-0.0126953125,0.025911458333333335,0.0066080729166666675,0.01265950500965119,0.10656167979002626,0.04129765654726745,0.07392966816864685,0.0028050281677726428,0.11136815959879512,0.13500215098673232,False
1,01,zero,A,18,True,False,0.019596354166666666,0.028776041666666665,0.024186197916666666,0.023528654774029878,0.3900262467191601,0.07675484176801028,0.23339054424358519,0.27945304187115105,0.2005964352522445,0.14860934633508496,False
1,01,zero,A,19,True,False,0.008300781250000002,0.01663411458333333,0.012467447916666667,0.02893881042798345,0.2010498687664042,0.09440377432057838,0.1477268215434913,0.07849131303629658,0.21630220142210843,0.14728285663574156,False
1,01,zero,A,20,True,False,-0.012825520833333333,0.02376302083333333,0.00546875,0.024475919206937008,0.08818897637795275,0.07984499428027811,0.08401698532911543,0.02559609871432322,0.12097115731576452,0.13970904065260437,False
1,01,zero,A,21,True,False,-0.018391927083333332,0.02112630208333333,0.0013671875,0.017737636367479843,0.02204724409448819,0.05786346418015965,0.039955354137323915,0.025245467518247983,0.029754814039985845,0.11779525870917171,False
1,01,zero,A,22,True,False,-0.030826822916666663,0.030826822916666663,0.0,0.008642582694689349,0.0,0.02819370990686722,0.01409685495343361,0.014025269243839773,0.012127241213877506,0.01626016691197379,False
2,02,zero,A,1,True,False,-0.0130859375,0.01474609375,0.000830078125,0.006041654845078864,0.0007569011576135353,0.008931858506730778,0.004844379832172157,0.007987157212348937,0.007811409382943224,0.0019915703114453047,False
