sample_index,sample_id,baseline,modality,position,is_valid_non_special,TEXT_MISSING_OOD_CAUTION,signed_classification_score,absolute_classification_sensitivity,support_classification_score,regression_score,normalized_support_cls,normalized_regression,combined_score,combined_score_w1,combined_score_w3,combined_score_w5,natural_zero_modality
1,01,zero,V,1,True,False,0.02483723958333333,0.02483723958333333,0.02483723958333333,0.029401046236356018,0.0935049019607843,0.025613975375165635,0.059559438667974966,0.11783074632817486,0.042308906089975395,0.04640830396071788,False
1,01,zero,V,2,True,False,0.027050781250000003,0.027050781250000003,0.027050781250000003,0.05061198532581318,0.10183823529411766,0.04409278960354088,0.07296551244882926,0.05321505915196774,0.0949051337473181,0.0672962118100324,False
1,01,zero,V,3,True,False,0.04202473958333334,0.04202473958333334,0.04202473958333334,0.06832357545693701,0.1582107843137255,0.05952299674061383,0.10886689052716966,0.09328090682104473,0.13493211444437622,0.09033899384830027,False
1,01,zero,V,4,True,False,0.04944661458333334,0.04944661458333334,0.04944661458333334,0.07699870626131679,0.18615196078431376,0.06708070693274149,0.1266163338585276,0.17786592774927842,0.11281609529216452,0.10752803548617806,False
1,01,zero,V,5,True,False,0.0125,0.029427083333333333,0.02096354166666667,0.0793587328990299,0.07892156862745099,0.0691367447926585,0.07402915671005475,0.029249265922145273,0.06982404667223488,0.11379039534308985,False
1,01,zero,V,6,True,False,-0.001367187499999999,0.018684895833333333,0.008658854166666667,0.07128256102402988,0.03259803921568628,0.062100843217290126,0.0473494412164882,0.019987001520820048,0.040400125630696906,0.07341373273676853,False
1,01,zero,V,7,True,False,-0.0039713541666666664,0.01848958333333333,0.0072591145833333336,0.07028972248236322,0.02732843137254902,0.06123588957743227,0.044282160474990645,0.04952593355671863,0.029168460219981814,0.0587222651722186,False
1,01,zero,V,8,True,False,-0.010611979166666667,0.015364583333333334,0.0023763020833333336,0.06739258706569654,0.00894607843137255,0.058711926497191286,0.033829002464281915,0.0292975452607642,0.02842504059862292,0.041793523953531295,False
1,01,zero,V,9,True,False,-0.02392578125,0.02548828125,0.00078125,0.06462240477402988,0.0029411764705882353,0.0562985640463092,0.02961987025844872,0.019987001520820048,0.026984126692140287,0.03598410530927542,False
1,01,zero,V,10,True,False,-0.00341796875,0.018977864583333334,0.007779947916666666,0.06843750894069656,0.029289215686274506,0.05962225475422204,0.044455735220248274,0.04276704434519419,0.03693274732804517,0.0549802033287559,False
1,01,zero,V,11,True,False,0.004589843749999999,0.01845703125,0.0115234375,0.07013672769069654,0.043382352941176476,0.06110260163948695,0.05224247729033171,0.029574257655525085,0.062550589135469,0.05484836418446148,False
1,01,zero,V,12,True,False,0.018977864583333334,0.030110677083333332,0.024544270833333333,0.0685221443573632,0.09240196078431373,0.059695988507127935,0.07604897464572083,0.07802395320302569,0.08908407162628565,0.05359589231366439,False
1,01,zero,V,13,True,False,0.010709635416666667,0.04293619791666666,0.026822916666666665,0.06639649331569655,0.10098039215686273,0.05784413694376014,0.07941226455031143,0.11583251658927692,0.07841212379122076,0.051733664400505586,False
1,01,zero,V,14,True,False,-0.03310546875,0.05621744791666666,0.011555989583333332,0.05541993081569656,0.04350490196078431,0.04828143637457751,0.04589316916768091,0.04021538981677448,0.049418755054383576,0.043682980303244426,False
1,01,zero,V,15,True,False,-0.09973958333333333,0.09973958333333333,0.0,0.04477539956569655,0.0,0.03900799898987193,0.019503999494935965,0.013974654453293184,0.018143460924629113,0.02183586078839691,False
1,01,zero,V,16,True,False,-0.14000651041666667,0.14000651041666667,0.0,0.038118498524029876,0.0,0.033208555732464305,0.016604277866232153,0.011862208186324259,0.014567009773226863,0.019199077902508323,False
1,01,zero,V,17,True,False,-0.16832682291666667,0.16832682291666667,0.0,0.03683269123236321,0.0,0.03208836987100905,0.016044184935504524,0.013487166853223417,0.015029135483801316,0.017386289668459926,False
1,01,zero,V,18,True,False,-0.16643880208333334,0.16643880208333334,0.0,0.03629232664902988,0.0,0.03161760821784051,0.015808804108920254,0.01413715031998309,0.01595338690495021,0.016133817797662847,False
1,01,zero,V,19,True,False,-0.11803385416666666,0.11803385416666666,0.0,0.03456055521965011,0.0,0.030108901677571263,0.015054450838785632,0.021611960187719204,0.015913202060552432,0.012804878901302092,False
1,01,zero,V,20,True,False,-0.09322916666666667,0.09322916666666667,0.0,0.024104825456937012,0.0,0.02099994676084608,0.01049997338042304,0.0076373156523864595,0.013180632641503523,0.009393540539757324,False
1,01,zero,V,21,True,False,-0.060546875,0.060546875,0.0,0.016298834284146517,0.0,0.014199424627338593,0.0070997123136692965,0.008937282585905804,0.007836047110254936,0.006130521215543788,False
1,01,zero,V,22,True,False,-0.033040364583333336,0.033040364583333336,0.0,0.009674483736356012,0.0,0.008428339120940617,0.004214169560470308,0.011699712319634353,0.0032147887781663518,0.002999341035624679,False
2,02,zero,V,1,True,False,0.08810221354166667,0.08810221354166667,0.08810221354166667,0.030022802452246252,0.02036148883748048,0.02026454332095303,0.020313016079216754,0.05165323794587022,0.020139740407777197,0.012617255594097345,False
2,02,zero,V,2,True,False,0.14612630208333333,0.14612630208333333,0.14612630208333333,0.05139650593201305,0.033771558614982405,0.03469118922730589,0.03423137392114414,0.057430962288472366,0.03834728518945262,0.02568020799582218,False
2,02,zero,V,3,True,False,0.19257812500000002,0.19257812500000002,0.19257812500000002,0.0727246364951132,0.04450713761778479,0.04908707470263227,0.04679710616020853,0.05333422812870249,0.05628148824575763,0.038912327561728494,False
2,02,zero,V,4,True,False,0.21642252604166667,0.21642252604166667,0.21642252604166667,0.07836265941460907,0.05001786755440199,0.05289258086343713,0.051455224208919556,0.03724861413073773,0.05483404498886517,0.052682480390178595,False
2,02,zero,V,5,True,False,0.2601236979166667,0.2601236979166667,0.2601236979166667,0.09626305212577164,0.06011773777953318,0.06497484014400892,0.06254628896177106,0.055649531225268487,0.0585217012758194,0.06700769089960809,False
2,02,zero,V,6,True,False,0.27639973958333336,0.27639973958333336,0.27639973958333336,0.09943362504243831,0.06387932817995448,0.06711488727399378,0.06549710772697413,0.05877828245045327,0.06357778475822953,0.06849214975219547,False
