scenario,scenario_id,accuracy_q2b,macro_f1_q2b,weighted_f1_q2b,mae_q2b,pearson_q2b,recall_negative_q2b,recall_neutral_q2b,recall_positive_q2b,mae_negative_q2b,mae_neutral_q2b,mae_positive_q2b,modality_combination,missing_rate_percent,position,accuracy_r1,macro_f1_r1,weighted_f1_r1,mae_r1,pearson_r1,recall_negative_r1,recall_neutral_r1,recall_positive_r1,mae_negative_r1,mae_neutral_r1,mae_positive_r1,accuracy_gain,macro_f1_gain,weighted_f1_gain,pearson_gain,mae_reduction
T+A_50_Tail,60,0.5480769230769231,0.5400502853809747,0.5597976772940046,0.6388115882873535,0.5761065836124589,0.4174757281553398,0.6413043478260869,0.5769230769230769,1.0044232606887815,0.3222613036632538,0.5883064270019531,T+A,50,Tail,0.5206043956043956,0.5257032709058295,0.532217408188319,0.6510680317878723,0.5527297794567115,0.5533980582524272,0.6413043478260869,0.4349112426035503,0.8439905643463135,0.30961713194847107,0.7193666100502014,-0.027472527472527486,-0.014347014475145192,-0.027580269105685673,-0.023376804155747388,-0.012256443500518799
T+V_10_Head,61,0.6208791208791209,0.6083735622924346,0.6267112078702498,0.5903956890106201,0.6489724545369772,0.6650485436893204,0.5380434782608695,0.6390532544378699,0.7974789142608643,0.3991505205631256,0.5682950615882874,T+V,10,Head,0.6043956043956044,0.600591290326321,0.613682415980416,0.5758810043334961,0.6701771298236697,0.6699029126213593,0.5978260869565217,0.5680473372781065,0.6878835558891296,0.34261831641197205,0.6346023082733154,-0.016483516483516536,-0.007782271966113585,-0.013028791889833857,0.021204675286692565,0.014514684677124023
T+V_10_Middle,62,0.6195054945054945,0.6081984703993957,0.6269558203575294,0.5964681506156921,0.6424802005225633,0.6262135922330098,0.5760869565217391,0.6390532544378699,0.8149036765098572,0.4012231826782226,0.5696260333061218,T+V,10,Middle,0.603021978021978,0.5978298873035716,0.6117084274979012,0.5802583694458008,0.6632487270523139,0.6553398058252428,0.592391304347826,0.5769230769230769,0.7175701856613159,0.34561827778816223,0.6243044137954712,-0.016483516483516536,-0.010368583095824113,-0.015247392859628173,0.020768526529750586,0.016209781169891357
T+V_10_Tail,63,0.6277472527472527,0.61390217382721,0.6328757607403308,0.5958696007728577,0.6430260009249992,0.6601941747572816,0.5380434782608695,0.6568047337278107,0.8110476136207581,0.4101186692714691,0.5658444762229919,T+V,10,Tail,0.6126373626373627,0.6045114217550451,0.6198181360227855,0.5858489871025085,0.6579065692753688,0.6941747572815534,0.5489130434782609,0.5976331360946746,0.7056003212928772,0.36833518743515015,0.6312742829322815,-0.015109890109890056,-0.009390752072164887,-0.013057624717545346,0.01488056835036966,0.010020613670349121
T+V_20_Head,64,0.6181318681318682,0.6045433016878407,0.6252094760834,0.6012282371520996,0.6415289150699589,0.616504854368932,0.5489130434782609,0.6568047337278107,0.8418840765953064,0.4048126935958862,0.5614808201789856,T+V,20,Head,0.5975274725274725,0.5961590406330747,0.609481157356658,0.5847739577293396,0.6552279097804125,0.6213592233009708,0.657608695652174,0.5502958579881657,0.7083942294120789,0.3189783990383148,0.654124915599823,-0.020604395604395642,-0.008384261054765973,-0.015728318726742074,0.01369899471045355,0.01645427942276001
T+V_20_Middle,65,0.6195054945054945,0.6089841909067003,0.6268300147616799,0.6040748953819275,0.6289661824116047,0.5922330097087378,0.6032608695652174,0.6449704142011834,0.8731411099433899,0.4022905230522156,0.5499349236488342,T+V,20,Middle,0.6085164835164835,0.6059802215302684,0.6185900163647696,0.5899295210838318,0.6420707461564978,0.6359223300970874,0.6630434782608695,0.5621301775147929,0.7401084303855896,0.3201334476470947,0.6452715992927551,-0.010989010989011061,-0.003003969376431881,-0.008239998396910253,0.013104563744893105,0.014145374298095703
T+V_20_Tail,66,0.6126373626373627,0.5987862118448982,0.6188162460876144,0.6065039038658142,0.6415036874165301,0.6019417475728155,0.532608695652174,0.6627218934911243,0.8688274025917053,0.4131662249565124,0.551875114440918,T+V,20,Tail,0.5934065934065934,0.5883018869269053,0.6014936672809533,0.5947335958480835,0.6500234183398492,0.6796116504854369,0.5543478260869565,0.5621301775147929,0.6972169876098633,0.3492704927921295,0.6658981442451477,-0.019230769230769273,-0.010484324917992893,-0.017322578806661104,0.008519730923319146,0.011770308017730713
T+V_30_Head,67,0.6153846153846154,0.5986101412738795,0.6218105792132105,0.6171642541885376,0.6216718622864953,0.5339805825242718,0.5760869565217391,0.6863905325443787,0.9117262959480286,0.4059936702251434,0.5525950789451599,T+V,30,Head,0.5947802197802198,0.5950512031297194,0.6067781725480353,0.6012284755706787,0.626140379668864,0.6067961165048543,0.7010869565217391,0.5295857988165681,0.7468532919883728,0.29390430450439453,0.6797757148742676,-0.020604395604395642,-0.0035589381441600842,-0.015032406665175135,0.004468517382368753,0.015935778617858887
T+V_30_Middle,68,0.5947802197802198,0.5801136011490805,0.6025230158777337,0.6128932237625122,0.6230217316293615,0.5,0.592391304347826,0.6538461538461539,0.9177860617637634,0.4114427864551544,0.536736249923706,T+V,30,Middle,0.5824175824175825,0.5846989760480383,0.5931261989338215,0.5970023274421692,0.6320890676752771,0.6262135922330098,0.6793478260869565,0.5029585798816568,0.7464075088500977,0.2975330054759979,0.6689693927764893,-0.012362637362637319,0.004585374898957828,-0.009396816943912256,0.009067336045915586,0.015890896320343018
T+V_30_Tail,69,0.6016483516483516,0.5831387736199178,0.6083902845287071,0.617057740688324,0.6381281435278204,0.5,0.5434782608695652,0.6952662721893491,0.9394765496253968,0.4064956605434418,0.5351794958114624,T+V,30,Tail,0.5755494505494505,0.575782615923461,0.5851569287047541,0.597688615322113,0.6397792295308212,0.6650485436893204,0.592391304347826,0.5118343195266272,0.7094357013702393,0.3209557831287384,0.6802297830581665,-0.026098901098901117,-0.007356157696456811,-0.023233355823953028,0.0016510860030007901,0.019369125366210938
T+V_40_Head,70,0.6043956043956044,0.5841386262353198,0.608685807317772,0.629137396812439,0.6105971069685671,0.4660194174757281,0.5869565217391305,0.6982248520710059,0.976693034172058,0.4046456813812256,0.5395220518112183,T+V,40,Head,0.5755494505494505,0.5789283901231663,0.5867527778154874,0.6154975891113281,0.6036304556038495,0.5679611650485437,0.7445652173913043,0.4881656804733728,0.770005464553833,0.27263951301574707,0.7079747915267944,-0.028846153846153855,-0.005210236112153432,-0.021933029502284596,-0.006966651364717524,0.01363980770111084
