split,accuracy,macro_f1,weighted_f1,mae,pearson,recall_negative,recall_neutral,recall_positive,f1_negative,f1_neutral,f1_positive,mae_negative,mae_neutral,mae_positive,composite_score,task_loss,weight_text,missing_region_weight_text,weight_audio,missing_region_weight_audio,weight_vision,missing_region_weight_vision
valid,0.6195054945054945,0.6098124098124097,0.62647471576043,0.5765798091888428,0.6722288750072771,0.6699029126213593,0.5597826086956522,0.621301775147929,0.6571428571428571,0.49047619047619045,0.6818181818181818,0.7027634382247925,0.3895670771598816,0.6014807224273682,0.6773383773988917,1.2666463327931834,0.5217384156531624,,0.24289681170666091,,0.23536477182104476,
test,0.6698762035763411,0.6476821466045255,0.6789729723922446,0.6163750886917114,0.6832480625468479,0.7198067632850241,0.569620253164557,0.6850828729281768,0.7078384798099763,0.4904632152588556,0.7447447447447447,0.79448401927948,0.41755926609039307,0.6013041138648987,0.6988370124576193,1.2676818010075712,0.5225145653638152,,0.24096515506963362,,0.23652028123335858,
