modality_combination,accuracy_gain,macro_f1_gain,weighted_f1_gain,pearson_gain,mae_reduction
A,0.011263736263736305,0.008452622059635343,0.011686417396484032,0.022186056219264328,0.007960359255472818
A+V,0.010256410256410286,0.00762547878712773,0.00907416241529219,0.016854793216007677,0.007676446437835693
V,-0.0035714285714285514,-0.0018324635363725418,-0.0037304389148390773,0.021662995319458974,0.013795598347981771
