scenario_id,scenario,modality_combination,missing_rate_percent,missing_rate_target,position,runtime_seconds,accuracy_r1,macro_f1_r1,weighted_f1,mae_r1,pearson_r1,recall_negative,recall_neutral,recall_positive,f1_negative,f1_neutral,f1_positive,mae_negative,mae_neutral,mae_positive,composite_score,task_loss,weight_text,missing_region_weight_text,weight_audio,missing_region_weight_audio,weight_vision,missing_region_weight_vision,accuracy_q2d_v1,macro_f1_q2d_v1,mae_q2d_v1,pearson_q2d_v1,accuracy_gain_vs_v1,macro_f1_gain_vs_v1,mae_reduction_vs_v1,pearson_gain_vs_v1
1,T_10_Head,T,10,0.1,Head,0.46135950088500977,0.6112637362637363,0.6060462589630048,0.620649681426248,0.5761399269104004,0.6698592629618324,0.6650485436893204,0.5978260869565217,0.5857988165680473,0.657074340527578,0.49327354260089684,0.6677908937605397,0.701421320438385,0.34924519062042236,0.6233018040657043,0.6737806539712767,1.2548021575906774,0.5073852260557653,0.43419287793307126,0.2501564378105624,,0.24245834186759557,,0.6085164835164835,0.6046519259715569,0.6098181009292603,0.6514983005812958,0.0027472527472528485,0.0013943329914478664,0.03367817401885986,0.01836096238053664
2,T_10_Middle,T,10,0.1,Middle,0.4613199234008789,0.6126373626373627,0.6061125337086296,0.6208417275335119,0.5827000141143799,0.6617491392321171,0.6699029126213593,0.5869565217391305,0.591715976331361,0.6540284360189573,0.4954128440366973,0.6688963210702341,0.7168588042259216,0.3537374436855316,0.625576913356781,0.6715664243849957,1.2637310840271332,0.5070565133384556,0.4255782390738132,0.25028610147578995,,0.24265737781356736,,0.6153846153846154,0.6128386146424862,0.6082765460014343,0.6423893476937027,-0.0027472527472527375,-0.006726080933856626,0.025576531887054443,0.019359791538414384
3,T_10_Tail,T,10,0.1,Tail,0.46200084686279297,0.6153846153846154,0.6071893942589365,0.6225479873019597,0.5846772789955139,0.6585856982883123,0.6941747572815534,0.5543478260869565,0.6005917159763313,0.6682242990654206,0.48226950354609927,0.6710743801652893,0.7114431262016296,0.3641020655632019,0.6274939775466919,0.6715668204000066,1.272619868372823,0.5132977070152082,0.44283685225323155,0.24703675102772876,,0.23966554932925024,,0.6057692307692307,0.6032134620389096,0.617245614528656,0.6409819230878532,0.009615384615384692,0.003975932220026901,0.03256833553314209,0.017603775200459082
4,T_20_Head,T,20,0.2,Head,0.4596877098083496,0.5989010989010989,0.5969658139469459,0.6101145370013294,0.5847445130348206,0.6564974554421799,0.6262135922330098,0.6521739130434783,0.5532544378698225,0.6339066339066339,0.5031446540880503,0.6538461538461539,0.7286907434463501,0.3322574198246002,0.6344625353813171,0.6643623826529877,1.2674785931031782,0.49526790285509803,0.4223716613279289,0.2563653626051844,,0.24836672716753047,,0.6112637362637363,0.6077772449560118,0.6171684861183167,0.6383601068111846,-0.01236263736263743,-0.010811431009065897,0.032423973083496094,0.018137348630995254
5,T_20_Middle,T,20,0.2,Middle,0.4601461887359619,0.5975274725274725,0.5936734996371578,0.6083954390525592,0.5925870537757874,0.6405041907948006,0.6359223300970874,0.625,0.5591715976331361,0.6267942583732058,0.4956896551724138,0.6585365853658537,0.7399669885635376,0.3326807916164398,0.64425128698349,0.6585440362585422,1.283714730660994,0.49468068193923465,0.4217100590267973,0.25654999493579894,,0.24876932230583454,,0.6071428571428571,0.6062231792111109,0.6162890791893005,0.6262143332947353,-0.009615384615384581,-0.012549679573953143,0.023702025413513184,0.014289857500065284
6,T_20_Tail,T,20,0.2,Tail,0.4586923122406006,0.5961538461538461,0.5901044670652514,0.603828900516037,0.5933930277824402,0.6512448142516473,0.6844660194174758,0.5489130434782609,0.5680473372781065,0.6573426573426573,0.4675925925925926,0.6453781512605042,0.7054036259651184,0.3489842712879181,0.6581771373748779,0.6599263628858162,1.2815740265689053,0.5012288616787397,0.4346009158705133,0.25308776603176125,,0.2456833763851586,,0.5865384615384616,0.5852811777463947,0.6193830966949463,0.641916474243867,0.009615384615384581,0.004823289318856783,0.025990068912506104,0.009328340007780267
7,T_30_Head,T,30,0.3,Head,0.45719265937805176,0.592032967032967,0.5925312288385899,0.6039765455379694,0.6000410914421082,0.6298770072102461,0.616504854368932,0.6739130434782609,0.5325443786982249,0.635,0.5020242914979757,0.6405693950177936,0.7737587690353394,0.31046783924102783,0.6518033146858215,0.6536068764836084,1.2923155721727309,0.48237012224645864,0.4164777560957271,0.2629306884136532,,0.2546991778720416,,0.5975274725274725,0.5943284571866885,0.6304464936256409,0.6182552774483939,-0.005494505494505475,-0.0017972283480985896,0.030405402183532715,0.011621729761852162
8,T_30_Middle,T,30,0.3,Middle,0.4649968147277832,0.592032967032967,0.5931868294479113,0.6030552234665987,0.5997918248176575,0.6293222839426075,0.6310679611650486,0.6793478260869565,0.5207100591715976,0.6403940886699507,0.5060728744939271,0.6330935251798561,0.7479738593101501,0.3147391378879547,0.664656400680542,0.6536528680377334,1.2999843804390876,0.48127202678448605,0.41839422573700796,0.26331844661582404,,0.2554095265996899,,0.5906593406593407,0.5912310386919027,0.6228823065757751,0.6125354345955539,0.0013736263736263687,0.001955790756008602,0.023090481758117676,0.016786849347053545
9,T_30_Tail,T,30,0.3,Tail,0.46008801460266113,0.5769230769230769,0.5759590593713817,0.5865150985327018,0.5964019298553467,0.6406128222780971,0.6650485436893204,0.5815217391304348,0.5207100591715976,0.6492890995260664,0.46320346320346323,0.6153846153846154,0.7213186621665955,0.32358628511428833,0.6687842607498169,0.64867357882186,1.2908418506056398,0.48813092455168716,0.42952462989917267,0.259638095173376,,0.25223098191320065,,0.5769230769230769,0.5753163682693884,0.6214076280593872,0.6379244190452973,0.0,0.0006426911019933312,0.025005698204040527,0.002688403232799841
10,T_40_Head,T,40,0.4,Head,0.4626340866088867,0.5906593406593407,0.5923569788548692,0.6019416336845743,0.6133733987808228,0.6091985305863948,0.5922330097087378,0.7228260869565217,0.5177514792899408,0.6256410256410256,0.5185185185185185,0.6329113924050633,0.8030503392219543,0.2961328327655792,0.6704704761505127,0.6469392626267493,1.3151146527175064,0.46913151887447657,0.4121820726838431,0.26963590065348114,,0.26123257637638275,,0.5934065934065934,0.5903116516149921,0.6370858550071716,0.60264228799376,-0.0027472527472527375,0.0020453272398770483,0.023712456226348877,0.0065562425926348755
