main_modality,ratio,n,TopComp_cls_mean,RandomComp_cls_mean,GainComp_cls_mean,TopComp_reg_mean,RandomComp_reg_mean,GainComp_reg_mean
A,0.1,33,0.17640824912263262,0.11731558295904354,0.05909266616358902,0.06628196022727273,0.04688358191287879,0.01939837831439394
A,0.2,33,0.2997279327755682,0.20054853195584754,0.09917940081972064,0.10819128787878787,0.0780414003314394,0.030149887547348483
A,0.3,33,0.39238854771401516,0.27617460469495736,0.11621394301905776,0.13943536931818182,0.10417095762310606,0.03526441169507577
T,0.1,573,1.5991880205950806,0.3876057142191944,1.2115823063758864,0.4843400874527832,0.18659816277234526,0.29774192468043786
T,0.2,573,1.8483305259146194,0.5393978381901715,1.308932687724448,0.5482499623633791,0.2325776078162819,0.3156723545470972
T,0.3,573,1.8973149336690878,0.7171728140017953,1.1801421196672928,0.559755891631398,0.2860332938755276,0.2737225977558705
V,0.1,122,0.06490600995049949,0.02908601826028592,0.03581999169021357,0.047197173071689295,0.034588919037678204,0.012608254034011095
V,0.2,122,0.10447267534976946,0.055162159992923926,0.049310515356845545,0.07926555696080943,0.06139849350100658,0.017867063459802848
V,0.3,122,0.144617048508709,0.08339477510422803,0.061222273404480984,0.10923251793032787,0.08825690660320344,0.020975611327124423
