sample_index,sample_id,main_modality,comparison,top_interval_overlap_iou,top20_jaccard,rank_spearman,baseline_agreement,multiscale_stability_threshold,sample_multiscale_stable,explanation_stability
269,BSKAHXFYF_I$_$8,V,w3_vs_w5,0.6,0.6,0.9147058823529413,False,0.4094276094276094,False,Low
269,BSKAHXFYF_I$_$8,V,w1_vs_w5,0.25,0.14285714285714285,0.6205882352941177,False,0.4094276094276094,False,Low
270,Baz0VVQ-E9E$_$10,T,w1_vs_w2,0.6666666666666666,0.3333333333333333,0.39999999999999997,True,0.4094276094276094,True,High
270,Baz0VVQ-E9E$_$10,T,w2_vs_w3,1.0,1.0,0.7833333333333333,True,0.4094276094276094,True,High
270,Baz0VVQ-E9E$_$10,T,w1_vs_w3,0.6666666666666666,0.3333333333333333,0.3666666666666667,True,0.4094276094276094,True,High
271,Baz0VVQ-E9E$_$1,T,w1_vs_w2,0.0,0.5,0.1398601398601399,False,0.4094276094276094,False,Low
271,Baz0VVQ-E9E$_$1,T,w2_vs_w3,0.0,0.2,0.11188811188811189,False,0.4094276094276094,False,Low
271,Baz0VVQ-E9E$_$1,T,w1_vs_w3,0.3333333333333333,0.2,-0.2447552447552448,False,0.4094276094276094,False,Low
272,Baz0VVQ-E9E$_$5,T,w1_vs_w2,0.5,0.3333333333333333,0.4642857142857144,True,0.4094276094276094,False,Moderate
272,Baz0VVQ-E9E$_$5,T,w2_vs_w3,0.3333333333333333,0.3333333333333333,0.4642857142857144,True,0.4094276094276094,False,Moderate
272,Baz0VVQ-E9E$_$5,T,w1_vs_w3,0.0,0.0,-0.3571428571428572,True,0.4094276094276094,False,Moderate
273,Baz0VVQ-E9E$_$7,T,w1_vs_w2,0.3333333333333333,0.14285714285714285,0.48813209494324045,True,0.4094276094276094,False,Moderate
273,Baz0VVQ-E9E$_$7,T,w2_vs_w3,0.5,0.3333333333333333,0.6367389060887513,True,0.4094276094276094,False,Moderate
273,Baz0VVQ-E9E$_$7,T,w1_vs_w3,0.3333333333333333,0.14285714285714285,0.20949432404540763,True,0.4094276094276094,False,Moderate
274,CJGuudyvA0Y$_$4,V,w1_vs_w3,0.6923076923076923,0.14285714285714285,0.5948753894848018,False,0.4094276094276094,True,Moderate
274,CJGuudyvA0Y$_$4,V,w3_vs_w5,1.0,1.0,0.8279838553779115,False,0.4094276094276094,True,Moderate
274,CJGuudyvA0Y$_$4,V,w1_vs_w5,0.6923076923076923,0.14285714285714285,0.3492938255364996,False,0.4094276094276094,True,Moderate
275,CPjbogfLHR4$_$2,T,w1_vs_w2,1.0,0.6,0.7823529411764706,True,0.4094276094276094,True,High
275,CPjbogfLHR4$_$2,T,w2_vs_w3,1.0,0.6,0.4794117647058824,True,0.4094276094276094,True,High
275,CPjbogfLHR4$_$2,T,w1_vs_w3,1.0,0.6,0.2647058823529412,True,0.4094276094276094,True,High
276,CPjbogfLHR4$_$5,A,w1_vs_w3,0.875,0.5,0.8210370797589231,False,0.4094276094276094,True,Moderate
276,CPjbogfLHR4$_$5,A,w3_vs_w5,0.7777777777777778,1.0,0.8921182266009852,False,0.4094276094276094,True,Moderate
276,CPjbogfLHR4$_$5,A,w1_vs_w5,0.6666666666666666,0.5,0.6525434216265789,False,0.4094276094276094,True,Moderate
277,DdUJojoFU_c$_$11,T,w1_vs_w2,0.0,0.25,0.5484189723320158,True,0.4094276094276094,False,Moderate
277,DdUJojoFU_c$_$11,T,w2_vs_w3,0.75,0.6666666666666666,0.7687747035573124,True,0.4094276094276094,False,Moderate
277,DdUJojoFU_c$_$11,T,w1_vs_w3,0.0,0.1111111111111111,0.2806324110671937,True,0.4094276094276094,False,Moderate
278,DdUJojoFU_c$_$15,T,w1_vs_w2,0.0,0.5,0.6527472527472528,False,0.4094276094276094,False,Low
278,DdUJojoFU_c$_$15,T,w2_vs_w3,0.5,0.5,0.6087912087912088,False,0.4094276094276094,False,Low
278,DdUJojoFU_c$_$15,T,w1_vs_w3,0.0,0.2,0.7274725274725276,False,0.4094276094276094,False,Low
279,DdUJojoFU_c$_$14,V,w1_vs_w3,0.3333333333333333,0.25,0.6027667984189723,True,0.4094276094276094,True,High
279,DdUJojoFU_c$_$14,V,w3_vs_w5,1.0,1.0,0.8577075098814229,True,0.4094276094276094,True,High
279,DdUJojoFU_c$_$14,V,w1_vs_w5,0.3333333333333333,0.25,0.2717391304347826,True,0.4094276094276094,True,High
280,DdUJojoFU_c$_$17,T,w1_vs_w2,0.3333333333333333,0.3333333333333333,0.3413533834586466,False,0.4094276094276094,False,Low
280,DdUJojoFU_c$_$17,T,w2_vs_w3,1.0,0.3333333333333333,0.6526315789473683,False,0.4094276094276094,False,Low
280,DdUJojoFU_c$_$17,T,w1_vs_w3,0.3333333333333333,0.14285714285714285,-0.03458646616541353,False,0.4094276094276094,False,Low
281,DdUJojoFU_c$_$16,V,w1_vs_w3,0.8181818181818182,0.7777777777777778,0.878991852940069,True,0.4094276094276094,True,High
281,DdUJojoFU_c$_$16,V,w3_vs_w5,0.8181818181818182,0.7777777777777778,0.9350202429149798,True,0.4094276094276094,True,High
281,DdUJojoFU_c$_$16,V,w1_vs_w5,0.6666666666666666,0.6,0.7715977539108874,True,0.4094276094276094,True,High
282,DdUJojoFU_c$_$2,A,w1_vs_w3,0.0,0.5,0.678646934460888,False,0.4094276094276094,True,Moderate
282,DdUJojoFU_c$_$2,A,w3_vs_w5,0.75,0.8,0.871599718111346,False,0.4094276094276094,True,Moderate
282,DdUJojoFU_c$_$2,A,w1_vs_w5,0.0,0.5,0.5312191684284707,False,0.4094276094276094,True,Moderate
283,DdUJojoFU_c$_$6,T,w1_vs_w2,0.25,0.5,0.19073437506262522,True,0.4094276094276094,True,High
283,DdUJojoFU_c$_$6,T,w2_vs_w3,1.0,0.5,0.6940886699507387,True,0.4094276094276094,True,High
283,DdUJojoFU_c$_$6,T,w1_vs_w3,0.25,0.3333333333333333,0.03548546512793027,True,0.4094276094276094,True,High
284,DdUJojoFU_c$_$8,T,w1_vs_w2,0.5714285714285714,0.5,0.4468376068376068,False,0.4094276094276094,True,Moderate
284,DdUJojoFU_c$_$8,T,w2_vs_w3,1.0,1.0,0.8420512820512819,False,0.4094276094276094,True,Moderate
284,DdUJojoFU_c$_$8,T,w1_vs_w3,0.5714285714285714,0.5,0.41538461538461535,False,0.4094276094276094,True,Moderate
285,DlbYiwOnTyk$_$1,T,w1_vs_w2,0.0,0.3333333333333333,0.5024445635502026,True,0.4094276094276094,False,Moderate
285,DlbYiwOnTyk$_$1,T,w2_vs_w3,0.4,0.3333333333333333,0.41804511278195483,True,0.4094276094276094,False,Moderate
285,DlbYiwOnTyk$_$1,T,w1_vs_w3,0.6,0.3333333333333333,0.19781874283488515,True,0.4094276094276094,False,Moderate
286,E8MuzHUhUHk$_$15,T,w1_vs_w2,0.0,0.14285714285714285,0.01764705882352941,True,0.4094276094276094,False,Moderate
286,E8MuzHUhUHk$_$15,T,w2_vs_w3,0.0,0.6,0.7823529411764706,True,0.4094276094276094,False,Moderate
286,E8MuzHUhUHk$_$15,T,w1_vs_w3,0.0,0.14285714285714285,-0.2029411764705882,True,0.4094276094276094,False,Moderate
287,E8MuzHUhUHk$_$14,V,w1_vs_w3,0.3333333333333333,0.3333333333333333,0.9050567595459237,False,0.4094276094276094,True,Moderate
