sample_index,cosine_similarity,relative_l2_error,max_abs_error,mean_abs_error,sample_id
0,0.9999999782479827,0.00020857620221223397,0.0034341812133789062,6.555920627526746e-05,-UacrmKiTn4$_$7
1,0.9999999775296026,0.00021199334060310822,0.003276824951171875,7.02900884162716e-05,-qDkUB0GgYY$_$5
2,0.9999999788555083,0.00020565187844887893,0.0017118453979492188,6.506677530690349e-05,0utROiKxejc$_$1
3,0.9999999765326716,0.00021665617807266685,0.0038204193115234375,6.522760423687639e-05,0utROiKxejc$_$4
4,0.9999999779692517,0.0002100130320538103,0.0022878646850585938,7.415786186321203e-05,0y022OlZ3W0$_$3
5,0.9999999787072084,0.00020656718129539022,0.0021390914916992188,6.775904631882589e-05,0y022OlZ3W0$_$5
6,0.9999999791699714,0.00020410808976952687,0.0017876625061035156,7.367182432807972e-05,0y022OlZ3W0$_$8
7,0.9999999793641362,0.00020322646605615285,0.0019245147705078125,6.64063415644176e-05,101787$_$11
8,0.9999999778028907,0.00021090136045691062,0.0037622451782226562,7.024248153419602e-05,101787$_$13
9,0.9999999771748707,0.00021389768450471683,0.0038232803344726562,6.535117430277953e-05,101787$_$1
10,0.9999999754800956,0.00022172651280708932,0.0035924911499023438,7.567970964111394e-05,101787$_$5
11,0.9999999792165795,0.0002045973179228076,0.0016698837280273438,6.151989110397456e-05,101787$_$7
12,0.9999999773511287,0.0002129532485426074,0.0029573440551757812,6.727219045136021e-05,101787$_$9
13,0.999999977580326,0.00021242865546234832,0.0035800933837890625,6.98391380637986e-05,102408$_$2
14,0.9999999786812758,0.0002065105082189641,0.0018048286437988281,7.173104271041128e-05,102408$_$5
15,0.999999976953163,0.0002147534468240944,0.0033044815063476562,7.3379445605922e-05,102408$_$9
16,0.9999999770685102,0.0002146793967528378,0.0034818649291992188,7.028172516571774e-05,102858$_$20
17,0.9999999778093558,0.00021067705745564716,0.0023660659790039062,7.397972671384096e-05,102858$_$21
18,0.9999999777502212,0.00021113967140428544,0.003154754638671875,6.895891965008616e-05,102858$_$1
19,0.9999999812325799,0.0001937958561702006,0.001522064208984375,6.546579876385295e-05,102858$_$0
20,0.9999999789140429,0.00020535859047031597,0.0021266937255859375,7.278435184900604e-05,102858$_$4
21,0.9999999792908678,0.0002035158846954422,0.0018520355224609375,6.673496414816029e-05,102858$_$6
22,0.9999999766209677,0.00021647346142956,0.0034646987915039062,6.858276805468379e-05,102858$_$10
23,0.9999999792090347,0.00020393155269407673,0.0026407241821289062,7.039220563862054e-05,102858$_$17
24,0.9999999783484466,0.00020811297526655384,0.0020542144775390625,7.041595054466771e-05,102858$_$19
25,0.9999999745347321,0.00022613009820569694,0.0028705596923828125,5.9051899446179355e-05,112433$_$10
26,0.9999999777676662,0.0002112894472153471,0.0036191940307617188,7.164363730387884e-05,112433$_$3
27,0.999999978966218,0.00020539871698041555,0.0023555755615234375,7.272159997546106e-05,112433$_$7
28,0.9999999778036084,0.0002114550748308726,0.0030412673950195312,7.698203903298662e-05,112433$_$6
29,0.9999999783845278,0.00020797241173098834,0.0034017562866210938,7.312259481142514e-05,117tQqLjza4$_$6
30,0.9999999785433579,0.00020716228190238774,0.0018815994262695312,6.611751730572334e-05,11j7EfglCAs$_$2
31,0.9999999789461201,0.00020521011579532523,0.0024700164794921875,6.923027731412883e-05,121128$_$10
32,0.9999999779229866,0.0002102153502284657,0.0018792152404785156,6.872584408279059e-05,121128$_$1
33,0.9999999774742981,0.00021227399428031375,0.0032253265380859375,7.393402184637428e-05,121128$_$0
34,0.9999999782113294,0.0002096857564371816,0.001873016357421875,7.161619186141016e-05,121128$_$5
35,0.9999999782402377,0.00020861566060313802,0.0026559829711914062,7.475641126474623e-05,125344$_$0
36,0.9999999768042381,0.00021575939385648824,0.0032510757446289062,6.930742538268457e-05,125676$_$0
37,0.999999979223295,0.00020400617125054967,0.0017123222351074219,7.015481426850491e-05,125676$_$4
38,0.9999999776545344,0.00021168492042985255,0.0034532546997070312,7.428534074650864e-05,128059$_$11
39,0.9999999781156949,0.00020930835712423007,0.0018467903137207031,7.501208405647765e-05,128059$_$12
40,0.99999997819915,0.00020958904127769493,0.0037870407104492188,6.655177233424088e-05,128059$_$2
41,0.99999997825207,0.0002085565950197699,0.0037822723388671875,7.16176073659606e-05,128059$_$7
42,0.9999999776953196,0.00021121811702317573,0.0019445419311523438,7.198140943351917e-05,128059$_$6
43,0.9999999781781357,0.000209105711719298,0.0034914016723632812,7.055580402158689e-05,128059$_$9
44,0.9999999777062223,0.00021117780905946013,0.0029211044311523438,7.215961136116296e-05,128763$_$12
45,0.999999977962994,0.00020993889088457773,0.0027685165405273438,7.12837047749154e-05,128763$_$3
46,0.9999999783716202,0.0002084027539659816,0.0027723312377929688,6.903523851471098e-05,128763$_$2
47,0.9999999754098136,0.00022176654155363888,0.003627777099609375,6.567618627754494e-05,128763$_$5
48,0.9999999776370617,0.0002114856644723542,0.00205230712890625,7.258408326964943e-05,128763$_$7
49,0.9999999783467036,0.00020873063360453837,0.002506256103515625,6.951925534508519e-05,128763$_$8
50,0.9999999782578626,0.00020868569215201475,0.0023164749145507812,7.50769894472022e-05,130456$_$11
51,0.9999999787774542,0.00020616341225321023,0.0018343925476074219,7.458128466769015e-05,130456$_$3
52,0.9999999762087143,0.00021995690520497453,0.00351715087890625,6.407400950008534e-05,130456$_$5
